state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Hisar,2014,0,2014-10-01,2014-10-06,0.1242995423631588,0.2808752763869181,0.264522800709533,0.1988538004061421,2,1.18,valid
Haryana,Hisar,2014,1,2014-10-06,2014-10-11,0.1248906295783549,0.2806345117062003,0.2536647683102956,0.1798962371671429,1,0.0,valid
Haryana,Hisar,2014,2,2014-10-11,2014-10-16,0.1285406048510139,0.2513779484368955,0.2667916873299525,0.206229131880755,2,0.0,valid
Haryana,Hisar,2014,3,2014-10-16,2014-10-21,0.13942219225011027,0.26378837490325574,0.2607541371437529,0.1980795336455877,0,,insufficient_data
Haryana,Hisar,2014,4,2014-10-21,2014-10-26,0.1359018841319465,0.2555230991492375,0.2559310577477899,0.1976354305618724,3,0.0533333333333333,valid
Haryana,Hisar,2014,5,2014-10-26,2014-10-31,0.1834783003260773,0.2505310388370275,0.2628603716211936,0.2077830682120262,2,14.0,valid
Haryana,Hisar,2014,6,2014-10-31,2014-11-05,0.15194964624994728,0.23718925485317457,0.25988219856208533,0.21443918472628903,0,,insufficient_data
Haryana,Hisar,2014,7,2014-11-05,2014-11-10,0.1535286490168659,0.2363992246808075,0.2673785702017295,0.2216231547016687,3,9.506666666666666,valid
Haryana,Hisar,2014,8,2014-11-10,2014-11-15,0.1461585646907827,0.2172777396122795,0.2549119571507905,0.2235510441171418,2,12.5,valid
Haryana,Hisar,2014,9,2014-11-15,2014-11-20,0.1406808330840641,0.2262151719865209,0.2583290360889232,0.2216032260387361,2,0.51,valid
Haryana,Hisar,2014,10,2014-11-20,2014-11-25,0.1541517445798791,0.2237372865092628,0.2615665225102241,0.229929427240649,2,9.405,valid
Haryana,Hisar,2014,11,2014-11-25,2014-11-30,0.14172732677038935,0.22544193451922298,0.2510387681211945,0.2156772621872392,0,,insufficient_data
Haryana,Hisar,2014,12,2014-11-30,2014-12-05,0.1351158527998725,0.2226016397264386,0.243547200208088,0.2077849308655814,4,1.265,valid
Haryana,Hisar,2014,13,2014-12-05,2014-12-10,0.1325296386973483,0.237377834761613,0.2368391246479466,0.1955176826740877,3,0.5266666666666667,valid
Haryana,Hisar,2014,14,2014-12-10,2014-12-15,0.13644147375715512,0.23382620920144878,0.23454027042860578,0.1936574097479372,0,,insufficient_data
Haryana,Hisar,2014,15,2014-12-15,2014-12-20,0.1416789297742446,0.2414991531162947,0.2232344864297827,0.1776696157041424,2,11.48,valid
Haryana,Hisar,2014,16,2014-12-20,2014-12-25,0.13294089453578864,0.2353285717112951,0.21403171940144153,0.16787748436804475,0,,insufficient_data
Haryana,Hisar,2014,17,2014-12-25,2014-12-30,0.1331465224550088,0.2343039401861362,0.20262801677818904,0.15405738521502332,0,,insufficient_data
Haryana,Hisar,2014,18,2014-12-30,2015-01-04,0.124614115135773,0.2271087272559777,0.1820215471265954,0.1304451547259043,2,10.0,valid
Haryana,Hisar,2014,19,2015-01-04,2015-01-09,0.0957433067758805,0.25187064396804837,0.16949610331607706,0.1168244832330749,0,,insufficient_data
Haryana,Hisar,2014,20,2015-01-09,2015-01-14,0.0957433067758805,0.25187064396804837,0.16949610331607706,0.1168244832330749,0,,insufficient_data
Haryana,Hisar,2014,21,2015-01-14,2015-01-19,0.066872498415988,0.276632560680119,0.1569706595055587,0.1032038117402455,3,8.0,valid
Haryana,Hisar,2014,22,2015-01-19,2015-01-24,0.066872498415988,0.276632560680119,0.1569706595055587,0.1032038117402455,0,,insufficient_data
Haryana,Hisar,2014,23,2015-01-24,2015-01-29,0.0663457040268549,0.3018703817237971,0.1576778592535486,0.1039572869615157,0,,insufficient_data
Haryana,Hisar,2014,24,2015-01-29,2015-02-03,0.0663457040268549,0.3018703817237971,0.1576778592535486,0.1039572869615157,0,,insufficient_data
Haryana,Hisar,2014,25,2015-02-03,2015-02-08,0.1025375089627319,0.3795692511626996,0.17079452877830445,0.10222215830089004,0,,insufficient_data
Haryana,Hisar,2014,26,2015-02-08,2015-02-13,0.0658189096377218,0.3271082027674752,0.1583850590015385,0.1047107621827859,2,1.025,valid
Haryana,Hisar,2014,27,2015-02-13,2015-02-18,0.09125137589578486,0.3690579142189636,0.16838839709964995,0.10303319705178164,0,,insufficient_data
Haryana,Hisar,2014,28,2015-02-18,2015-02-23,0.139256108287742,0.4320302995579239,0.1832039985550704,0.0997335544189942,1,14.0,valid
Haryana,Hisar,2014,29,2015-02-23,2015-02-28,0.0686791097618908,0.3480352403314917,0.163576133742341,0.1046552745535648,3,0.2033333333333333,valid
Haryana,Hisar,2014,30,2015-02-28,2015-03-05,0.09142290264746263,0.38195037507711066,0.1695479380126638,0.10089642446645568,0,,insufficient_data
Haryana,Hisar,2014,31,2015-03-05,2015-03-10,0.0663334898927551,0.3657855853419164,0.1618636817405799,0.098300444426808,4,11.1525,valid
Haryana,Hisar,2014,32,2015-03-10,2015-03-15,0.06952083423003806,0.3408362248174459,0.1666201386595603,0.10581742773311842,0,,insufficient_data
Haryana,Hisar,2014,33,2015-03-15,2015-03-20,0.08705994432786275,0.3176176120337301,0.17946675854815194,0.1177928716581491,0,,insufficient_data
Haryana,Hisar,2014,34,2015-03-20,2015-03-25,0.0735499030354683,0.3086878487789296,0.17442060049576,0.1144965642189825,4,0.255,valid
Haryana,Hisar,2014,35,2015-03-25,2015-03-30,0.10637002303424294,0.2751453727556111,0.19881200874250546,0.13896103193869083,0,,insufficient_data
Haryana,Hisar,2014,36,2015-03-30,2015-04-04,0.1212964400553649,0.2783794019803443,0.2021159934081159,0.1405816063286568,2,13.45,valid
Haryana,Hisar,2014,37,2015-04-04,2015-04-09,0.1242637260118956,0.2383688675075594,0.2198994323236404,0.1618049252684333,3,7.513333333333333,valid
Haryana,Hisar,2014,38,2015-04-09,2015-04-14,0.14409077673082565,0.2511195367878952,0.2626131553617275,0.21197269747824268,0,,insufficient_data
Haryana,Hisar,2014,39,2015-04-14,2015-04-19,0.1363824280879101,0.2305019904770506,0.2593924519142371,0.2094210254342595,2,0.5800000000000001,valid
Haryana,Hisar,2014,40,2015-04-19,2015-04-24,0.1677845156573739,0.2469737910440474,0.3119364905319113,0.2718875521838788,2,0.0,valid
Haryana,Hisar,2014,41,2015-04-24,2015-04-29,0.1707267738415838,0.2613736329304744,0.3197214086307329,0.276168378175985,2,0.025,valid
Haryana,Hisar,2014,42,2015-04-29,2015-05-04,0.15829790586228926,0.24628313815052416,0.29701678369229373,0.25249231859804105,0,,insufficient_data
