state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Kurukshetra,2024,0,2024-10-01,2024-10-06,0.0935115244358523,0.3221893385153834,0.2061754093204973,0.1192547113425128,2,6.535,valid
Haryana,Kurukshetra,2024,1,2024-10-06,2024-10-11,0.1110374880545638,0.2813827991136444,0.238788384802572,0.156716865608475,2,8.52,valid
Haryana,Kurukshetra,2024,2,2024-10-11,2024-10-16,0.1108747967844677,0.25770645715007817,0.22869597350658263,0.15614357811214138,0,,insufficient_data
Haryana,Kurukshetra,2024,3,2024-10-16,2024-10-21,0.1311805831969299,0.2503663901945835,0.2595684927008501,0.1874216141674834,2,2.535,valid
Haryana,Kurukshetra,2024,4,2024-10-21,2024-10-26,0.1191771343577457,0.2095152093340562,0.2271052514704307,0.1709144608853396,1,0.02,valid
Haryana,Kurukshetra,2024,5,2024-10-26,2024-10-31,0.0994672538772468,0.2250785485927236,0.211842329238563,0.1464102385568962,1,1.96,valid
Haryana,Kurukshetra,2024,6,2024-10-31,2024-11-05,0.1169206745887755,0.1995902698484467,0.2124900333392672,0.1667667798622639,2,1.2,valid
Haryana,Kurukshetra,2024,7,2024-11-05,2024-11-10,0.11109655947843888,0.2080239012466205,0.2085786549447617,0.15684519777824066,0,,insufficient_data
Haryana,Kurukshetra,2024,8,2024-11-10,2024-11-15,0.1252214802140996,0.2096972019180173,0.2094663678217085,0.1599820484805132,2,1.67,valid
Haryana,Kurukshetra,2024,9,2024-11-15,2024-11-20,0.0946962543543268,0.1962382765398588,0.1819892928538389,0.1401524611061904,1,1.07,valid
Haryana,Kurukshetra,2024,10,2024-11-20,2024-11-25,0.09543757757207968,0.20670971005236366,0.18441940274037455,0.14075504477923095,0,,insufficient_data
Haryana,Kurukshetra,2024,11,2024-11-25,2024-11-30,0.0955010190988931,0.2026496136949618,0.1837383102494284,0.1458127220258252,2,1.935,valid
Haryana,Kurukshetra,2024,12,2024-11-30,2024-12-05,0.0806560093401618,0.2141032209638593,0.1747726565436536,0.1320368798467096,1,0.01,valid
Haryana,Kurukshetra,2024,13,2024-12-05,2024-12-10,0.0811131248529171,0.2108602371451209,0.1721303862332433,0.1257911124369164,1,1.18,valid
Haryana,Kurukshetra,2024,14,2024-12-10,2024-12-15,0.0775898825630397,0.2266736777861584,0.1645759785017094,0.1178530981777549,2,2.41,valid
Haryana,Kurukshetra,2024,15,2024-12-15,2024-12-20,0.21088771571046044,0.33089103138357734,0.24170564960657562,0.1763604009304004,0,,insufficient_data
Haryana,Kurukshetra,2024,16,2024-12-20,2024-12-25,0.068209257718883,0.2422589331202831,0.1512414251739674,0.0982303517940221,2,1.445,valid
Haryana,Kurukshetra,2024,17,2024-12-25,2024-12-30,0.7468703040773006,0.760559087902465,0.5458078015803044,0.407890562396599,1,11.27,valid
Haryana,Kurukshetra,2024,18,2024-12-30,2025-01-04,0.2860523919345749,0.4295527826873469,0.272927215848362,0.18977703914997524,0,,insufficient_data
Haryana,Kurukshetra,2024,19,2025-01-04,2025-01-09,0.2860523919345749,0.4295527826873469,0.272927215848362,0.18977703914997524,0,,insufficient_data
Haryana,Kurukshetra,2024,20,2025-01-09,2025-01-14,0.0430776140075411,0.2858403270392929,0.1217324207908141,0.0632102032593046,1,0.11,valid
