state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Panipat,2016,0,2016-10-01,2016-10-06,0.1621372183710193,0.3097332605896245,0.1821412129629057,0.101030354914829,2,19.435,valid
Haryana,Panipat,2016,1,2016-10-06,2016-10-11,0.11839019248161203,0.29741874895153736,0.19033464106199857,0.113372388049833,0,,insufficient_data
Haryana,Panipat,2016,2,2016-10-11,2016-10-16,0.0846791732926944,0.2970524639419744,0.1800044628170691,0.105162426467969,3,0.0366666666666666,valid
Haryana,Panipat,2016,3,2016-10-16,2016-10-21,0.1083541857811224,0.2854705223230132,0.2088582474060209,0.133924382766701,3,0.34,valid
Haryana,Panipat,2016,4,2016-10-21,2016-10-26,0.13681259626474968,0.2744365945193886,0.2111784490995569,0.14212638821296616,0,,insufficient_data
Haryana,Panipat,2016,5,2016-10-26,2016-10-31,0.1306555833712175,0.244872048519315,0.23450844099763,0.1634182722204852,3,0.0433333333333333,valid
Haryana,Panipat,2016,6,2016-10-31,2016-11-05,0.2235614426139644,0.270351343293252,0.2213426451775075,0.1660004713967095,1,3.67,valid
Haryana,Panipat,2016,7,2016-11-05,2016-11-10,0.1570310206682896,0.22889875056580405,0.2250555692457157,0.1775816802546683,0,,insufficient_data
Haryana,Panipat,2016,8,2016-11-10,2016-11-15,0.1409117824459351,0.2042457010501911,0.2268605975483186,0.1928474474037543,3,4.486666666666667,valid
Haryana,Panipat,2016,9,2016-11-15,2016-11-20,0.15375208702253582,0.21605390664164428,0.2205971320962758,0.18243634037221396,0,,insufficient_data
Haryana,Panipat,2016,10,2016-11-20,2016-11-25,0.1329952742420415,0.1961259094004581,0.2175105932594067,0.1880605299977243,3,5.490000000000001,valid
Haryana,Panipat,2016,11,2016-11-25,2016-11-30,0.1175398487882022,0.1934926728226759,0.2166746923998703,0.1828369126906677,2,0.0,valid
Haryana,Panipat,2016,12,2016-11-30,2016-12-05,0.1123014139181284,0.21075116505325978,0.19011542867134398,0.1483373110035101,0,,insufficient_data
Haryana,Panipat,2016,13,2016-12-05,2016-12-10,0.1096471406388505,0.1989161952568073,0.1838968250748401,0.1449506779536606,2,18.575,valid
Haryana,Panipat,2016,14,2016-12-10,2016-12-15,0.1343695316843064,0.2430594633166515,0.1821757362184317,0.1251303975997522,2,22.5,valid
Haryana,Panipat,2016,15,2016-12-15,2016-12-20,0.0669552742372413,0.2221615844697061,0.1503192964041712,0.1007080367757458,1,18.13,valid
Haryana,Panipat,2016,16,2016-12-20,2016-12-25,0.0660753584366238,0.2324880372676466,0.1451947887285304,0.0931019594885569,3,3.573333333333333,valid
Haryana,Panipat,2016,17,2016-12-25,2016-12-30,0.2328787023863365,0.3433752893965166,0.182628506097692,0.12666140106435206,0,,insufficient_data
