state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Rewari,2022,0,2022-10-01,2022-10-06,0.1317165469592062,0.2510610323116222,0.2800534295725701,0.2242709735617778,2,2.96,valid
Haryana,Rewari,2022,1,2022-10-06,2022-10-11,0.1364155479735406,0.24012532168345674,0.2718358415607086,0.22722780960783556,0,,insufficient_data
Haryana,Rewari,2022,2,2022-10-11,2022-10-16,0.136920228292851,0.2422367539863042,0.2520132219145903,0.1976611603078145,4,2.9975,valid
Haryana,Rewari,2022,3,2022-10-16,2022-10-21,0.1334327518911202,0.2239273458767208,0.2676165721743033,0.2348666399903271,2,0.045,valid
Haryana,Rewari,2022,4,2022-10-21,2022-10-26,0.1435926647509851,0.2432761545591797,0.2876601425813708,0.2521124645714229,2,0.755,valid
Haryana,Rewari,2022,5,2022-10-26,2022-10-31,0.1401603327707905,0.2183213910054994,0.2637278725735137,0.2351154143202805,4,1.2725,valid
Haryana,Rewari,2022,6,2022-10-31,2022-11-05,0.13826801142704792,0.22642724683747684,0.2661087262343139,0.23398329395889098,0,,insufficient_data
Haryana,Rewari,2022,7,2022-11-05,2022-11-10,0.1402139546590512,0.2166859205783266,0.2587248975757036,0.2274293218483664,3,16.386666666666667,valid
Haryana,Rewari,2022,8,2022-11-10,2022-11-15,0.1339403530632927,0.2299254221676577,0.2528141462666779,0.2203926290640579,4,7.65,valid
Haryana,Rewari,2022,9,2022-11-15,2022-11-20,0.11928841932882357,0.2431955030014655,0.23647069030018222,0.19519467338301907,0,,insufficient_data
Haryana,Rewari,2022,10,2022-11-20,2022-11-25,0.1165460906176645,0.2454256028017308,0.2367027541670882,0.1943196290861472,4,2.6475000000000004,valid
Haryana,Rewari,2022,11,2022-11-25,2022-11-30,0.1018184454479881,0.2709912098235629,0.2122948923856019,0.1614221674630453,2,3.625,valid
Haryana,Rewari,2022,12,2022-11-30,2022-12-05,0.1039232528561214,0.2529493596360496,0.2218167611058395,0.1724096194534787,2,5.98,valid
Haryana,Rewari,2022,13,2022-12-05,2022-12-10,0.0799103339852318,0.2960645189746077,0.1871593710896904,0.1279214848326288,4,0.3875,valid
Haryana,Rewari,2022,14,2022-12-10,2022-12-15,0.08455698729157501,0.29121545681601557,0.1916584249752574,0.1358333789408275,0,,insufficient_data
Haryana,Rewari,2022,15,2022-12-15,2022-12-20,0.0659658616208883,0.3254261651608484,0.1700157377435462,0.1069144799105496,4,3.025,valid
Haryana,Rewari,2022,16,2022-12-20,2022-12-25,0.0711670425476455,0.3106460304850091,0.167005362551609,0.1104991430444351,3,9.943333333333332,valid
Haryana,Rewari,2022,17,2022-12-25,2022-12-30,0.06726651696314025,0.333067375567047,0.1518118386832426,0.09254528013534241,0,,insufficient_data
Haryana,Rewari,2022,18,2022-12-30,2023-01-04,0.0792737233598812,0.3546288957877224,0.1525994620498526,0.0886745866694917,2,12.375,valid
Haryana,Rewari,2022,19,2023-01-04,2023-01-09,0.052659440324146,0.3415684108346083,0.1176267923879626,0.0640929109168932,1,1.9,valid
Haryana,Rewari,2022,20,2023-01-09,2023-01-14,0.062102950566103855,0.34071068745270816,0.13259143574140678,0.07539868581295854,0,,insufficient_data
Haryana,Rewari,2022,21,2023-01-14,2023-01-19,0.0543756880142844,0.3259347557357939,0.1275480527864051,0.0734285598524907,4,0.2825,valid
Haryana,Rewari,2022,22,2023-01-19,2023-01-24,0.0513356181974792,0.34103186968306415,0.12134752293995354,0.06708031391652507,0,,insufficient_data
Haryana,Rewari,2022,23,2023-01-24,2023-01-29,0.051638342327484266,0.3461007058785876,0.12536946196178675,0.0706987003715087,0,,insufficient_data
