state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Sirsa,2018,0,2018-10-01,2018-10-06,0.11490833281552705,0.2965535580658475,0.2295592558222157,0.15916822525482874,0,,insufficient_data
Haryana,Sirsa,2018,1,2018-10-06,2018-10-11,0.1093550043637833,0.3117821332991278,0.2260684058680229,0.1523503218157886,3,0.0,valid
Haryana,Sirsa,2018,2,2018-10-11,2018-10-16,0.1204616612672708,0.2813249828325672,0.2330501057764085,0.1659861286938689,1,0.0,valid
Haryana,Sirsa,2018,3,2018-10-16,2018-10-21,0.12987297664103845,0.2820557275858142,0.2500988064222959,0.18690598226044264,0,,insufficient_data
Haryana,Sirsa,2018,4,2018-10-21,2018-10-26,0.1329287713455418,0.2832186331585877,0.2536920322496115,0.1867249369647921,3,2.08,valid
Haryana,Sirsa,2018,5,2018-10-26,2018-10-31,0.1649074841665214,0.2727288471292685,0.26329474850214823,0.20788808502041034,0,,insufficient_data
Haryana,Sirsa,2018,6,2018-10-31,2018-11-05,0.1567464695875579,0.251897161052974,0.2875846817951408,0.2425625415673209,1,18.87,valid
Haryana,Sirsa,2018,7,2018-11-05,2018-11-10,0.2494930344657152,0.2744746114729451,0.2788521741874322,0.2362787328556595,3,25.376666666666665,valid
Haryana,Sirsa,2018,8,2018-11-10,2018-11-15,0.16054939677102592,0.23698147065704597,0.26251016577433745,0.2230483355174436,0,,insufficient_data
Haryana,Sirsa,2018,9,2018-11-15,2018-11-20,0.1376481198283834,0.2269718413544031,0.2510965030433791,0.2089492704019304,3,11.36,valid
Haryana,Sirsa,2018,10,2018-11-20,2018-11-25,0.1258107224660305,0.2181322909403681,0.2433441115004172,0.2074475177390754,1,0.01,valid
Haryana,Sirsa,2018,11,2018-11-25,2018-11-30,0.1330486375074427,0.2134314484645396,0.251673358345318,0.2200036150232317,2,0.5,valid
Haryana,Sirsa,2018,12,2018-11-30,2018-12-05,0.1267723742954364,0.2151178405616512,0.230505694852357,0.2016419414448953,3,5.786666666666666,valid
Haryana,Sirsa,2018,13,2018-12-05,2018-12-10,0.12133457470954881,0.22497582631526797,0.2313819472890331,0.1958487831117443,0,,insufficient_data
Haryana,Sirsa,2018,14,2018-12-10,2018-12-15,0.11543725658632123,0.24106316824259869,0.21838612717136852,0.17653367941815767,0,,insufficient_data
Haryana,Sirsa,2018,15,2018-12-15,2018-12-20,0.0997065645692856,0.253221725294513,0.2000046244580403,0.1543020582397749,3,0.49,valid
Haryana,Sirsa,2018,16,2018-12-20,2018-12-25,0.1009640072712029,0.2678516919721019,0.1956827277438995,0.14224458060225184,0,,insufficient_data
Haryana,Sirsa,2018,17,2018-12-25,2018-12-30,0.1022214499731202,0.2824816586496909,0.1913608310297587,0.1301871029647288,3,9.386666666666668,valid
Haryana,Sirsa,2018,18,2018-12-30,2019-01-04,0.10963194345598219,0.2805266543247082,0.18368844004942067,0.1253638794883131,0,,insufficient_data
Haryana,Sirsa,2018,19,2019-01-04,2019-01-09,0.1145946328993305,0.29417911883980585,0.1755303478451109,0.1108947901125822,0,,insufficient_data
Haryana,Sirsa,2018,20,2019-01-09,2019-01-14,0.1269678158255408,0.3058765790299208,0.1596998646604631,0.0916024772604356,2,19.28,valid
Haryana,Sirsa,2018,21,2019-01-14,2019-01-19,0.0885150832033389,0.3348571698174351,0.15286878647015,0.0850986740793011,0,,insufficient_data
Haryana,Sirsa,2018,22,2019-01-19,2019-01-24,0.07501709701929386,0.34267053557198474,0.14712997353125612,0.08099104010160364,0,,insufficient_data
Haryana,Sirsa,2018,23,2019-01-24,2019-01-29,0.050062350581137,0.3638377606049493,0.1460377082798369,0.0785948708981666,3,1.0033333333333332,valid
Haryana,Sirsa,2018,24,2019-01-29,2019-02-03,0.049041737616170394,0.3610675138430167,0.1408450279666526,0.07568532152218765,0,,insufficient_data
Haryana,Sirsa,2018,25,2019-02-03,2019-02-08,0.0480211246512038,0.3582972670810841,0.1356523476534683,0.0727757721462087,2,19.3,valid
Haryana,Sirsa,2018,26,2019-02-08,2019-02-13,0.049041737616170394,0.3610675138430167,0.1408450279666526,0.07568532152218765,0,,insufficient_data
Haryana,Sirsa,2018,27,2019-02-13,2019-02-18,0.04817799293088505,0.3812616250391717,0.14277761777246056,0.0760046441045297,0,,insufficient_data
Haryana,Sirsa,2018,28,2019-02-18,2019-02-23,0.04759338151355941,0.3778304792226714,0.1395167419129361,0.07572325325537277,0,,insufficient_data
Haryana,Sirsa,2018,29,2019-02-23,2019-02-28,0.047379509944737205,0.38759708529346504,0.14144893904266997,0.0771969938099548,0,,insufficient_data
Haryana,Sirsa,2018,30,2019-02-28,2019-03-05,0.0483348612105663,0.4042259829972593,0.1499028878914528,0.0792335160628507,3,8.613333333333333,valid
Haryana,Sirsa,2018,31,2019-03-05,2019-03-10,0.0464241586789081,0.3709681875896707,0.1329949901938871,0.0751604715570589,2,0.025,valid
Haryana,Sirsa,2018,32,2019-03-10,2019-03-15,0.050418587210813236,0.3780006511006853,0.1421585510090262,0.07909689935207027,0,,insufficient_data
Haryana,Sirsa,2018,33,2019-03-15,2019-03-20,0.0564967417429653,0.3588077827151258,0.1435777749417386,0.0828967104363012,2,3.0,valid
Haryana,Sirsa,2018,34,2019-03-20,2019-03-25,0.06395521028519424,0.33641874270461686,0.15153591747171447,0.0936577623229826,0,,insufficient_data
Haryana,Sirsa,2018,35,2019-03-25,2019-03-30,0.093048083498319,0.29751585126409297,0.17946916691695292,0.12150088463225933,0,,insufficient_data
Haryana,Sirsa,2018,36,2019-03-30,2019-04-04,0.0889447304337093,0.2794802578090541,0.1780349872795177,0.1229161049755877,3,2.333333333333333,valid
Haryana,Sirsa,2018,37,2019-04-04,2019-04-09,0.1212428978489205,0.24543227646566915,0.20527400328389464,0.1477692797298953,0,,insufficient_data
Haryana,Sirsa,2018,38,2019-04-09,2019-04-14,0.1337027783182824,0.254259513268099,0.2167947385296025,0.1586898384848891,3,0.8533333333333334,valid
Haryana,Sirsa,2018,39,2019-04-14,2019-04-19,0.1410811847947698,0.2025570583198544,0.2209922840425637,0.1617018957292091,1,9.0,valid
Haryana,Sirsa,2018,40,2019-04-19,2019-04-24,0.1518264662126452,0.23938203257689028,0.25102626364746655,0.19271689746053408,0,,insufficient_data
Haryana,Sirsa,2018,41,2019-04-24,2019-04-29,0.1806954355248834,0.2613295261427175,0.3152917683702336,0.2577589581675041,2,0.105,valid
Haryana,Sirsa,2018,42,2019-04-29,2019-05-04,0.1608883101598266,0.23194329223128596,0.26814202620639865,0.20973042694835659,0,,insufficient_data
