state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Faridkot,2020,0,2020-10-01,2020-10-06,0.0768330726142043,0.3354378072884511,0.168461752129704,0.0970314385578248,3,0.0,valid
Punjab,Faridkot,2020,1,2020-10-06,2020-10-11,0.10982557507759483,0.29425987193876285,0.20080706899042639,0.12815473932947674,0,,insufficient_data
Punjab,Faridkot,2020,2,2020-10-11,2020-10-16,0.1098004525871121,0.3105423898253016,0.1974377838050609,0.1204373257216551,3,0.0333333333333333,valid
Punjab,Faridkot,2020,3,2020-10-16,2020-10-21,0.1285748885474069,0.2515206240119767,0.2210511921639746,0.1498682163863857,2,0.0,valid
Punjab,Faridkot,2020,4,2020-10-21,2020-10-26,0.124093886561656,0.279538666629322,0.216277547862966,0.1452819766520413,1,5.11,valid
Punjab,Faridkot,2020,5,2020-10-26,2020-10-31,0.115071259541793,0.2119312221916277,0.2068720743701876,0.1530848609201903,2,0.02,valid
Punjab,Faridkot,2020,6,2020-10-31,2020-11-05,0.12464769746193374,0.23311076649229887,0.21292454304634453,0.15443287422501423,0,,insufficient_data
Punjab,Faridkot,2020,7,2020-11-05,2020-11-10,0.1308507551968791,0.1894525531362691,0.20749735778825,0.1694964429414396,2,0.0,valid
Punjab,Faridkot,2020,8,2020-11-10,2020-11-15,0.10993741302839083,0.1752233095785887,0.1924928932775733,0.16450854182479774,0,,insufficient_data
Punjab,Faridkot,2020,9,2020-11-15,2020-11-20,0.1109503185307801,0.16751027350539616,0.19345739426387226,0.17367150257559186,0,,insufficient_data
Punjab,Faridkot,2020,10,2020-11-20,2020-11-25,0.1184979623582764,0.1785124530522247,0.2216562837014734,0.2078912356696083,3,5.743333333333333,valid
Punjab,Faridkot,2020,11,2020-11-25,2020-11-30,0.0753296750166148,0.1209970099342332,0.1339458572503822,0.1275616277679528,1,27.1,valid
Punjab,Faridkot,2020,12,2020-11-30,2020-12-05,0.1191228815513501,0.1810790778988577,0.2107300783153835,0.1897367039233667,1,0.0,valid
Punjab,Faridkot,2020,13,2020-12-05,2020-12-10,0.0870473778580428,0.1798383246990804,0.1754591811274006,0.1433802205988447,1,1.29,valid
Punjab,Faridkot,2020,14,2020-12-10,2020-12-15,0.0861758914670705,0.1782804806745379,0.1659177548854559,0.13864702717014338,0,,insufficient_data
Punjab,Faridkot,2020,15,2020-12-15,2020-12-20,0.08979129695055572,0.1973749709213061,0.17657505409714716,0.1423421603042069,0,,insufficient_data
Punjab,Faridkot,2020,16,2020-12-20,2020-12-25,0.0632036314422743,0.2312075101659803,0.1435359028486574,0.0939095563904093,3,7.216666666666666,valid
Punjab,Faridkot,2020,17,2020-12-25,2020-12-30,0.0632036314422743,0.2312075101659803,0.1435359028486574,0.0939095563904093,0,,insufficient_data
Punjab,Faridkot,2020,18,2020-12-30,2021-01-04,0.0632036314422743,0.2312075101659803,0.1435359028486574,0.0939095563904093,0,,insufficient_data
Punjab,Faridkot,2020,19,2021-01-04,2021-01-09,0.0632036314422743,0.2312075101659803,0.1435359028486574,0.0939095563904093,0,,insufficient_data
Punjab,Faridkot,2020,20,2021-01-09,2021-01-14,0.0455896552138957,0.3422483343634334,0.1332715084895715,0.070490777302148,0,,insufficient_data
Punjab,Faridkot,2020,21,2021-01-14,2021-01-19,0.0589175677535935,0.3600934570879707,0.1367030923179507,0.07032295672903675,0,,insufficient_data
Punjab,Faridkot,2020,22,2021-01-19,2021-01-24,0.0589175677535935,0.3600934570879707,0.1367030923179507,0.07032295672903675,0,,insufficient_data
Punjab,Faridkot,2020,23,2021-01-24,2021-01-29,0.0455896552138957,0.3422483343634334,0.1332715084895715,0.070490777302148,2,12.875,valid
Punjab,Faridkot,2020,24,2021-01-29,2021-02-03,0.0722454802932913,0.377938579812508,0.1401346761463299,0.0701551361559255,3,0.5066666666666667,valid
Punjab,Faridkot,2020,25,2021-02-03,2021-02-08,0.15636886609062461,0.41690773918069624,0.223098219363896,0.14898604105903301,0,,insufficient_data
Punjab,Faridkot,2020,26,2021-02-08,2021-02-13,0.0489393707430979,0.3968614355450844,0.1451013406549986,0.0725116961443139,1,12.3,valid
Punjab,Faridkot,2020,27,2021-02-13,2021-02-18,0.155642609471208,0.4243272447235322,0.22194880650838106,0.14766897680800892,0,,insufficient_data
Punjab,Faridkot,2020,28,2021-02-18,2021-02-23,0.4587009581122135,0.5505826070017593,0.4738853521646841,0.3827865546337446,1,4.0,valid
Punjab,Faridkot,2020,29,2021-02-23,2021-02-28,0.0426846287362293,0.3719263565347769,0.1286738570675117,0.0652225202980516,3,0.0933333333333333,valid
Punjab,Faridkot,2020,30,2021-02-28,2021-03-05,0.152289257642547,0.3977599862898845,0.21187669712892826,0.14443184550083676,0,,insufficient_data
Punjab,Faridkot,2020,31,2021-03-05,2021-03-10,0.0481401339373425,0.352565017006151,0.1172049291103106,0.0580468249836329,3,0.0033333333333333,valid
Punjab,Faridkot,2020,32,2021-03-10,2021-03-15,0.0596313097844027,0.3159659646168509,0.1277426501732067,0.071671482087918,2,13.505,valid
Punjab,Faridkot,2020,33,2021-03-15,2021-03-20,0.09290708240432168,0.2932719090576854,0.15535832351784662,0.0975215233733306,0,,insufficient_data
Punjab,Faridkot,2020,34,2021-03-20,2021-03-25,0.10112342473981972,0.2796828562397458,0.16289224738438685,0.10383372611303834,0,,insufficient_data
Punjab,Faridkot,2020,35,2021-03-25,2021-03-30,0.1566743876906232,0.2687381419213183,0.2043127819281618,0.1432885449484194,2,0.0,valid
Punjab,Faridkot,2020,36,2021-03-30,2021-04-04,0.1071824982049183,0.2358185126864216,0.1721729328597073,0.1170792414733521,1,0.01,valid
Punjab,Faridkot,2020,37,2021-04-04,2021-04-09,0.1339887940818119,0.2253266449679874,0.1930279428505477,0.1290825370718693,1,0.0,valid
Punjab,Faridkot,2020,38,2021-04-09,2021-04-14,0.14569253758652215,0.24903690405514398,0.21657979858571436,0.152032950312472,0,,insufficient_data
Punjab,Faridkot,2020,39,2021-04-14,2021-04-19,0.1849244703687352,0.2662643166448486,0.2968055367044406,0.2186814777562472,2,16.5,valid
Punjab,Faridkot,2020,40,2021-04-19,2021-04-24,0.15945663222527356,0.245795480806418,0.24491673977749415,0.17388200741405824,0,,insufficient_data
Punjab,Faridkot,2020,41,2021-04-24,2021-04-29,0.1849244703687352,0.2662643166448486,0.2968055367044406,0.2186814777562472,0,,insufficient_data
Punjab,Faridkot,2020,42,2021-04-29,2021-05-04,0.1849244703687352,0.2662643166448486,0.2968055367044406,0.2186814777562472,0,,insufficient_data
