state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Gurdaspur,2014,0,2014-10-01,2014-10-06,0.0715746816665376,0.3019937950264668,0.1829548629056836,0.1047676967522099,3,14.466666666666669,valid
Punjab,Gurdaspur,2014,1,2014-10-06,2014-10-11,0.09144980391572174,0.2670311470437061,0.1942992927988326,0.12274906773200411,0,,insufficient_data
Punjab,Gurdaspur,2014,2,2014-10-11,2014-10-16,0.0915451078100227,0.2778203176139857,0.2025192096078885,0.1258773659227543,3,2.0,valid
Punjab,Gurdaspur,2014,3,2014-10-16,2014-10-21,0.1089120546966806,0.2405486402777942,0.1895218453346796,0.1237892449612202,1,1.0,valid
Punjab,Gurdaspur,2014,4,2014-10-21,2014-10-26,0.0937673714896461,0.2477618352565777,0.2022012533470786,0.1365619632918321,2,2.92,valid
Punjab,Gurdaspur,2014,5,2014-10-26,2014-10-31,0.110415720899027,0.2202089463161907,0.210864703624127,0.1493425828440228,2,11.645,valid
Punjab,Gurdaspur,2014,6,2014-10-31,2014-11-05,0.10554418677293229,0.2227753731207196,0.20378539088375036,0.14828375282701195,0,,insufficient_data
Punjab,Gurdaspur,2014,7,2014-11-05,2014-11-10,0.1068010365041077,0.2083715292651044,0.2082794599227409,0.1599406473977405,3,6.863333333333333,valid
Punjab,Gurdaspur,2014,8,2014-11-10,2014-11-15,0.1078247502752001,0.1969859144879311,0.2080596921901256,0.1717843256402443,3,2.14,valid
Punjab,Gurdaspur,2014,9,2014-11-15,2014-11-20,0.10495174905047326,0.19440064434266568,0.19356290357070569,0.15518872810877657,0,,insufficient_data
Punjab,Gurdaspur,2014,10,2014-11-20,2014-11-25,0.1073719254934368,0.1938057098259083,0.1922965766432299,0.1589283459080463,3,7.1933333333333325,valid
Punjab,Gurdaspur,2014,11,2014-11-25,2014-11-30,0.1013151505965419,0.1794594796467624,0.1706452869696907,0.1381440240537929,1,0.01,valid
Punjab,Gurdaspur,2014,12,2014-11-30,2014-12-05,0.1014458823830798,0.1933805884876222,0.1885335021277414,0.1471462975440589,1,1.0,valid
Punjab,Gurdaspur,2014,13,2014-12-05,2014-12-10,0.0827038601998649,0.1999375632782145,0.1646907746192084,0.1222858419442017,3,10.093333333333332,valid
Punjab,Gurdaspur,2014,14,2014-12-10,2014-12-15,0.0906886202087335,0.197715392773561,0.17034746282910967,0.12685559578622632,0,,insufficient_data
Punjab,Gurdaspur,2014,15,2014-12-15,2014-12-20,0.0902620658872658,0.207531908199711,0.1488446100496746,0.0974461241709033,3,15.196666666666667,valid
Punjab,Gurdaspur,2014,16,2014-12-20,2014-12-25,0.077716141976915,0.2082674242554948,0.1790231403792334,0.1292556912181748,1,24.21,valid
