state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Kapurthala,2020,0,2020-10-01,2020-10-06,0.0798120406354138,0.292087033338271,0.1694241143295465,0.1015337587642899,2,0.025,valid
Punjab,Kapurthala,2020,1,2020-10-06,2020-10-11,0.0918907669532312,0.2903056169129202,0.1783067447874099,0.102442470840055,2,0.5,valid
Punjab,Kapurthala,2020,2,2020-10-11,2020-10-16,0.1185456596835383,0.2671882192172862,0.2095827350709955,0.1323735504684548,2,2.0,valid
Punjab,Kapurthala,2020,3,2020-10-16,2020-10-21,0.1192707455967521,0.2652236106308713,0.20344321254622605,0.13483244462012028,0,,insufficient_data
Punjab,Kapurthala,2020,4,2020-10-21,2020-10-26,0.1210880719047043,0.2474119888085074,0.2382048254072362,0.1693926231056476,4,7.3,valid
Punjab,Kapurthala,2020,5,2020-10-26,2020-10-31,0.1850171888068729,0.2291251948773715,0.2216976431359421,0.1684198199221541,1,0.0,valid
Punjab,Kapurthala,2020,6,2020-10-31,2020-11-05,0.1463193810722181,0.23102686926622884,0.23242897573071208,0.1746263569647759,0,,insufficient_data
Punjab,Kapurthala,2020,7,2020-11-05,2020-11-10,0.1328528825050771,0.2165434241128076,0.2373844586489579,0.1860666278665261,2,3.0,valid
Punjab,Kapurthala,2020,8,2020-11-10,2020-11-15,0.14475253775129493,0.2113308858192048,0.2207034540577484,0.17620580553451423,0,,insufficient_data
Punjab,Kapurthala,2020,9,2020-11-15,2020-11-20,0.1217793740626647,0.21102974096121865,0.2140076893524201,0.1702977939824528,0,,insufficient_data
Punjab,Kapurthala,2020,10,2020-11-20,2020-11-25,0.1163875419419348,0.1883240384674353,0.2030282603883453,0.1741309688148625,1,17.23,valid
Punjab,Kapurthala,2020,11,2020-11-25,2020-11-30,0.10457112988528233,0.21118483922607734,0.19225713813878811,0.14907312812781262,0,,insufficient_data
Punjab,Kapurthala,2020,12,2020-11-30,2020-12-05,0.1160976977409822,0.2282217603034131,0.2016103490199571,0.1506957852659697,2,1.5,valid
Punjab,Kapurthala,2020,13,2020-12-05,2020-12-10,0.08122814997293,0.2170087189073836,0.1721328050080619,0.1223926303026057,2,8.645,valid
Punjab,Kapurthala,2020,14,2020-12-10,2020-12-15,0.1425574268918393,0.286944511662307,0.20878822576278644,0.14853658668541198,0,,insufficient_data
Punjab,Kapurthala,2020,15,2020-12-15,2020-12-20,0.1425574268918393,0.286944511662307,0.20878822576278644,0.14853658668541198,0,,insufficient_data
Punjab,Kapurthala,2020,16,2020-12-20,2020-12-25,0.0775171395016307,0.2871579354153641,0.1643523856427433,0.1059561264337025,2,17.495,valid
Punjab,Kapurthala,2020,17,2020-12-25,2020-12-30,0.2953867203518143,0.4153896320230672,0.2970573633803834,0.21510180473937,1,2.0,valid
Punjab,Kapurthala,2020,18,2020-12-30,2021-01-04,0.3462212183857732,0.45450067522240367,0.3318244208575645,0.24322198851627297,0,,insufficient_data
Punjab,Kapurthala,2020,19,2021-01-04,2021-01-09,0.3462212183857732,0.45450067522240367,0.3318244208575645,0.24322198851627297,0,,insufficient_data
Punjab,Kapurthala,2020,20,2021-01-09,2021-01-14,0.6657597953038746,0.6609544582287797,0.5340635135495667,0.4086080343757465,1,1.0,valid
Punjab,Kapurthala,2020,21,2021-01-14,2021-01-19,0.3177697195531002,0.47514539991070154,0.31355470703791744,0.2278354913155595,0,,insufficient_data
Punjab,Kapurthala,2020,22,2021-01-19,2021-01-24,0.3177697195531002,0.47514539991070154,0.31355470703791744,0.2278354913155595,0,,insufficient_data
Punjab,Kapurthala,2020,23,2021-01-24,2021-01-29,0.2109676380040101,0.4382721002731658,0.2674237710952006,0.2006334254483465,3,5.683333333333334,valid
Punjab,Kapurthala,2020,24,2021-01-29,2021-02-03,0.0765817253514158,0.3262096412301589,0.1391768364689849,0.0742650141225856,2,1.5,valid
Punjab,Kapurthala,2020,25,2021-02-03,2021-02-08,0.2173769200157744,0.419343381191259,0.2691213754838463,0.1934350694927064,0,,insufficient_data
Punjab,Kapurthala,2020,26,2021-02-08,2021-02-13,0.0651641141317949,0.3464924226563616,0.1555298002094941,0.0927590172342275,3,4.926666666666667,valid
Punjab,Kapurthala,2020,27,2021-02-13,2021-02-18,0.17894803767153103,0.3898457077148467,0.23948707046815504,0.166218013435286,0,,insufficient_data
Punjab,Kapurthala,2020,28,2021-02-18,2021-02-23,0.5167942025758768,0.5663993606053498,0.5143550941617057,0.406082821165666,1,4.0,valid
Punjab,Kapurthala,2020,29,2021-02-23,2021-02-28,0.0572521086270366,0.3202814063675167,0.1488865510324355,0.0917652012186648,3,14.046666666666669,valid
Punjab,Kapurthala,2020,30,2021-02-28,2021-03-05,0.1597122922815089,0.36370734888231704,0.22455578622017747,0.15658345946732052,0,,insufficient_data
Punjab,Kapurthala,2020,31,2021-03-05,2021-03-10,0.0571008024223511,0.3080662885232637,0.1427717967668454,0.0882302404466724,2,11.0,valid
Punjab,Kapurthala,2020,32,2021-03-10,2021-03-15,0.0641281544747762,0.2800713748357944,0.1484753445621709,0.0974410920514205,2,10.61,valid
Punjab,Kapurthala,2020,33,2021-03-15,2021-03-20,0.1032861933075039,0.3437183140796608,0.1682901445777299,0.099397942454179,2,2.5,valid
Punjab,Kapurthala,2020,34,2021-03-20,2021-03-25,0.08654213995682274,0.2779482036260107,0.1609550339144821,0.10363241525414682,0,,insufficient_data
