state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Malerkotla,2025,0,2025-10-01,2025-10-06,0.063816470751135,0.314597111027982,0.1774125432650087,0.0976779396483001,2,14.515,valid
Punjab,Malerkotla,2025,1,2025-10-06,2025-10-11,0.0758489762925779,0.28439363476606533,0.18527653338862957,0.1083530957218811,0,,insufficient_data
Punjab,Malerkotla,2025,2,2025-10-11,2025-10-16,0.0772835170466102,0.2890170811949086,0.1795468852990581,0.102965136047755,2,0.09,valid
Punjab,Malerkotla,2025,3,2025-10-16,2025-10-21,0.0864469410799885,0.2495667120753054,0.1988701716018219,0.1244162114695882,1,0.0,valid
Punjab,Malerkotla,2025,4,2025-10-21,2025-10-26,0.10834757967485846,0.23875291773963908,0.22217347955427869,0.15722326259849811,0,,insufficient_data
Punjab,Malerkotla,2025,5,2025-10-26,2025-10-31,0.1166844728558405,0.2377762741462671,0.2474069899894043,0.1720035629559573,2,17.39,valid
Punjab,Malerkotla,2025,6,2025-10-31,2025-11-05,0.1448793230359368,0.2139120430723389,0.2447645843985327,0.1974635263137512,1,5.25,valid
Punjab,Malerkotla,2025,7,2025-11-05,2025-11-10,0.1164436443559163,0.2034924782093753,0.2402787664825765,0.189267876205439,1,0.05,valid
Punjab,Malerkotla,2025,8,2025-11-10,2025-11-15,0.1163870776000005,0.1811516892226548,0.2254675008413997,0.2060549242261547,2,13.995,valid
Punjab,Malerkotla,2025,9,2025-11-15,2025-11-20,0.11675311176630032,0.19375324742655087,0.22245219891484203,0.18771689240348857,0,,insufficient_data
Punjab,Malerkotla,2025,10,2025-11-20,2025-11-25,0.1156601041161483,0.1886582930578788,0.2141028749552324,0.1872301396670019,1,0.0,valid
Punjab,Malerkotla,2025,11,2025-11-25,2025-11-30,0.0903954097234997,0.1815517335705066,0.1876472678964689,0.158567995605096,2,1.5699999999999998,valid
Punjab,Malerkotla,2025,12,2025-11-30,2025-12-05,0.08740546704980058,0.2002119530918379,0.18417500851548924,0.146029215699493,0,,insufficient_data
Punjab,Malerkotla,2025,13,2025-12-05,2025-12-10,0.0787165316221927,0.2001388448257488,0.1732706849818879,0.129592497272229,1,0.01,valid
Punjab,Malerkotla,2025,14,2025-12-10,2025-12-15,0.07526762289797688,0.22481120496142523,0.17212037952461742,0.1243418139192654,0,,insufficient_data
Punjab,Malerkotla,2025,15,2025-12-15,2025-12-20,0.0648498227373616,0.2304989409132173,0.1616792062283677,0.1087262302536452,1,2.98,valid
Punjab,Malerkotla,2025,16,2025-12-20,2025-12-25,0.0671087275088535,0.2870553005362282,0.1658843589917451,0.1004805325460914,1,18.91,valid
Punjab,Malerkotla,2025,17,2025-12-25,2025-12-30,0.06597927512310756,0.25877712072472275,0.1637817826100564,0.1046033813998683,0,,insufficient_data
Punjab,Malerkotla,2025,18,2025-12-30,2026-01-04,0.06597927512310756,0.25877712072472275,0.1637817826100564,0.1046033813998683,0,,insufficient_data
Punjab,Malerkotla,2025,19,2026-01-04,2026-01-09,0.0671087275088535,0.2870553005362282,0.1658843589917451,0.1004805325460914,0,,insufficient_data
Punjab,Malerkotla,2025,20,2026-01-09,2026-01-14,0.0410505636509208,0.3443084627756059,0.1317816950977015,0.065412180935103,0,,insufficient_data
Punjab,Malerkotla,2025,21,2026-01-14,2026-01-19,0.04127820513704595,0.35069104824630626,0.12918676780612065,0.0642126112315623,0,,insufficient_data
Punjab,Malerkotla,2025,22,2026-01-19,2026-01-24,0.04127820513704595,0.35069104824630626,0.12918676780612065,0.0642126112315623,0,,insufficient_data
Punjab,Malerkotla,2025,23,2026-01-24,2026-01-29,0.0410505636509208,0.3443084627756059,0.1317816950977015,0.065412180935103,1,14.49,valid
Punjab,Malerkotla,2025,24,2026-01-29,2026-02-03,0.0415058466231711,0.3570736337170066,0.1265918405145398,0.0630130415280216,1,9.86,valid
Punjab,Malerkotla,2025,25,2026-02-03,2026-02-08,0.04236451743169555,0.361925550810542,0.1343782785930862,0.06968628960115225,0,,insufficient_data
Punjab,Malerkotla,2025,26,2026-02-08,2026-02-13,0.0394887778093993,0.3659825847703969,0.1417033742665151,0.0747458735724821,1,2.74,valid
Punjab,Malerkotla,2025,27,2026-02-13,2026-02-18,0.047412881643291,0.3803375219791585,0.1374362044935884,0.0755740623690023,2,3.7,valid
Punjab,Malerkotla,2025,28,2026-02-18,2026-02-23,0.04472607010044753,0.365251540387427,0.1343230538112101,0.07481431721443518,0,,insufficient_data
Punjab,Malerkotla,2025,29,2026-02-23,2026-02-28,0.0449302169963668,0.3755093810850869,0.1307083157716728,0.0724235017060366,2,0.015,valid
Punjab,Malerkotla,2025,30,2026-02-28,2026-03-05,0.0453562022884079,0.3483491812936458,0.1263082067088081,0.0731841298765321,1,0.05,valid
Punjab,Malerkotla,2025,31,2026-03-05,2026-03-10,0.0464422717647727,0.3560790328088471,0.1354591678154661,0.0781440185481228,1,0.07,valid
Punjab,Malerkotla,2025,32,2026-03-10,2026-03-15,0.0554439780703115,0.2955676576005523,0.1269607397875694,0.0752689070082366,1,12.95,valid
Punjab,Malerkotla,2025,33,2026-03-15,2026-03-20,0.05121136884615854,0.3236445529658416,0.13259029935541708,0.07741462338087546,0,,insufficient_data
Punjab,Malerkotla,2025,34,2026-03-20,2026-03-25,0.0576030232611421,0.2945823401603212,0.1416330831098247,0.0830614380906103,1,2.63,valid
Punjab,Malerkotla,2025,35,2026-03-25,2026-03-30,0.0565235006657268,0.29507499888043676,0.13429691144869704,0.07916517254942346,0,,insufficient_data
Punjab,Malerkotla,2025,36,2026-03-30,2026-04-04,0.0576030232611421,0.2945823401603212,0.1416330831098247,0.0830614380906103,0,,insufficient_data
Punjab,Malerkotla,2025,37,2026-04-04,2026-04-09,0.0576030232611421,0.2945823401603212,0.1416330831098247,0.0830614380906103,0,,insufficient_data
Punjab,Malerkotla,2025,38,2026-04-09,2026-04-14,,,,,0,,insufficient_data
Punjab,Malerkotla,2025,39,2026-04-14,2026-04-19,,,,,0,,insufficient_data
Punjab,Malerkotla,2025,40,2026-04-19,2026-04-24,,,,,0,,insufficient_data
Punjab,Malerkotla,2025,41,2026-04-24,2026-04-29,,,,,0,,insufficient_data
Punjab,Malerkotla,2025,42,2026-04-29,2026-05-04,,,,,0,,insufficient_data
