state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Mansa,2012,0,2012-10-01,2012-10-06,0.08605953286282636,0.34046696545301036,0.1929824369572779,0.1065945780900867,0,,insufficient_data
Punjab,Mansa,2012,1,2012-10-06,2012-10-11,0.0717985400232165,0.3450200426457868,0.1871249307542094,0.102305181870283,2,0.0,valid
Punjab,Mansa,2012,2,2012-10-11,2012-10-16,0.08605953286282636,0.34046696545301036,0.1929824369572779,0.1065945780900867,0,,insufficient_data
Punjab,Mansa,2012,3,2012-10-16,2012-10-21,0.1003205257024362,0.3359138882602339,0.1988399431603464,0.1108839743098904,2,9.5,valid
Punjab,Mansa,2012,4,2012-10-21,2012-10-26,0.11229192078957052,0.29763477363531704,0.22512559686753764,0.14444763171412517,0,,insufficient_data
Punjab,Mansa,2012,5,2012-10-26,2012-10-31,0.1257897143783552,0.28183968396516046,0.23779248557198032,0.15849511499540592,0,,insufficient_data
Punjab,Mansa,2012,6,2012-10-31,2012-11-05,0.1607856916776448,0.2770233967067464,0.2705139187282807,0.1848840347654063,1,0.0,valid
Punjab,Mansa,2012,7,2012-11-05,2012-11-10,0.1162629257549846,0.2325817669285011,0.244023594827314,0.179717335910921,2,6.5,valid
Punjab,Mansa,2012,8,2012-11-10,2012-11-15,0.13468115317135546,0.2256246524299318,0.24310933821750216,0.18744317731786764,0,,insufficient_data
Punjab,Mansa,2012,9,2012-11-15,2012-11-20,0.126261089104216,0.1910537294683414,0.2301413083683353,0.1972256230773884,2,1.5,valid
Punjab,Mansa,2012,10,2012-11-20,2012-11-25,0.1354149061485764,0.2018397166161382,0.2277585309460787,0.1879457155177549,2,7.0,valid
Punjab,Mansa,2012,11,2012-11-25,2012-11-30,0.12287666137749366,0.19401112941716794,0.22308065825185103,0.18778183960186684,0,,insufficient_data
Punjab,Mansa,2012,12,2012-11-30,2012-12-05,0.1144361950683441,0.1885753827668112,0.2184208325626354,0.1857819472902156,2,0.0,valid
Punjab,Mansa,2012,13,2012-12-05,2012-12-10,0.11611746620373956,0.20208407273796933,0.21746683213216264,0.17909432920297674,0,,insufficient_data
Punjab,Mansa,2012,14,2012-12-10,2012-12-15,0.1153944551888381,0.194575688817381,0.2160019611303547,0.1801740725221085,1,5.0,valid
Punjab,Mansa,2012,15,2012-12-15,2012-12-20,0.0992243084091996,0.223345502751547,0.2076860038895817,0.162475581481828,2,0.0,valid
Punjab,Mansa,2012,16,2012-12-20,2012-12-25,0.10730938179901886,0.208960595784464,0.2118439825099682,0.17132482700196827,0,,insufficient_data
Punjab,Mansa,2012,17,2012-12-25,2012-12-30,0.09854421491355721,0.21467091278713582,0.20152640716691192,0.15762416370226326,0,,insufficient_data
Punjab,Mansa,2012,18,2012-12-30,2013-01-04,0.09011909477591676,0.22471852477201326,0.19428863018519055,0.1463492092923406,0,,insufficient_data
Punjab,Mansa,2012,19,2013-01-04,2013-01-09,0.0649893823495029,0.266450434957317,0.16097420131353984,0.10208788827799535,0,,insufficient_data
Punjab,Mansa,2012,20,2013-01-09,2013-01-14,0.0810138811426339,0.2260915467924795,0.1808912564807994,0.1302228371028532,2,0.5,valid
Punjab,Mansa,2012,21,2013-01-14,2013-01-19,0.0649893823495029,0.266450434957317,0.16097420131353984,0.10208788827799535,0,,insufficient_data
Punjab,Mansa,2012,22,2013-01-19,2013-01-24,0.0489648835563719,0.3068093231221546,0.1410571461462803,0.0739529394531375,1,9.0,valid
Punjab,Mansa,2012,23,2013-01-24,2013-01-29,0.061028735738214795,0.3011948477049712,0.1562849370307071,0.09370911959370741,0,,insufficient_data
Punjab,Mansa,2012,24,2013-01-29,2013-02-03,0.05103616303600525,0.33874649816121705,0.14398177730566095,0.0754522608391345,0,,insufficient_data
Punjab,Mansa,2012,25,2013-02-03,2013-02-08,0.05103616303600525,0.33874649816121705,0.14398177730566095,0.0754522608391345,0,,insufficient_data
Punjab,Mansa,2012,26,2013-02-08,2013-02-13,0.0531074425156386,0.3706836732002795,0.1469064084650416,0.0769515822251315,2,11.5,valid
Punjab,Mansa,2012,27,2013-02-13,2013-02-18,0.04754992450650955,0.3704031811605747,0.14572831085177007,0.07433187972997665,0,,insufficient_data
Punjab,Mansa,2012,28,2013-02-18,2013-02-23,0.047036598102241735,0.3802918020306249,0.1460277465145371,0.07384317007293273,0,,insufficient_data
Punjab,Mansa,2012,29,2013-02-23,2013-02-28,0.047036598102241735,0.3802918020306249,0.1460277465145371,0.07384317007293273,0,,insufficient_data
Punjab,Mansa,2012,30,2013-02-28,2013-03-05,0.0419924064973805,0.3701226891208699,0.1445502132384985,0.0717121772348218,2,0.0,valid
Punjab,Mansa,2012,31,2013-03-05,2013-03-10,0.0460099452937061,0.4000690437707254,0.1466266178400711,0.0728657507588449,2,3.0,valid
Punjab,Mansa,2012,32,2013-03-10,2013-03-15,0.05872630875667564,0.36028605222652893,0.1435358605629411,0.07516803812933832,0,,insufficient_data
Punjab,Mansa,2012,33,2013-03-15,2013-03-20,0.059664066182078625,0.3295795621184735,0.14292735219427705,0.0777988583350905,0,,insufficient_data
Punjab,Mansa,2012,34,2013-03-20,2013-03-25,0.06555461941031133,0.31606518645100806,0.1423863985128699,0.07982775203518007,0,,insufficient_data
Punjab,Mansa,2012,35,2013-03-25,2013-03-30,0.0881765744789403,0.3106664237879916,0.1394307506102537,0.0809261863943483,2,11.0,valid
Punjab,Mansa,2012,36,2013-03-30,2013-04-04,0.0624773384582876,0.2374600917943072,0.1411018270882849,0.085691318952347,2,0.0,valid
Punjab,Mansa,2012,37,2013-04-04,2013-04-09,0.10527217285802307,0.24971356310145365,0.18506673853336042,0.12434978048778805,0,,insufficient_data
Punjab,Mansa,2012,38,2013-04-09,2013-04-14,0.1333012548579274,0.2293265504131219,0.2134517369250116,0.1491039863745888,1,0.0,valid
Punjab,Mansa,2012,39,2013-04-14,2013-04-19,0.137133523636937,0.221401186410394,0.2462826395098915,0.1816776302298682,2,0.0,valid
Punjab,Mansa,2012,40,2013-04-19,2013-04-24,0.17182954163248598,0.2613303935195352,0.2775504824143866,0.20292311824662845,0,,insufficient_data
Punjab,Mansa,2012,41,2013-04-24,2013-04-29,0.2450538464025935,0.3332634437350897,0.3729170708082567,0.2779877381354283,1,11.0,valid
Punjab,Mansa,2012,42,2013-04-29,2013-05-04,0.19109368501976526,0.27733231507274186,0.30959985515907407,0.22983268418264824,0,,insufficient_data
