state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Patiala,2024,0,2024-10-01,2024-10-06,0.0746333138479216,0.3653974791032491,0.1806397021902442,0.0981707161671299,2,2.065,valid
Punjab,Patiala,2024,1,2024-10-06,2024-10-11,0.085599543908567,0.3134621209626537,0.1987269141673761,0.117757803811701,3,0.5733333333333334,valid
Punjab,Patiala,2024,2,2024-10-11,2024-10-16,0.09669814715338218,0.2998312552391824,0.21107788021242913,0.13308484631912884,0,,insufficient_data
Punjab,Patiala,2024,3,2024-10-16,2024-10-21,0.112595389266101,0.2772356341664065,0.2255848013392832,0.1482859508463539,2,5.565,valid
Punjab,Patiala,2024,4,2024-10-21,2024-10-26,0.1139643415909391,0.2432297867244204,0.2393601031528131,0.1681249144513306,3,0.0333333333333333,valid
Punjab,Patiala,2024,5,2024-10-26,2024-10-31,0.1182019898476715,0.2356888003499199,0.23193343000344502,0.16910136287078986,0,,insufficient_data
Punjab,Patiala,2024,6,2024-10-31,2024-11-05,0.1231452797059624,0.2188407464956117,0.2385484166414593,0.1823989519783546,3,0.0166666666666666,valid
Punjab,Patiala,2024,7,2024-11-05,2024-11-10,0.12007085670819499,0.22183985574442436,0.23404963955816563,0.17603983354560185,0,,insufficient_data
Punjab,Patiala,2024,8,2024-11-10,2024-11-15,0.1231029488276835,0.203449034013241,0.2242403988802245,0.1775956342071204,2,0.81,valid
Punjab,Patiala,2024,9,2024-11-15,2024-11-20,0.10659237161050522,0.19602291122983792,0.20736843200582977,0.16677552652928743,0,,insufficient_data
Punjab,Patiala,2024,10,2024-11-20,2024-11-25,0.10107473557868618,0.18841696614124667,0.19697510379395325,0.16156771804626502,0,,insufficient_data
Punjab,Patiala,2024,11,2024-11-25,2024-11-30,0.0960456802783098,0.1750474436294158,0.1887656097767476,0.1624971818790943,3,13.986666666666666,valid
Punjab,Patiala,2024,12,2024-11-30,2024-12-05,0.0840755776300652,0.1867544207810832,0.1779193027248876,0.1446103380525804,3,4.376666666666666,valid
Punjab,Patiala,2024,13,2024-12-05,2024-12-10,0.08154830755031897,0.2061144736718783,0.16845891535713753,0.12869086912458524,0,,insufficient_data
Punjab,Patiala,2024,14,2024-12-10,2024-12-15,0.0808111494378401,0.2068091122311847,0.1697237572265673,0.1286573466194606,3,0.2,valid
Punjab,Patiala,2024,15,2024-12-15,2024-12-20,0.0749409265422637,0.2307975085615678,0.1481967259701591,0.1004278349832424,1,0.0,valid
Punjab,Patiala,2024,16,2024-12-20,2024-12-25,0.071868203863116,0.2311638831561401,0.1576891810873261,0.1072616440885486,2,0.0,valid
Punjab,Patiala,2024,17,2024-12-25,2024-12-30,0.06714829518518223,0.24086625863149577,0.1500842873312616,0.10010517108145091,0,,insufficient_data
Punjab,Patiala,2024,18,2024-12-30,2025-01-04,0.06259401043429626,0.2522186407649328,0.1435377973661597,0.09058777923544765,0,,insufficient_data
Punjab,Patiala,2024,19,2025-01-04,2025-01-09,0.04872159434605894,0.2897041491991755,0.13732722114694526,0.07817411837801001,0,,insufficient_data
Punjab,Patiala,2024,20,2025-01-09,2025-01-14,0.0409729008975091,0.2946945305770905,0.1247274850409939,0.064073858634552,1,0.11,valid
Punjab,Patiala,2024,21,2025-01-14,2025-01-19,0.04150521118140778,0.34325040111167543,0.1319540645391258,0.06734408801214291,0,,insufficient_data
Punjab,Patiala,2024,22,2025-01-19,2025-01-24,0.0333236782775517,0.3432540338642958,0.1295649973125158,0.0631868524109294,1,0.42,valid
Punjab,Patiala,2024,23,2025-01-24,2025-01-29,0.042316936552725,0.3752391892395804,0.133312082704781,0.0681825319156663,1,0.01,valid
Punjab,Patiala,2024,24,2025-01-29,2025-02-03,0.0494073289978453,0.3598138507657352,0.1402116930982125,0.0739331090874239,2,6.67,valid
Punjab,Patiala,2024,25,2025-02-03,2025-02-08,0.0430530271032194,0.3757665068192756,0.1442045696717996,0.0758170576336483,3,0.03,valid
Punjab,Patiala,2024,26,2025-02-08,2025-02-13,0.04456572318375586,0.4029809625810656,0.14165045145844452,0.07343246872133515,0,,insufficient_data
Punjab,Patiala,2024,27,2025-02-13,2025-02-18,0.0435831698514491,0.3915626558946123,0.1512694652791546,0.0811405906475951,3,13.31,valid
Punjab,Patiala,2024,28,2025-02-18,2025-02-23,0.0444681534135405,0.5125226101861243,0.1392544465382749,0.0680890543223421,1,27.16,valid
Punjab,Patiala,2024,29,2025-02-23,2025-02-28,0.044704592456428514,0.3984511789962782,0.13574858490122885,0.07348934570501978,0,,insufficient_data
Punjab,Patiala,2024,30,2025-02-28,2025-03-05,0.037852930694175,0.3708953441670596,0.1264858547234905,0.0658115854634198,2,0.035,valid
Punjab,Patiala,2024,31,2025-03-05,2025-03-10,0.0420540824290422,0.3610910113808797,0.1237161021892181,0.0691283441874466,1,15.97,valid
Punjab,Patiala,2024,32,2025-03-10,2025-03-15,0.0555646258939358,0.3561842733527152,0.1380170557760061,0.0832771539042953,2,15.715,valid
Punjab,Patiala,2024,33,2025-03-15,2025-03-20,0.0461597418262015,0.3102098401610768,0.1311564041967557,0.0749087527887421,3,0.0266666666666666,valid
Punjab,Patiala,2024,34,2025-03-20,2025-03-25,0.060731374232472456,0.31267237365887235,0.14013498644621977,0.08474829288347169,0,,insufficient_data
Punjab,Patiala,2024,35,2025-03-25,2025-03-30,0.056393940561983,0.2774039530385741,0.1280548264845081,0.0758380437283418,2,0.945,valid
Punjab,Patiala,2024,36,2025-03-30,2025-04-04,0.1034844804511998,0.2584727903611162,0.1797305435846109,0.1205891698085327,3,1.4633333333333332,valid
Punjab,Patiala,2024,37,2025-04-04,2025-04-09,0.13045459648760876,0.28066212238984556,0.21923312621615798,0.14706884832799372,0,,insufficient_data
Punjab,Patiala,2024,38,2025-04-09,2025-04-14,0.1437638659451822,0.2708594271211023,0.2264666399238264,0.1500759933461911,3,10.536666666666669,valid
Punjab,Patiala,2024,39,2025-04-14,2025-04-19,0.1629966744552879,0.283592601228075,0.2761571870455845,0.1871587562270397,1,21.61,valid
Punjab,Patiala,2024,40,2025-04-19,2025-04-24,0.1856340210243908,0.3129818402003604,0.2857564340422599,0.2016822785298633,2,13.335,valid
Punjab,Patiala,2024,41,2025-04-24,2025-04-29,0.1876708059343612,0.3021002671443886,0.328962429361638,0.2473006144712611,3,2.2333333333333334,valid
Punjab,Patiala,2024,42,2025-04-29,2025-05-04,0.17876716713801333,0.2995582361909413,0.2969586834831608,0.21204721640938803,0,,insufficient_data
