state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Rupnagar,2015,0,2015-10-01,2015-10-06,0.0655754006475409,0.3132335567287588,0.1820644366416725,0.1076662045392536,2,1.595,valid
Punjab,Rupnagar,2015,1,2015-10-06,2015-10-11,0.0842163930007036,0.2693128269053719,0.1960706113899399,0.1220736967691012,4,1.035,valid
Punjab,Rupnagar,2015,2,2015-10-11,2015-10-16,0.1004572630554228,0.2788941708687488,0.20920367069861825,0.1356209685272314,0,,insufficient_data
Punjab,Rupnagar,2015,3,2015-10-16,2015-10-21,0.0978943389615985,0.2726975214239528,0.2152103406713384,0.1409635680368451,4,1.305,valid
Punjab,Rupnagar,2015,4,2015-10-21,2015-10-26,0.1541429196118482,0.2603327784169116,0.2434692940915223,0.1717804047637257,1,9.0,valid
Punjab,Rupnagar,2015,5,2015-10-26,2015-10-31,0.12200466711052044,0.25817994357399937,0.22902768612439325,0.16055006640370195,0,,insufficient_data
Punjab,Rupnagar,2015,6,2015-10-31,2015-11-05,0.1139767427581146,0.2415095308811337,0.2284034236103191,0.1689062264105351,3,7.073333333333333,valid
Punjab,Rupnagar,2015,7,2015-11-05,2015-11-10,0.1245813876740108,0.23710351504097357,0.22812476835259335,0.17204747536597445,0,,insufficient_data
Punjab,Rupnagar,2015,8,2015-11-10,2015-11-15,0.1172197827046532,0.22623440715681917,0.2207475596228822,0.17335860010464343,0,,insufficient_data
Punjab,Rupnagar,2015,9,2015-11-15,2015-11-20,0.1056245006520696,0.2094682358248754,0.2125015873559387,0.1754557949236626,4,1.8375,valid
Punjab,Rupnagar,2015,10,2015-11-20,2015-11-25,0.10752320597980684,0.21564239194156276,0.20507285073890946,0.16302881173849418,0,,insufficient_data
Punjab,Rupnagar,2015,11,2015-11-25,2015-11-30,0.1320581047037754,0.2277254547644484,0.2213376679023889,0.1757137789797326,2,22.46,valid
Punjab,Rupnagar,2015,12,2015-11-30,2015-12-05,0.0848870125835755,0.2097334852353645,0.1813792969584008,0.1379168613120873,4,3.31,valid
Punjab,Rupnagar,2015,13,2015-12-05,2015-12-10,0.09239164175293456,0.22534417005618437,0.1761522477986409,0.12396396785047062,0,,insufficient_data
Punjab,Rupnagar,2015,14,2015-12-10,2015-12-15,0.1130853131080377,0.2155909982722494,0.1574942010193192,0.0990285716129049,2,9.5,valid
Punjab,Rupnagar,2015,15,2015-12-15,2015-12-20,0.064480735219078,0.2348844314202892,0.1623822632032716,0.1006705004416906,2,0.5,valid
Punjab,Rupnagar,2015,16,2015-12-20,2015-12-25,0.0674470431502062,0.2387864805885704,0.1581678099098241,0.1064901269059377,2,9.905,valid
Punjab,Rupnagar,2015,17,2015-12-25,2015-12-30,0.0630488584363487,0.2476331553657329,0.1642383034775332,0.1012508341581817,3,7.233333333333333,valid
Punjab,Rupnagar,2015,18,2015-12-30,2016-01-04,0.06399243991628031,0.24970705474301172,0.15563988439604534,0.09766355832492173,0,,insufficient_data
Punjab,Rupnagar,2015,19,2016-01-04,2016-01-09,0.0604387193836367,0.2663012416793137,0.1572356327517062,0.0971515240505633,2,7.975,valid
Punjab,Rupnagar,2015,20,2016-01-09,2016-01-14,0.0645468433921319,0.2609299646611525,0.1361754126378917,0.0827548060682353,3,8.676666666666668,valid
