state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Uttar_Pradesh,Barabanki,2023,0,2023-10-01,2023-10-06,0.09403356327051349,0.297575967274919,0.22649263408480466,0.14470521668373185,0,,insufficient_data
Uttar_Pradesh,Barabanki,2023,1,2023-10-06,2023-10-11,0.0859429104249493,0.2980086162253229,0.2111414052724672,0.1299821559145272,2,0.025,valid
Uttar_Pradesh,Barabanki,2023,2,2023-10-11,2023-10-16,0.0919064844364821,0.3042368179951212,0.2283765571593859,0.1460459151601814,2,5.375,valid
Uttar_Pradesh,Barabanki,2023,3,2023-10-16,2023-10-21,0.1042512949501091,0.2904824676043129,0.2399599398225609,0.1580875789764869,4,0.145,valid
Uttar_Pradesh,Barabanki,2023,4,2023-10-21,2023-10-26,0.10444650537663566,0.27809175324053825,0.23925900345698725,0.16471081275756747,0,,insufficient_data
Uttar_Pradesh,Barabanki,2023,5,2023-10-26,2023-10-31,0.1188940833526409,0.2629474070735192,0.2637832210375381,0.1957590613361493,4,0.1325,valid
Uttar_Pradesh,Barabanki,2023,6,2023-10-31,2023-11-05,0.121237753718997,0.2347834573044152,0.2530338939929842,0.1936793524004925,4,6.255,valid
Uttar_Pradesh,Barabanki,2023,7,2023-11-05,2023-11-10,0.11576195487287408,0.2313618192926071,0.24496336061637933,0.18769201917209394,0,,insufficient_data
Uttar_Pradesh,Barabanki,2023,8,2023-11-10,2023-11-15,0.1104233046496656,0.2145237984297437,0.2344377770085819,0.1799946422382973,2,3.07,valid
Uttar_Pradesh,Barabanki,2023,9,2023-11-15,2023-11-20,0.1157438039039773,0.2190806178423259,0.2352420938455912,0.1836540273822587,1,0.68,valid
Uttar_Pradesh,Barabanki,2023,10,2023-11-20,2023-11-25,0.1125108287390896,0.2254738158130315,0.2383198171972011,0.1853730125032719,2,0.0699999999999999,valid
Uttar_Pradesh,Barabanki,2023,11,2023-11-25,2023-11-30,0.1015456985559181,0.2343075746991761,0.2223218145079267,0.1667644805247249,1,20.44,valid
Uttar_Pradesh,Barabanki,2023,12,2023-11-30,2023-12-05,0.09662359501360818,0.2358689297158647,0.21180836437692302,0.15438248922953593,0,,insufficient_data
Uttar_Pradesh,Barabanki,2023,13,2023-12-05,2023-12-10,0.0653380231999239,0.2335872858134775,0.172321778757202,0.1053012219280228,1,14.77,valid
