state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Uttar_Pradesh,Sitapur,2023,0,2023-10-01,2023-10-06,0.07344563629841566,0.28801817179371847,0.19116259832825389,0.11089962161601097,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,1,2023-10-06,2023-10-11,0.0678832592982595,0.3002036962275475,0.1895705054934245,0.1062900068510171,1,0.05,valid
Uttar_Pradesh,Sitapur,2023,2,2023-10-11,2023-10-16,0.0777038402762216,0.2748942823344817,0.1859417820338544,0.1118693179199183,1,2.4,valid
Uttar_Pradesh,Sitapur,2023,3,2023-10-16,2023-10-21,0.0747498093207659,0.2889565368191262,0.1979755074574827,0.1145395400770975,2,0.225,valid
Uttar_Pradesh,Sitapur,2023,4,2023-10-21,2023-10-26,0.07893000577412428,0.2757899463918016,0.1997797455558612,0.12286424841410215,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,5,2023-10-26,2023-10-31,0.0857057910053289,0.2686880432831586,0.2156290292200686,0.1400569013665666,2,0.1699999999999999,valid
Uttar_Pradesh,Sitapur,2023,6,2023-10-31,2023-11-05,0.0886073289700455,0.246207173294694,0.2097819035744757,0.1415654758559113,2,1.67,valid
Uttar_Pradesh,Sitapur,2023,7,2023-11-05,2023-11-10,0.09099011257648713,0.2286552022331904,0.20148189067971037,0.14096857612104197,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,8,2023-11-10,2023-11-15,0.0881476878390609,0.1922235387420954,0.1823282898867022,0.1301585015389997,1,0.04,valid
Uttar_Pradesh,Sitapur,2023,9,2023-11-15,2023-11-20,0.09336551723149185,0.21954686272704016,0.1976753335635705,0.1429187824195203,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,10,2023-11-20,2023-11-25,0.1014996424915132,0.2075020536128136,0.1981883400375949,0.1520934257226903,1,0.12,valid
Uttar_Pradesh,Sitapur,2023,11,2023-11-25,2023-11-30,0.0952074096253478,0.2322546852585577,0.2004028007555092,0.1478577265604799,1,20.44,valid
Uttar_Pradesh,Sitapur,2023,12,2023-11-30,2023-12-05,0.08938331837955955,0.219232287171412,0.18748469865860282,0.13488678134959994,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,13,2023-12-05,2023-12-10,0.0744756357238729,0.2088910506512066,0.162666043272526,0.1079741210846173,1,14.77,valid
Uttar_Pradesh,Sitapur,2023,14,2023-12-10,2023-12-15,0.0863505856775043,0.22828135916307,0.1886816105687812,0.1316218520306123,2,4.675,valid
Uttar_Pradesh,Sitapur,2023,15,2023-12-15,2023-12-20,0.0804131107006886,0.21858620490713832,0.1756738269206536,0.11979798655761481,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,16,2023-12-20,2023-12-25,0.0804131107006886,0.21858620490713832,0.1756738269206536,0.11979798655761481,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,17,2023-12-25,2023-12-30,0.0863505856775043,0.22828135916307,0.1886816105687812,0.1316218520306123,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,18,2023-12-30,2024-01-04,,,,,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,19,2024-01-04,2024-01-09,,,,,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,20,2024-01-09,2024-01-14,,,,,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,21,2024-01-14,2024-01-19,0.0644459080790012,0.2805827082117861,0.149790516489206,0.0907617552498079,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,22,2024-01-19,2024-01-24,0.0644459080790012,0.2805827082117861,0.149790516489206,0.0907617552498079,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,23,2024-01-24,2024-01-29,0.0619505028692227,0.2856722685048242,0.15281112666679064,0.092495590754475,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,24,2024-01-29,2024-02-03,0.0644459080790012,0.2805827082117861,0.149790516489206,0.0907617552498079,1,0.02,valid
Uttar_Pradesh,Sitapur,2023,25,2024-02-03,2024-02-08,0.06227159711002833,0.27925812223267626,0.15624356323829158,0.09583108363178126,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,26,2024-02-08,2024-02-13,0.0594550976594442,0.2907618287978623,0.1558317368443753,0.0942294262591421,1,1.41,valid
Uttar_Pradesh,Sitapur,2023,27,2024-02-13,2024-02-18,0.0629137855916396,0.2664298296883804,0.1631084363812935,0.1025020693863938,2,6.7,valid
Uttar_Pradesh,Sitapur,2023,28,2024-02-18,2024-02-23,0.06178179753615828,0.27943741896745156,0.1632590544005136,0.10244104271540753,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,29,2024-02-23,2024-02-28,0.062976509357391,0.2811205984161121,0.170836989975872,0.1105916325006867,1,0.03,valid
Uttar_Pradesh,Sitapur,2023,30,2024-02-28,2024-03-04,0.07043129529044384,0.276624602326347,0.1790622102609059,0.11907524276457225,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,31,2024-03-04,2024-03-09,0.07651355860145309,0.2787472835406452,0.18501978625746376,0.12600226124984412,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,32,2024-03-09,2024-03-14,0.0750065860763576,0.293243650156046,0.1894835543726826,0.1286496424434265,2,14.62,valid
Uttar_Pradesh,Sitapur,2023,33,2024-03-14,2024-03-19,0.0808283001363872,0.2657043310448496,0.1928198603137755,0.134557626727782,1,0.05,valid
Uttar_Pradesh,Sitapur,2023,34,2024-03-19,2024-03-24,0.0872428388356766,0.2749205545455732,0.186938740367525,0.1302101433274813,1,2.54,valid
Uttar_Pradesh,Sitapur,2023,35,2024-03-24,2024-03-29,0.094572281541723,0.255837907881255,0.2099423073374861,0.1499619036656831,2,21.025,valid
Uttar_Pradesh,Sitapur,2023,36,2024-03-29,2024-04-03,0.10063721926301579,0.25675741944002717,0.21553539197529686,0.1557091884044442,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,37,2024-04-03,2024-04-08,0.1176304753896578,0.247659828379746,0.2325339081798553,0.1733743122506996,2,12.245,valid
Uttar_Pradesh,Sitapur,2023,38,2024-04-08,2024-04-13,0.1229122004116343,0.239664475348712,0.2554421436778425,0.190441956050575,1,0.03,valid
Uttar_Pradesh,Sitapur,2023,39,2024-04-13,2024-04-18,0.13960012684839218,0.26629252138152953,0.2720328146924067,0.2039808156807881,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,40,2024-04-18,2024-04-23,0.148032955353189,0.273575331333581,0.2955854777964146,0.2216498805438269,2,0.04,valid
Uttar_Pradesh,Sitapur,2023,41,2024-04-23,2024-04-28,0.14692334400130364,0.2725034190487907,0.28519911686325716,0.21418298349081763,0,,insufficient_data
Uttar_Pradesh,Sitapur,2023,42,2024-04-28,2024-05-03,0.1698248762390876,0.3042704504640792,0.3045697291155144,0.2304571138780509,1,5.08,valid
