state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Ambala,2020,0,2020-10-01,2020-10-06,,,,,0,,insufficient_data
Haryana,Ambala,2020,1,2020-10-06,2020-10-11,0.09182442291038954,0.2798660461172944,0.19828231054034673,0.12523597396105515,1,0.0,valid
Haryana,Ambala,2020,2,2020-10-11,2020-10-16,0.10604838437762691,0.24575369407138395,0.2057798152017393,0.1400205999680166,2,0.605,valid
Haryana,Ambala,2020,3,2020-10-16,2020-10-21,,,,,0,,insufficient_data
Haryana,Ambala,2020,4,2020-10-21,2020-10-26,0.1363998157169668,0.23539509174857068,0.217065592286669,0.1556861610378282,1,11.0,valid
Haryana,Ambala,2020,5,2020-10-26,2020-10-31,0.11004651174605384,0.21027942116342627,0.20697839943867996,0.16166543530177108,1,0.01,valid
Haryana,Ambala,2020,6,2020-10-31,2020-11-05,0.11764071412106691,0.22466496294902974,0.229525148407504,0.17026327616278136,1,3.0,valid
Haryana,Ambala,2020,7,2020-11-05,2020-11-10,0.11855216465183732,0.20119853646968874,0.20773390561278804,0.17104771630957813,1,0.0,valid
Haryana,Ambala,2020,8,2020-11-10,2020-11-15,,,,,0,,insufficient_data
Haryana,Ambala,2020,9,2020-11-15,2020-11-20,,,,,0,,insufficient_data
Haryana,Ambala,2020,10,2020-11-20,2020-11-25,,,,,0,,insufficient_data
Haryana,Ambala,2020,11,2020-11-25,2020-11-30,,,,,0,,insufficient_data
Haryana,Ambala,2020,12,2020-11-30,2020-12-05,0.09629981530503098,0.23629534785558892,0.18579614920734658,0.13709459344145533,2,2.005,valid
Haryana,Ambala,2020,13,2020-12-05,2020-12-10,0.34187441211398334,0.4158660742941564,0.353499871656427,0.2767846939995075,1,16.0,valid
Haryana,Ambala,2020,14,2020-12-10,2020-12-15,,,,,0,,insufficient_data
Haryana,Ambala,2020,15,2020-12-15,2020-12-20,0.19223708579846147,0.33784914775401226,0.21131322071379838,0.13966703941323536,1,22.0,valid
Haryana,Ambala,2020,16,2020-12-20,2020-12-25,,,,,0,,insufficient_data
Haryana,Ambala,2020,17,2020-12-25,2020-12-30,,,,,0,,insufficient_data
Haryana,Ambala,2020,18,2020-12-30,2021-01-04,,,,,0,,insufficient_data
Haryana,Ambala,2020,19,2021-01-04,2021-01-09,,,,,0,,insufficient_data
Haryana,Ambala,2020,20,2021-01-09,2021-01-14,,,,,0,,insufficient_data
Haryana,Ambala,2020,21,2021-01-14,2021-01-19,0.05212702754350809,0.2850610842521502,0.13942932821999257,0.07948248183555684,1,18.21,valid
Haryana,Ambala,2020,22,2021-01-19,2021-01-24,0.07306722877425446,0.2942350343328353,0.14383608817965204,0.07734686559726214,1,2.0,valid
Haryana,Ambala,2020,23,2021-01-24,2021-01-29,,,,,0,,insufficient_data
Haryana,Ambala,2020,24,2021-01-29,2021-02-03,,,,,0,,insufficient_data
Haryana,Ambala,2020,25,2021-02-03,2021-02-08,0.05635263105134671,0.30334049229098053,0.13884929881812402,0.08148412538043023,1,29.23,valid
Haryana,Ambala,2020,26,2021-02-08,2021-02-13,,,,,0,,insufficient_data
Haryana,Ambala,2020,27,2021-02-13,2021-02-18,,,,,0,,insufficient_data
Haryana,Ambala,2020,28,2021-02-18,2021-02-23,0.051328154670742136,0.2949748904094549,0.133687048516152,0.07872742847898474,2,16.685000000000002,valid
Haryana,Ambala,2020,29,2021-02-23,2021-02-28,0.05986129380089779,0.3129931730167679,0.13748999672511242,0.07240971013780925,1,16.0,valid
Haryana,Ambala,2020,30,2021-02-28,2021-03-05,,,,,0,,insufficient_data
Haryana,Ambala,2020,31,2021-03-05,2021-03-10,,,,,0,,insufficient_data
Haryana,Ambala,2020,32,2021-03-10,2021-03-15,,,,,0,,insufficient_data
Haryana,Ambala,2020,33,2021-03-15,2021-03-20,0.10713939797836806,0.29083487102944244,0.16610026908328096,0.10799622577283145,1,0.0,valid
Haryana,Ambala,2020,34,2021-03-20,2021-03-25,0.1006921062773317,0.27045114481216914,0.17827933055600964,0.11721661874991146,1,5.0,valid
Haryana,Ambala,2020,35,2021-03-25,2021-03-30,,,,,0,,insufficient_data
Haryana,Ambala,2020,36,2021-03-30,2021-04-04,0.09209723995931235,0.21987321539162843,0.17162938415392864,0.11720491735943886,1,0.0,valid
Haryana,Ambala,2020,37,2021-04-04,2021-04-09,0.12514414278780212,0.23976809265661103,0.21538814767161538,0.1568035665248819,1,0.99,valid
Haryana,Ambala,2020,38,2021-04-09,2021-04-14,0.13782132702718178,0.25087560866405273,0.23514703756486863,0.1711470892603424,1,8.0,valid
Haryana,Ambala,2020,39,2021-04-14,2021-04-19,,,,,0,,insufficient_data
Haryana,Ambala,2020,40,2021-04-19,2021-04-24,,,,,0,,insufficient_data
Haryana,Ambala,2020,41,2021-04-24,2021-04-29,0.1655818479788061,0.28022618136523614,0.2899828398353436,0.22835826297942918,2,1.075,valid
Haryana,Ambala,2020,42,2021-04-29,2021-05-04,,,,,0,,insufficient_data
