state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Charkhi Dadri,2024,0,2024-10-01,2024-10-06,0.0981433524359694,0.2873884388970235,0.23089908928514027,0.158686691560152,1,0.29,valid
Haryana,Charkhi Dadri,2024,1,2024-10-06,2024-10-11,0.11174564872627654,0.2777641540530992,0.251895824927192,0.18395470206919226,1,0.15,valid
Haryana,Charkhi Dadri,2024,2,2024-10-11,2024-10-16,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,3,2024-10-16,2024-10-21,0.12741261028605477,0.2778933867319386,0.2613483074345406,0.19981154554604993,1,11.12,valid
Haryana,Charkhi Dadri,2024,4,2024-10-21,2024-10-26,0.13028440381738926,0.2544117118481204,0.2681818407924196,0.2158834807949787,1,0.02,valid
Haryana,Charkhi Dadri,2024,5,2024-10-26,2024-10-31,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,6,2024-10-31,2024-11-05,0.13982648226992053,0.24129909429031338,0.2681749530729607,0.22177508431439455,1,0.01,valid
Haryana,Charkhi Dadri,2024,7,2024-11-05,2024-11-10,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,8,2024-11-10,2024-11-15,0.14107553449952753,0.2246879827900408,0.2575051610305429,0.21456267154413483,1,1.57,valid
Haryana,Charkhi Dadri,2024,9,2024-11-15,2024-11-20,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,10,2024-11-20,2024-11-25,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,11,2024-11-25,2024-11-30,0.1358243877219052,0.22833217991480687,0.25510422787990195,0.2216308523594555,1,21.36,valid
Haryana,Charkhi Dadri,2024,12,2024-11-30,2024-12-05,0.1144329122042844,0.23836957087649954,0.23498532979263942,0.19328623465429123,1,0.09,valid
Haryana,Charkhi Dadri,2024,13,2024-12-05,2024-12-10,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,14,2024-12-10,2024-12-15,0.10943387574378982,0.2585857655542294,0.22158495499498176,0.17625962528507974,1,0.56,valid
Haryana,Charkhi Dadri,2024,15,2024-12-15,2024-12-20,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,16,2024-12-20,2024-12-25,0.08895315317722169,0.25814513563605634,0.19486461807613528,0.14223351958127312,1,0.0,valid
Haryana,Charkhi Dadri,2024,17,2024-12-25,2024-12-30,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,18,2024-12-30,2025-01-04,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,19,2025-01-04,2025-01-09,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,20,2025-01-09,2025-01-14,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,21,2025-01-14,2025-01-19,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,22,2025-01-19,2025-01-24,0.05318848091748283,0.3246513544417863,0.14345024967433304,0.08184405534704894,1,0.42,valid
Haryana,Charkhi Dadri,2024,23,2025-01-24,2025-01-29,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,24,2025-01-29,2025-02-03,0.05367814907890551,0.34891522415805754,0.14016728056152772,0.0786561546131745,1,4.05,valid
Haryana,Charkhi Dadri,2024,25,2025-02-03,2025-02-08,0.054487400806884044,0.35723559654204573,0.13477977526338908,0.07488409727825324,1,0.03,valid
Haryana,Charkhi Dadri,2024,26,2025-02-08,2025-02-13,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,27,2025-02-13,2025-02-18,0.049387045106334695,0.3626329799076014,0.1354513292534744,0.07561000533411114,1,6.59,valid
Haryana,Charkhi Dadri,2024,28,2025-02-18,2025-02-23,0.05382732899209815,0.3988260363764311,0.13345903523970287,0.07682497716806758,1,27.16,valid
Haryana,Charkhi Dadri,2024,29,2025-02-23,2025-02-28,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,30,2025-02-28,2025-03-05,0.046824212234786805,0.3560478204298826,0.12673487891195354,0.07005609572300653,1,0.03,valid
Haryana,Charkhi Dadri,2024,31,2025-03-05,2025-03-10,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,32,2025-03-10,2025-03-15,0.0663112702310691,0.34550053916600726,0.14703186307115312,0.08912639186017081,1,12.18,valid
Haryana,Charkhi Dadri,2024,33,2025-03-15,2025-03-20,0.07640229287117041,0.287347283149816,0.1644650825577593,0.11280665823701776,1,0.03,valid
Haryana,Charkhi Dadri,2024,34,2025-03-20,2025-03-25,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,35,2025-03-25,2025-03-30,0.11544191745088493,0.261563013879997,0.22038149728517908,0.16873287475127915,1,1.88,valid
Haryana,Charkhi Dadri,2024,36,2025-03-30,2025-04-04,0.1548832492605478,0.2708487850990961,0.2760718653178211,0.22263616682816212,1,0.0,valid
Haryana,Charkhi Dadri,2024,37,2025-04-04,2025-04-09,,,,,0,,insufficient_data
Haryana,Charkhi Dadri,2024,38,2025-04-09,2025-04-14,0.18066557805620084,0.28369857613264365,0.31216789674798434,0.24701698964446123,1,1.92,valid
