state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Hisar,2020,0,2020-10-01,2020-10-06,0.11205533918761952,0.26702215294783543,0.25012086243978654,0.18795603018861035,2,0.0,valid
Haryana,Hisar,2020,1,2020-10-06,2020-10-11,0.11018488685541507,0.2855388365990324,0.23903937089300664,0.16600464408166532,1,0.0,valid
Haryana,Hisar,2020,2,2020-10-11,2020-10-16,0.11640947896158609,0.2561831070815218,0.23725480884758957,0.17000862496523558,4,0.5275000000000001,valid
Haryana,Hisar,2020,3,2020-10-16,2020-10-21,,,,,0,,insufficient_data
Haryana,Hisar,2020,4,2020-10-21,2020-10-26,0.1385992675284534,0.2598135859263082,0.2609360136708922,0.19957244716760958,3,13.193333333333333,valid
Haryana,Hisar,2020,5,2020-10-26,2020-10-31,0.1482233144744571,0.25461228853597945,0.26261967110418094,0.20795445248854846,3,6.426666666666667,valid
Haryana,Hisar,2020,6,2020-10-31,2020-11-05,,,,,0,,insufficient_data
Haryana,Hisar,2020,7,2020-11-05,2020-11-10,,,,,0,,insufficient_data
Haryana,Hisar,2020,8,2020-11-10,2020-11-15,,,,,0,,insufficient_data
Haryana,Hisar,2020,9,2020-11-15,2020-11-20,,,,,0,,insufficient_data
Haryana,Hisar,2020,10,2020-11-20,2020-11-25,0.14778054778507657,0.23552104993925108,0.25238219832594916,0.20856176462803713,3,19.883333333333333,valid
Haryana,Hisar,2020,11,2020-11-25,2020-11-30,,,,,0,,insufficient_data
Haryana,Hisar,2020,12,2020-11-30,2020-12-05,0.13673449076137248,0.23537535219378367,0.24384400098279377,0.20434316638231245,4,3.9125,valid
Haryana,Hisar,2020,13,2020-12-05,2020-12-10,0.120274120727473,0.2330948834046572,0.21322280712932284,0.16490867496443878,3,6.8566666666666665,valid
Haryana,Hisar,2020,14,2020-12-10,2020-12-15,,,,,0,,insufficient_data
Haryana,Hisar,2020,15,2020-12-15,2020-12-20,,,,,0,,insufficient_data
Haryana,Hisar,2020,16,2020-12-20,2020-12-25,0.10093441991677683,0.2737655732087278,0.1846963306915991,0.1368574364212392,2,8.295,valid
Haryana,Hisar,2020,17,2020-12-25,2020-12-30,0.10701474402571018,0.27343942147605604,0.1834860076173267,0.12498048837115867,1,4.0,valid
Haryana,Hisar,2020,18,2020-12-30,2021-01-04,0.2092816487212349,0.270157683391165,0.2911918369409575,0.2593300495994665,1,21.0,valid
Haryana,Hisar,2020,19,2021-01-04,2021-01-09,,,,,0,,insufficient_data
Haryana,Hisar,2020,20,2021-01-09,2021-01-14,,,,,0,,insufficient_data
Haryana,Hisar,2020,21,2021-01-14,2021-01-19,0.07388267375259477,0.2681357174375741,0.15506650596288263,0.09806430673969045,1,18.21,valid
Haryana,Hisar,2020,22,2021-01-19,2021-01-24,,,,,0,,insufficient_data
Haryana,Hisar,2020,23,2021-01-24,2021-01-29,0.07936315582770495,0.3292602655854904,0.15160864919395156,0.08780332766480357,3,11.623333333333335,valid
Haryana,Hisar,2020,24,2021-01-29,2021-02-03,0.09232271131731284,0.3298962720560658,0.1604536874393918,0.10174687488861818,2,1.5,valid
Haryana,Hisar,2020,25,2021-02-03,2021-02-08,0.06395444670895094,0.34651937531716537,0.16104098723710586,0.0982823988479014,2,19.07,valid
Haryana,Hisar,2020,26,2021-02-08,2021-02-13,0.06350791429594324,0.3381060678950186,0.14862913083989998,0.09193899741830985,2,10.005,valid
Haryana,Hisar,2020,27,2021-02-13,2021-02-18,,,,,0,,insufficient_data
Haryana,Hisar,2020,28,2021-02-18,2021-02-23,0.46857478240497796,0.5534087616852189,0.47433375563917035,0.38252620925579367,2,16.685000000000002,valid
Haryana,Hisar,2020,29,2021-02-23,2021-02-28,0.06300930267477525,0.3494380499608335,0.15550960145592882,0.09277379742741965,3,0.12333333333333334,valid
Haryana,Hisar,2020,30,2021-02-28,2021-03-05,,,,,0,,insufficient_data
Haryana,Hisar,2020,31,2021-03-05,2021-03-10,0.07313287116107511,0.34838505309616563,0.1620032191231308,0.10255475793801815,3,0.3933333333333333,valid
Haryana,Hisar,2020,32,2021-03-10,2021-03-15,0.08236855829212861,0.29595835589824643,0.16935233591866872,0.1161183281404438,2,0.04,valid
Haryana,Hisar,2020,33,2021-03-15,2021-03-20,0.16709589612830258,0.3538856403978303,0.20973327756765162,0.14691592122099004,1,12.0,valid
Haryana,Hisar,2020,34,2021-03-20,2021-03-25,,,,,0,,insufficient_data
Haryana,Hisar,2020,35,2021-03-25,2021-03-30,,,,,0,,insufficient_data
Haryana,Hisar,2020,36,2021-03-30,2021-04-04,0.13090481453115713,0.2532088231507618,0.21985719183358646,0.16593443255883997,3,0.006666666666666667,valid
Haryana,Hisar,2020,37,2021-04-04,2021-04-09,0.16378043607722448,0.27037521590441,0.27294548255361,0.21425313804722204,4,0.2475,valid
Haryana,Hisar,2020,38,2021-04-09,2021-04-14,,,,,0,,insufficient_data
Haryana,Hisar,2020,39,2021-04-14,2021-04-19,0.20615144013179512,0.2913037961689114,0.3209697007474787,0.2547845651181569,2,12.96,valid
Haryana,Hisar,2020,40,2021-04-19,2021-04-24,0.20299476594327828,0.2637727557445817,0.31821393827737465,0.2686498453589131,1,1.0,valid
Haryana,Hisar,2020,41,2021-04-24,2021-04-29,0.20557067969740767,0.3006962544286813,0.3521690507543771,0.2941962356290992,2,0.075,valid
Haryana,Hisar,2020,42,2021-04-29,2021-05-04,,,,,0,,insufficient_data
