state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Kaithal,2024,0,2024-10-01,2024-10-06,0.08262918462740251,0.35258640249173145,0.19039521198272372,0.10664447992596551,2,2.065,valid
Haryana,Kaithal,2024,1,2024-10-06,2024-10-11,0.09786842728087078,0.3232447851090799,0.2259872120508431,0.14057690012585125,2,0.8099999999999999,valid
Haryana,Kaithal,2024,2,2024-10-11,2024-10-16,,,,,0,,insufficient_data
Haryana,Kaithal,2024,3,2024-10-16,2024-10-21,0.12014383641250376,0.28149395845450026,0.23611253946831492,0.16244706716216284,2,5.5649999999999995,valid
Haryana,Kaithal,2024,4,2024-10-21,2024-10-26,0.1097572087730136,0.23071840023705784,0.21459587122820858,0.15332773772490157,2,0.02,valid
Haryana,Kaithal,2024,5,2024-10-26,2024-10-31,,,,,0,,insufficient_data
Haryana,Kaithal,2024,6,2024-10-31,2024-11-05,0.13132315108671122,0.2195265061541791,0.23108567804713478,0.17964436754576657,2,0.01,valid
Haryana,Kaithal,2024,7,2024-11-05,2024-11-10,,,,,0,,insufficient_data
Haryana,Kaithal,2024,8,2024-11-10,2024-11-15,0.13158037444993675,0.19999628138027395,0.22679525205133055,0.18170459989269763,2,0.81,valid
Haryana,Kaithal,2024,9,2024-11-15,2024-11-20,,,,,0,,insufficient_data
Haryana,Kaithal,2024,10,2024-11-20,2024-11-25,,,,,0,,insufficient_data
Haryana,Kaithal,2024,11,2024-11-25,2024-11-30,0.1027767164664179,0.17653879364334474,0.19788236004526147,0.1693531660375448,2,10.75,valid
Haryana,Kaithal,2024,12,2024-11-30,2024-12-05,0.087555873070681,0.18779583833237093,0.18306240229505114,0.1456979791747232,2,0.049999999999999996,valid
Haryana,Kaithal,2024,13,2024-12-05,2024-12-10,,,,,0,,insufficient_data
Haryana,Kaithal,2024,14,2024-12-10,2024-12-15,0.08578763354981886,0.2177824429417116,0.17762563536866388,0.1302582447803699,2,0.29000000000000004,valid
Haryana,Kaithal,2024,15,2024-12-15,2024-12-20,,,,,0,,insufficient_data
Haryana,Kaithal,2024,16,2024-12-20,2024-12-25,0.06760349738860327,0.23573222325926302,0.1569041991593934,0.10264117142021514,2,0.0,valid
Haryana,Kaithal,2024,17,2024-12-25,2024-12-30,,,,,0,,insufficient_data
Haryana,Kaithal,2024,18,2024-12-30,2025-01-04,,,,,0,,insufficient_data
Haryana,Kaithal,2024,19,2025-01-04,2025-01-09,,,,,0,,insufficient_data
Haryana,Kaithal,2024,20,2025-01-09,2025-01-14,0.0386070730814904,0.29699366459101856,0.1232540282125032,0.0623156040641692,1,0.11,valid
Haryana,Kaithal,2024,21,2025-01-14,2025-01-19,,,,,0,,insufficient_data
Haryana,Kaithal,2024,22,2025-01-19,2025-01-24,0.037325140361597585,0.31761671224237153,0.13191247089979335,0.06725652872067066,1,0.42,valid
Haryana,Kaithal,2024,23,2025-01-24,2025-01-29,,,,,0,,insufficient_data
Haryana,Kaithal,2024,24,2025-01-29,2025-02-03,0.04354929498616975,0.37150596301309335,0.13107261605720408,0.06538861797760423,2,6.67,valid
Haryana,Kaithal,2024,25,2025-02-03,2025-02-08,0.038705744269507444,0.3842172544099699,0.13575379064649032,0.06686368021011634,2,0.025,valid
Haryana,Kaithal,2024,26,2025-02-08,2025-02-13,,,,,0,,insufficient_data
Haryana,Kaithal,2024,27,2025-02-13,2025-02-18,0.037536143364108425,0.39762556423691775,0.13918825826416473,0.06960686455292281,2,6.865,valid
Haryana,Kaithal,2024,28,2025-02-18,2025-02-23,0.04294109047699368,0.4802910925385249,0.13859431638611977,0.06783404739319429,1,27.16,valid
Haryana,Kaithal,2024,29,2025-02-23,2025-02-28,,,,,0,,insufficient_data
Haryana,Kaithal,2024,30,2025-02-28,2025-03-05,0.03168084700692971,0.3765002333960972,0.11737793617546637,0.05678669337001597,2,0.035,valid
Haryana,Kaithal,2024,31,2025-03-05,2025-03-10,,,,,0,,insufficient_data
Haryana,Kaithal,2024,32,2025-03-10,2025-03-15,0.04293245712961658,0.3522320433108451,0.12539475981888376,0.06587188158445663,2,15.715,valid
Haryana,Kaithal,2024,33,2025-03-15,2025-03-20,0.04219917646072494,0.3126585958421655,0.12368378342355023,0.06593486065930457,2,0.035,valid
Haryana,Kaithal,2024,34,2025-03-20,2025-03-25,,,,,0,,insufficient_data
Haryana,Kaithal,2024,35,2025-03-25,2025-03-30,0.07314764850251061,0.2929476630512378,0.14620339557529324,0.08649755899367519,1,1.88,valid
Haryana,Kaithal,2024,36,2025-03-30,2025-04-04,0.11649370629142784,0.2624418196009138,0.19101061908457262,0.12745576130292866,2,2.195,valid
Haryana,Kaithal,2024,37,2025-04-04,2025-04-09,,,,,0,,insufficient_data
Haryana,Kaithal,2024,38,2025-04-09,2025-04-14,0.15862103506887892,0.275480423125309,0.24003627373282072,0.15840986610893848,2,15.795000000000002,valid
Haryana,Kaithal,2024,39,2025-04-14,2025-04-19,,,,,0,,insufficient_data
Haryana,Kaithal,2024,40,2025-04-19,2025-04-24,0.1868253845432531,0.2964867651110319,0.30523663032694304,0.22023229977757022,2,13.334999999999999,valid
Haryana,Kaithal,2024,41,2025-04-24,2025-04-29,0.1976158327176338,0.29666170617497317,0.34472081698117746,0.2663148321073882,2,0.6599999999999999,valid
Haryana,Kaithal,2024,42,2025-04-29,2025-05-04,,,,,0,,insufficient_data
