state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Kurukshetra,2025,0,2025-10-01,2025-10-06,0.09968123265168126,0.26208362694539067,0.23238870317139365,0.15233982936359658,1,5.79,valid
Haryana,Kurukshetra,2025,1,2025-10-06,2025-10-11,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,2,2025-10-11,2025-10-16,0.10962381567767461,0.24159619938252277,0.24061733378613845,0.1679398614446727,2,2.1,valid
Haryana,Kurukshetra,2025,3,2025-10-16,2025-10-21,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,4,2025-10-21,2025-10-26,0.12275698985350708,0.25773195329501297,0.25350182139947947,0.18136299270715003,1,13.73,valid
Haryana,Kurukshetra,2025,5,2025-10-26,2025-10-31,0.1218217224404399,0.21725906981753826,0.20996395563698986,0.16221561083261887,2,19.21,valid
Haryana,Kurukshetra,2025,6,2025-10-31,2025-11-05,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,7,2025-11-05,2025-11-10,0.1111699827478428,0.20416668555778247,0.21132376871716652,0.16599986006270676,2,3.58,valid
Haryana,Kurukshetra,2025,8,2025-11-10,2025-11-15,0.10878476739425622,0.20452251665709187,0.20717489681012874,0.17445279513939277,2,1.355,valid
Haryana,Kurukshetra,2025,9,2025-11-15,2025-11-20,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,10,2025-11-20,2025-11-25,0.11307212025124623,0.20598807102196875,0.18941691858133763,0.15064390249132312,2,1.065,valid
Haryana,Kurukshetra,2025,11,2025-11-25,2025-11-30,0.0870766550533415,0.21769083070129785,0.17626735571059568,0.13230487733245402,1,0.01,valid
Haryana,Kurukshetra,2025,12,2025-11-30,2025-12-05,0.09010922079253464,0.20827287874673914,0.17968690772975165,0.1376572394450591,1,15.91,valid
Haryana,Kurukshetra,2025,13,2025-12-05,2025-12-10,0.07784879070451077,0.2258195416428365,0.16351685920800532,0.11480633882100408,2,5.09,valid
Haryana,Kurukshetra,2025,14,2025-12-10,2025-12-15,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,15,2025-12-15,2025-12-20,0.0658818378050279,0.24599285697124068,0.1511154051012086,0.0969692137084806,2,4.725,valid
Haryana,Kurukshetra,2025,16,2025-12-20,2025-12-25,0.06083717534062051,0.26187418465029844,0.14164690902431282,0.08484101825540644,2,19.035,valid
Haryana,Kurukshetra,2025,17,2025-12-25,2025-12-30,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,18,2025-12-30,2026-01-04,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,19,2026-01-04,2026-01-09,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,20,2026-01-09,2026-01-14,,,,,1,18.51,missing_bands
Haryana,Kurukshetra,2025,21,2026-01-14,2026-01-19,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,22,2026-01-19,2026-01-24,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,23,2026-01-24,2026-01-29,0.054548728636686555,0.3425384794666489,0.14030751160590418,0.07466517639438705,2,16.21,valid
Haryana,Kurukshetra,2025,24,2026-01-29,2026-02-03,0.5810597830886969,0.6598674302941033,0.51002589078053,0.4127121142182163,1,19.66,valid
Haryana,Kurukshetra,2025,25,2026-02-03,2026-02-08,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,26,2026-02-08,2026-02-13,0.059221141733482384,0.33270780508928943,0.13861155377096812,0.085310332152683,1,25.52,valid
Haryana,Kurukshetra,2025,27,2026-02-13,2026-02-18,0.05232849395535721,0.33576467148350414,0.14155649975760679,0.08096771364211997,1,6.47,valid
Haryana,Kurukshetra,2025,28,2026-02-18,2026-02-23,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,29,2026-02-23,2026-02-28,0.05092988380642364,0.3318764753467706,0.134737339197737,0.07893329411649504,2,1.17,valid
Haryana,Kurukshetra,2025,30,2026-02-28,2026-03-05,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,31,2026-03-05,2026-03-10,0.05354247594202749,0.3103701135627654,0.13831618624921452,0.08400122530416218,2,1.405,valid
Haryana,Kurukshetra,2025,32,2026-03-10,2026-03-15,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,33,2026-03-15,2026-03-20,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,34,2026-03-20,2026-03-25,0.05946500117196493,0.262029802191745,0.13775405024295131,0.08119005145529685,2,5.0649999999999995,valid
Haryana,Kurukshetra,2025,35,2026-03-25,2026-03-30,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,36,2026-03-30,2026-04-04,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,37,2026-04-04,2026-04-09,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,38,2026-04-09,2026-04-14,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,39,2026-04-14,2026-04-19,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,40,2026-04-19,2026-04-24,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,41,2026-04-24,2026-04-29,,,,,0,,insufficient_data
Haryana,Kurukshetra,2025,42,2026-04-29,2026-05-04,,,,,0,,insufficient_data
