state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Palwal,2018,0,2018-10-01,2018-10-06,0.08176431339060036,0.3022058562170481,0.20705641403932454,0.13190216681273456,4,0.0175,valid
Haryana,Palwal,2018,1,2018-10-06,2018-10-11,0.12416179996838525,0.2980522167909333,0.2352533162776324,0.15672867570038382,4,5.39,valid
Haryana,Palwal,2018,2,2018-10-11,2018-10-16,,,,,0,,insufficient_data
Haryana,Palwal,2018,3,2018-10-16,2018-10-21,0.1181890033722273,0.2825997883510292,0.24371298034271627,0.16886285088386957,4,2.1175,valid
Haryana,Palwal,2018,4,2018-10-21,2018-10-26,0.12739729111364656,0.23361260939019418,0.24807319236510997,0.19684648439296074,2,0.49,valid
Haryana,Palwal,2018,5,2018-10-26,2018-10-31,0.14895267149066355,0.25461127508727166,0.2633060699012857,0.19803847171508157,2,8.0,valid
Haryana,Palwal,2018,6,2018-10-31,2018-11-05,0.13113497099303661,0.230061949679329,0.25272261336344926,0.19776230761551541,2,5.825,valid
Haryana,Palwal,2018,7,2018-11-05,2018-11-10,,,,,0,,insufficient_data
Haryana,Palwal,2018,8,2018-11-10,2018-11-15,0.15654184899261425,0.22121954574946315,0.2513107621961486,0.20555703949671866,3,13.496666666666668,valid
Haryana,Palwal,2018,9,2018-11-15,2018-11-20,0.13309641400779468,0.21207024389673287,0.2361063574762846,0.19502480073199455,3,8.57,valid
Haryana,Palwal,2018,10,2018-11-20,2018-11-25,,,,,0,,insufficient_data
Haryana,Palwal,2018,11,2018-11-25,2018-11-30,0.1362037288052689,0.21165353168448683,0.23714466243291862,0.20028892845814072,3,7.743333333333333,valid
Haryana,Palwal,2018,12,2018-11-30,2018-12-05,0.14193067924148486,0.23755419376032552,0.21399090199953083,0.1643458680740568,1,4.0,valid
Haryana,Palwal,2018,13,2018-12-05,2018-12-10,0.10933293900465206,0.20892910204973822,0.20435822421336516,0.16409413001341527,2,0.92,valid
Haryana,Palwal,2018,14,2018-12-10,2018-12-15,0.12279242162927771,0.21466809294934544,0.1761134026878868,0.12063007178673762,3,16.040000000000003,valid
Haryana,Palwal,2018,15,2018-12-15,2018-12-20,,,,,0,,insufficient_data
Haryana,Palwal,2018,16,2018-12-20,2018-12-25,0.07619415526001619,0.25011174368453254,0.16858090750198398,0.11496989216593435,4,1.0125,valid
Haryana,Palwal,2018,17,2018-12-25,2018-12-30,0.07535784824767253,0.2751112925089161,0.16674405089959873,0.1004015195815539,3,0.2733333333333333,valid
Haryana,Palwal,2018,18,2018-12-30,2019-01-04,,,,,0,,insufficient_data
Haryana,Palwal,2018,19,2019-01-04,2019-01-09,0.06699114246329385,0.2505272849858641,0.14702281270777395,0.09251960437728915,3,8.83,valid
Haryana,Palwal,2018,20,2019-01-09,2019-01-14,0.05188821428571426,0.2728102499999999,0.13294799999999998,0.08116000000000002,1,4.25,valid
Haryana,Palwal,2018,21,2019-01-14,2019-01-19,0.05057266432118643,0.30933444359008605,0.15040683280544112,0.08215929104500855,2,0.0,valid
Haryana,Palwal,2018,22,2019-01-19,2019-01-24,0.08446032873066928,0.3605889469774627,0.1670954647377883,0.09356372597299317,1,26.82,valid
Haryana,Palwal,2018,23,2019-01-24,2019-01-29,,,,,0,,insufficient_data
Haryana,Palwal,2018,24,2019-01-29,2019-02-03,0.058422150283424186,0.3548279205622189,0.14449767730731397,0.0762369315346139,3,4.233333333333333,valid
Haryana,Palwal,2018,25,2019-02-03,2019-02-08,0.12663988606231874,0.3141191180232861,0.144707133020398,0.07450845360891893,2,12.5,valid
Haryana,Palwal,2018,26,2019-02-08,2019-02-13,,,,,0,,insufficient_data
Haryana,Palwal,2018,27,2019-02-13,2019-02-18,,,,,1,23.68,missing_bands
Haryana,Palwal,2018,28,2019-02-18,2019-02-23,0.10184374499342842,0.3531702090270146,0.17619249767944858,0.11300265597368059,1,21.0,valid
Haryana,Palwal,2018,29,2019-02-23,2019-02-28,0.04466017879485028,0.3499084431358021,0.13834825913317164,0.07899503907152514,1,3.08,valid
Haryana,Palwal,2018,30,2019-02-28,2019-03-05,,,,,0,,insufficient_data
Haryana,Palwal,2018,31,2019-03-05,2019-03-10,,,,,0,,insufficient_data
Haryana,Palwal,2018,32,2019-03-10,2019-03-15,0.05530252154495899,0.3340639807615095,0.14373326818698617,0.08495558735418425,4,3.57,valid
Haryana,Palwal,2018,33,2019-03-15,2019-03-20,0.06202285064370027,0.3069175523270815,0.1497885696844389,0.08742145168707645,4,0.1075,valid
Haryana,Palwal,2018,34,2019-03-20,2019-03-25,,,,,0,,insufficient_data
Haryana,Palwal,2018,35,2019-03-25,2019-03-30,0.09493889999307067,0.2493307368389544,0.1782899289911889,0.12386563313628793,2,0.0,valid
Haryana,Palwal,2018,36,2019-03-30,2019-04-04,0.10924408359343529,0.23244295791722505,0.20376597448546124,0.1527271441935891,2,1.225,valid
Haryana,Palwal,2018,37,2019-04-04,2019-04-09,0.11131320903040814,0.22973958185420335,0.1901640729183065,0.13326161616436746,2,0.5,valid
Haryana,Palwal,2018,38,2019-04-09,2019-04-14,0.1625891711265966,0.25254821644410874,0.2624848833469969,0.20171406855929194,3,7.886666666666667,valid
Haryana,Palwal,2018,39,2019-04-14,2019-04-19,,,,,0,,insufficient_data
Haryana,Palwal,2018,40,2019-04-19,2019-04-24,0.16293760740409075,0.2330146181005795,0.2926762502376406,0.24086846009434607,4,4.7875,valid
Haryana,Palwal,2018,41,2019-04-24,2019-04-29,0.17855200706963373,0.2625825914076697,0.32147711918414773,0.27479288337165964,4,0.0,valid
Haryana,Palwal,2018,42,2019-04-29,2019-05-04,,,,,0,,insufficient_data
