state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Panchkula,2010,0,2010-10-01,2010-10-06,0.08364726483480715,0.2929468660110929,0.20923237941082937,0.12251206846855821,1,1.0,valid
Haryana,Panchkula,2010,1,2010-10-06,2010-10-11,,,,,0,,insufficient_data
Haryana,Panchkula,2010,2,2010-10-11,2010-10-16,0.10399458861402984,0.2799040177340963,0.22064775994791533,0.1467263066253954,1,0.0,valid
Haryana,Panchkula,2010,3,2010-10-16,2010-10-21,,,,,0,,insufficient_data
Haryana,Panchkula,2010,4,2010-10-21,2010-10-26,,,,,0,,insufficient_data
Haryana,Panchkula,2010,5,2010-10-26,2010-10-31,0.11596523241900669,0.25473023848341236,0.23392506640707522,0.17086956681384757,1,0.0,valid
Haryana,Panchkula,2010,6,2010-10-31,2010-11-05,,,,,0,,insufficient_data
Haryana,Panchkula,2010,7,2010-11-05,2010-11-10,,,,,0,,insufficient_data
Haryana,Panchkula,2010,8,2010-11-10,2010-11-15,0.1186233231524656,0.23186815121750784,0.2356671349403332,0.18644344084977954,1,0.0,valid
Haryana,Panchkula,2010,9,2010-11-15,2010-11-20,,,,,0,,insufficient_data
Haryana,Panchkula,2010,10,2010-11-20,2010-11-25,,,,,0,,insufficient_data
Haryana,Panchkula,2010,11,2010-11-25,2010-11-30,0.12233375466298353,0.23171821781101626,0.22084540700025584,0.17069277747363892,1,1.0,valid
Haryana,Panchkula,2010,12,2010-11-30,2010-12-05,,,,,0,,insufficient_data
Haryana,Panchkula,2010,13,2010-12-05,2010-12-10,0.11105621497227482,0.22425073373042104,0.21915556859470814,0.1570394236838882,1,0.0,valid
Haryana,Panchkula,2010,14,2010-12-10,2010-12-15,0.1041547491101255,0.23078438829784081,0.20551011176029063,0.15241233590707082,1,0.0,valid
Haryana,Panchkula,2010,15,2010-12-15,2010-12-20,,,,,0,,insufficient_data
Haryana,Panchkula,2010,16,2010-12-20,2010-12-25,,,,,0,,insufficient_data
Haryana,Panchkula,2010,17,2010-12-25,2010-12-30,,,,,0,,insufficient_data
Haryana,Panchkula,2010,18,2010-12-30,2011-01-04,,,,,0,,insufficient_data
Haryana,Panchkula,2010,19,2011-01-04,2011-01-09,,,,,0,,insufficient_data
Haryana,Panchkula,2010,20,2011-01-09,2011-01-14,,,,,0,,insufficient_data
Haryana,Panchkula,2010,21,2011-01-14,2011-01-19,,,,,0,,insufficient_data
Haryana,Panchkula,2010,22,2011-01-19,2011-01-24,0.08133397620024982,0.24365092144831932,0.18854870896715842,0.12142743534252715,1,0.0,valid
Haryana,Panchkula,2010,23,2011-01-24,2011-01-29,,,,,0,,insufficient_data
Haryana,Panchkula,2010,24,2011-01-29,2011-02-03,,,,,0,,insufficient_data
Haryana,Panchkula,2010,25,2011-02-03,2011-02-08,,,,,0,,insufficient_data
Haryana,Panchkula,2010,26,2011-02-08,2011-02-13,0.0751344182333011,0.2555233384352653,0.16468155792418274,0.09745535874505964,1,2.0,valid
Haryana,Panchkula,2010,27,2011-02-13,2011-02-18,,,,,0,,insufficient_data
Haryana,Panchkula,2010,28,2011-02-18,2011-02-23,,,,,0,,insufficient_data
Haryana,Panchkula,2010,29,2011-02-23,2011-02-28,,,,,0,,insufficient_data
Haryana,Panchkula,2010,30,2011-02-28,2011-03-05,,,,,0,,insufficient_data
Haryana,Panchkula,2010,31,2011-03-05,2011-03-10,,,,,0,,insufficient_data
Haryana,Panchkula,2010,32,2011-03-10,2011-03-15,0.08569558875239952,0.25095980945602836,0.18330826268895556,0.12444122197120795,1,1.0,valid
Haryana,Panchkula,2010,33,2011-03-15,2011-03-20,,,,,0,,insufficient_data
Haryana,Panchkula,2010,34,2011-03-20,2011-03-25,0.099622909698339,0.23477148894349442,0.1942477664921878,0.13693987641561747,1,2.0,valid
Haryana,Panchkula,2010,35,2011-03-25,2011-03-30,,,,,0,,insufficient_data
Haryana,Panchkula,2010,36,2011-03-30,2011-04-04,,,,,0,,insufficient_data
Haryana,Panchkula,2010,37,2011-04-04,2011-04-09,0.12305377874721803,0.23654601553437782,0.2236924101497394,0.1677142116332581,1,4.0,valid
Haryana,Panchkula,2010,38,2011-04-09,2011-04-14,,,,,0,,insufficient_data
Haryana,Panchkula,2010,39,2011-04-14,2011-04-19,,,,,0,,insufficient_data
Haryana,Panchkula,2010,40,2011-04-19,2011-04-24,0.1416805003302089,0.24382105640757468,0.2647306020739405,0.21112473554999933,1,0.0,valid
Haryana,Panchkula,2010,41,2011-04-24,2011-04-29,,,,,0,,insufficient_data
Haryana,Panchkula,2010,42,2011-04-29,2011-05-04,,,,,0,,insufficient_data
