state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Haryana,Rewari,2017,0,2017-10-01,2017-10-06,,,,,0,,insufficient_data
Haryana,Rewari,2017,1,2017-10-06,2017-10-11,0.15482124106266615,0.26165041402220973,0.31110770890847983,0.26891754353731834,4,0.0,valid
Haryana,Rewari,2017,2,2017-10-11,2017-10-16,0.16825490603862986,0.25216186725366213,0.31537898484851173,0.28132766550011273,4,0.0325,valid
Haryana,Rewari,2017,3,2017-10-16,2017-10-21,,,,,0,,insufficient_data
Haryana,Rewari,2017,4,2017-10-21,2017-10-26,0.1577378237330225,0.2425582872155685,0.297090153375599,0.264526343224365,4,2.1799999999999997,valid
Haryana,Rewari,2017,5,2017-10-26,2017-10-31,0.17341566763630537,0.217784072990911,0.2722681930551523,0.24442837233811146,2,13.0,valid
Haryana,Rewari,2017,6,2017-10-31,2017-11-05,0.1547616216177231,0.22782962956429986,0.27643059024812333,0.24080105823847275,1,4.26,valid
Haryana,Rewari,2017,7,2017-11-05,2017-11-10,0.15418399874205901,0.22210047782489412,0.26234123304825935,0.23247549606983794,1,0.42,valid
Haryana,Rewari,2017,8,2017-11-10,2017-11-15,,,,,0,,insufficient_data
Haryana,Rewari,2017,9,2017-11-15,2017-11-20,0.19092298575057343,0.23047461874907688,0.25772945967480115,0.22675908749827428,2,14.115,valid
Haryana,Rewari,2017,10,2017-11-20,2017-11-25,0.12737724292076183,0.2352677974967044,0.24915152715574007,0.21486024586901986,4,2.645,valid
Haryana,Rewari,2017,11,2017-11-25,2017-11-30,,,,,0,,insufficient_data
Haryana,Rewari,2017,12,2017-11-30,2017-12-05,0.13007180015791636,0.2511710255153608,0.235838206856136,0.18976416236780627,4,1.9675,valid
Haryana,Rewari,2017,13,2017-12-05,2017-12-10,0.09621688699019533,0.27845984945771574,0.21240969725522565,0.15845184750757943,2,0.51,valid
Haryana,Rewari,2017,14,2017-12-10,2017-12-15,0.10900091095021605,0.29874748415804026,0.22772494700470172,0.16556707895315875,2,0.5,valid
Haryana,Rewari,2017,15,2017-12-15,2017-12-20,0.08391446281329307,0.29372239483153234,0.1953143393486036,0.130721320724017,4,5.4825,valid
Haryana,Rewari,2017,16,2017-12-20,2017-12-25,,,,,0,,insufficient_data
Haryana,Rewari,2017,17,2017-12-25,2017-12-30,0.07523963461815643,0.3281787025299103,0.16874988783844008,0.10627391387993668,4,8.08,valid
Haryana,Rewari,2017,18,2017-12-30,2018-01-04,,,,,1,24.0,missing_bands
Haryana,Rewari,2017,19,2018-01-04,2018-01-09,,,,,0,,insufficient_data
Haryana,Rewari,2017,20,2018-01-09,2018-01-14,0.059994299264713946,0.32395786399483484,0.1403198933012987,0.082860487434618,4,6.6575,valid
Haryana,Rewari,2017,21,2018-01-14,2018-01-19,0.07017984816323909,0.3271286506236605,0.13895961362263398,0.0752113931536192,2,5.0,valid
Haryana,Rewari,2017,22,2018-01-19,2018-01-24,0.05930636849096431,0.32377877475834843,0.14149139952322076,0.08722355382251305,2,1.875,valid
Haryana,Rewari,2017,23,2018-01-24,2018-01-29,,,,,1,18.14,missing_bands
Haryana,Rewari,2017,24,2018-01-29,2018-02-03,,,,,0,,insufficient_data
Haryana,Rewari,2017,25,2018-02-03,2018-02-08,0.06120536505935835,0.3416307151669436,0.13170666378465026,0.07213778367335333,4,0.01,valid
Haryana,Rewari,2017,26,2018-02-08,2018-02-13,0.08196700714172425,0.4232099373048595,0.17197638658228998,0.09778579064600466,1,9.0,valid
Haryana,Rewari,2017,27,2018-02-13,2018-02-18,,,,,0,,insufficient_data
Haryana,Rewari,2017,28,2018-02-18,2018-02-23,0.06171954504352147,0.3509977936232539,0.1339292825680727,0.0757736022102311,4,0.7675000000000001,valid
Haryana,Rewari,2017,29,2018-02-23,2018-02-28,0.06377190395650476,0.3358027331853608,0.13478940115460308,0.08278040595452253,2,10.91,valid
Haryana,Rewari,2017,30,2018-02-28,2018-03-05,,,,,0,,insufficient_data
Haryana,Rewari,2017,31,2018-03-05,2018-03-10,0.07326010331686024,0.30999667949402193,0.15313519626701608,0.09583749818587163,4,0.005,valid
Haryana,Rewari,2017,32,2018-03-10,2018-03-15,,,,,0,,insufficient_data
Haryana,Rewari,2017,33,2018-03-15,2018-03-20,0.11801802054617627,0.30211694744829315,0.2164506885697385,0.15832923526766535,1,5.73,valid
Haryana,Rewari,2017,34,2018-03-20,2018-03-25,0.13822340448015097,0.25921122398698704,0.24072019704603156,0.18828378654662153,4,0.005,valid
Haryana,Rewari,2017,35,2018-03-25,2018-03-30,,,,,0,,insufficient_data
Haryana,Rewari,2017,36,2018-03-30,2018-04-04,0.1552743124046089,0.2551027257860699,0.27859973112795544,0.23374621138262452,4,0.0025,valid
Haryana,Rewari,2017,37,2018-04-04,2018-04-09,0.18725842036839627,0.2545185449535039,0.31751015000958216,0.2742965936072761,2,0.5,valid
Haryana,Rewari,2017,38,2018-04-09,2018-04-14,,,,,0,,insufficient_data
Haryana,Rewari,2017,39,2018-04-14,2018-04-19,0.19933867833512298,0.27885593101577777,0.33216777777527945,0.296466994043105,3,22.810000000000002,valid
Haryana,Rewari,2017,40,2018-04-19,2018-04-24,,,,,0,,insufficient_data
Haryana,Rewari,2017,41,2018-04-24,2018-04-29,0.20704041985639923,0.27423975825742625,0.35598842729182006,0.3233920001255908,4,0.0025,valid
Haryana,Rewari,2017,42,2018-04-29,2018-05-04,,,,,0,,insufficient_data
