state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Amritsar,2015,0,2015-10-01,2015-10-06,,,,,0,,insufficient_data
Punjab,Amritsar,2015,1,2015-10-06,2015-10-11,0.08390061671880168,0.27931860261898495,0.1807830293432316,0.11455257126396033,3,0.04666666666666667,valid
Punjab,Amritsar,2015,2,2015-10-11,2015-10-16,0.08089720755730843,0.26886438780082506,0.1718134962271668,0.10735331913894693,1,0.01,valid
Punjab,Amritsar,2015,3,2015-10-16,2015-10-21,0.11440778528907779,0.26555831396732527,0.19945867387859365,0.12875564680242343,2,0.5,valid
Punjab,Amritsar,2015,4,2015-10-21,2015-10-26,0.10062150864628129,0.23296865667026606,0.18950405096514544,0.12668785928534237,1,4.0,valid
Punjab,Amritsar,2015,5,2015-10-26,2015-10-31,,,,,0,,insufficient_data
Punjab,Amritsar,2015,6,2015-10-31,2015-11-05,0.10543380031125996,0.22094201638028618,0.204137179175834,0.1421750219514418,3,3.0,valid
Punjab,Amritsar,2015,7,2015-11-05,2015-11-10,,,,,0,,insufficient_data
Punjab,Amritsar,2015,8,2015-11-10,2015-11-15,,,,,0,,insufficient_data
Punjab,Amritsar,2015,9,2015-11-15,2015-11-20,0.10665734905282694,0.19811971755402827,0.20515023226394186,0.16957652697228195,3,0.33666666666666667,valid
Punjab,Amritsar,2015,10,2015-11-20,2015-11-25,0.1175420007026114,0.19027860536667857,0.1974308438961822,0.1700734201012657,1,17.0,valid
Punjab,Amritsar,2015,11,2015-11-25,2015-11-30,0.12088895346464235,0.18920914383715562,0.21095713259570403,0.19442322477568494,1,22.92,valid
Punjab,Amritsar,2015,12,2015-11-30,2015-12-05,0.10650144484355106,0.2029506007862068,0.1864121727247878,0.15278178290676792,3,4.336666666666667,valid
Punjab,Amritsar,2015,13,2015-12-05,2015-12-10,,,,,0,,insufficient_data
Punjab,Amritsar,2015,14,2015-12-10,2015-12-15,,,,,0,,insufficient_data
Punjab,Amritsar,2015,15,2015-12-15,2015-12-20,0.075807308372447,0.2091586116476153,0.15475214461322365,0.11033063955890791,3,0.33666666666666667,valid
Punjab,Amritsar,2015,16,2015-12-20,2015-12-25,,,,,0,,insufficient_data
Punjab,Amritsar,2015,17,2015-12-25,2015-12-30,0.06711021601621474,0.22740359512645414,0.15286644852883483,0.10313100452984558,2,6.85,valid
Punjab,Amritsar,2015,18,2015-12-30,2016-01-04,,,,,0,,insufficient_data
Punjab,Amritsar,2015,19,2016-01-04,2016-01-09,,,,,0,,insufficient_data
Punjab,Amritsar,2015,20,2016-01-09,2016-01-14,0.05794197990417976,0.27428126412538417,0.13796758430725,0.08098285137615902,3,9.343333333333334,valid
Punjab,Amritsar,2015,21,2016-01-14,2016-01-19,,,,,0,,insufficient_data
Punjab,Amritsar,2015,22,2016-01-19,2016-01-24,,,,,0,,insufficient_data
Punjab,Amritsar,2015,23,2016-01-24,2016-01-29,0.061525048671115044,0.3144969094921051,0.13625200124409012,0.07740512072736325,3,5.95,valid
Punjab,Amritsar,2015,24,2016-01-29,2016-02-03,,,,,0,,insufficient_data
Punjab,Amritsar,2015,25,2016-02-03,2016-02-08,0.03680204167033355,0.3351651534576787,0.12994298617447259,0.06715609562209514,3,8.01,valid
Punjab,Amritsar,2015,26,2016-02-08,2016-02-13,,,,,0,,insufficient_data
Punjab,Amritsar,2015,27,2016-02-13,2016-02-18,0.062261604585586064,0.38425075411626786,0.15747945591536527,0.09176479243492013,2,14.955000000000002,valid
Punjab,Amritsar,2015,28,2016-02-18,2016-02-23,0.03509960866448295,0.38029478306070247,0.13235916549711982,0.06263383580437112,3,7.7,valid
Punjab,Amritsar,2015,29,2016-02-23,2016-02-28,,,,,0,,insufficient_data
Punjab,Amritsar,2015,30,2016-02-28,2016-03-04,0.051592933626088765,0.37456665458842886,0.140585757558408,0.07158296859642344,3,0.38666666666666666,valid
Punjab,Amritsar,2015,31,2016-03-04,2016-03-09,0.03599915914071095,0.36828537762876934,0.13555942148209338,0.06713871251604946,3,0.6933333333333334,valid
Punjab,Amritsar,2015,32,2016-03-09,2016-03-14,,,,,0,,insufficient_data
Punjab,Amritsar,2015,33,2016-03-14,2016-03-19,0.04542154552828642,0.36747098383549154,0.1396283318373885,0.06774647616552217,1,11.0,valid
Punjab,Amritsar,2015,34,2016-03-19,2016-03-24,,,,,0,,insufficient_data
Punjab,Amritsar,2015,35,2016-03-24,2016-03-29,0.073909050048221,0.33899846860707505,0.15100480891492607,0.08359854631972095,1,21.0,valid
Punjab,Amritsar,2015,36,2016-03-29,2016-04-03,,,,,0,,insufficient_data
Punjab,Amritsar,2015,37,2016-04-03,2016-04-08,,,,,0,,insufficient_data
Punjab,Amritsar,2015,38,2016-04-08,2016-04-13,0.15996859913793102,0.26253743534482765,0.23215598060344825,0.16052345905172427,1,16.0,valid
Punjab,Amritsar,2015,39,2016-04-13,2016-04-18,0.12435739523038482,0.2180127300808056,0.21375309700867232,0.14435471121976542,2,14.85,valid
Punjab,Amritsar,2015,40,2016-04-18,2016-04-23,,,,,0,,insufficient_data
Punjab,Amritsar,2015,41,2016-04-23,2016-04-28,0.17886133029705467,0.2969325943230311,0.31267563676380916,0.2252795638203156,3,9.666666666666666,valid
Punjab,Amritsar,2015,42,2016-04-28,2016-05-03,,,,,0,,insufficient_data
