state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Bathinda,2013,0,2013-10-01,2013-10-06,0.06526360651685563,0.3490170108380293,0.18468902276786173,0.09690451658463135,2,22.845,valid
Punjab,Bathinda,2013,1,2013-10-06,2013-10-11,,,,,0,,insufficient_data
Punjab,Bathinda,2013,2,2013-10-11,2013-10-16,,,,,0,,insufficient_data
Punjab,Bathinda,2013,3,2013-10-16,2013-10-21,0.10118499824953664,0.2867803054247202,0.2294609663654902,0.14620791286392215,1,5.25,valid
Punjab,Bathinda,2013,4,2013-10-21,2013-10-26,,,,,0,,insufficient_data
Punjab,Bathinda,2013,5,2013-10-26,2013-10-31,0.1463539728034249,0.27595204113523664,0.2696262362390479,0.18213027002256854,1,4.0,valid
Punjab,Bathinda,2013,6,2013-10-31,2013-11-05,0.11620413517333039,0.2322963162309099,0.24643641963975885,0.18801203413636977,2,0.02,valid
Punjab,Bathinda,2013,7,2013-11-05,2013-11-10,,,,,0,,insufficient_data
Punjab,Bathinda,2013,8,2013-11-10,2013-11-15,0.12348200518852881,0.21539487864008752,0.2444967851090903,0.1954298763249047,1,16.0,valid
Punjab,Bathinda,2013,9,2013-11-15,2013-11-20,0.1149928489791161,0.200268815448196,0.22632920605202075,0.1922320949095217,2,0.94,valid
Punjab,Bathinda,2013,10,2013-11-20,2013-11-25,,,,,0,,insufficient_data
Punjab,Bathinda,2013,11,2013-11-25,2013-11-30,0.11670983854306137,0.1926611176700631,0.22567943322611955,0.19148054525830777,1,2.0,valid
Punjab,Bathinda,2013,12,2013-11-30,2013-12-05,,,,,0,,insufficient_data
Punjab,Bathinda,2013,13,2013-12-05,2013-12-10,0.10311541788545779,0.18929746237415437,0.20433132172099752,0.17445798807701174,1,0.24,valid
Punjab,Bathinda,2013,14,2013-12-10,2013-12-15,0.1001398399479625,0.20043501706954583,0.20030867866886384,0.16387947962800087,1,0.0,valid
Punjab,Bathinda,2013,15,2013-12-15,2013-12-20,,,,,0,,insufficient_data
Punjab,Bathinda,2013,16,2013-12-20,2013-12-25,,,,,0,,insufficient_data
Punjab,Bathinda,2013,17,2013-12-25,2013-12-30,0.07725406930328178,0.2387236485394179,0.1759004830365043,0.12518506838724688,1,0.0,valid
Punjab,Bathinda,2013,18,2013-12-30,2014-01-04,,,,,0,,insufficient_data
Punjab,Bathinda,2013,19,2014-01-04,2014-01-09,0.07248480430601931,0.24298111491897398,0.15370865399882117,0.10817584210369166,2,11.085,valid
Punjab,Bathinda,2013,20,2014-01-09,2014-01-14,,,,,0,,insufficient_data
Punjab,Bathinda,2013,21,2014-01-14,2014-01-19,0.06852625466990428,0.26042774903555027,0.15806729105766776,0.0979775443697291,1,2.0,valid
Punjab,Bathinda,2013,22,2014-01-19,2014-01-24,,,,,0,,insufficient_data
Punjab,Bathinda,2013,23,2014-01-24,2014-01-29,,,,,0,,insufficient_data
Punjab,Bathinda,2013,24,2014-01-29,2014-02-03,,,,,0,,insufficient_data
Punjab,Bathinda,2013,25,2014-02-03,2014-02-08,,,,,0,,insufficient_data
Punjab,Bathinda,2013,26,2014-02-08,2014-02-13,,,,,0,,insufficient_data
Punjab,Bathinda,2013,27,2014-02-13,2014-02-18,,,,,0,,insufficient_data
Punjab,Bathinda,2013,28,2014-02-18,2014-02-23,0.06311776195397545,0.44324930423499115,0.14168706598227024,0.06144089504386556,1,0.0,valid
Punjab,Bathinda,2013,29,2014-02-23,2014-02-28,,,,,0,,insufficient_data
Punjab,Bathinda,2013,30,2014-02-28,2014-03-05,,,,,0,,insufficient_data
Punjab,Bathinda,2013,31,2014-03-05,2014-03-10,,,,,0,,insufficient_data
Punjab,Bathinda,2013,32,2014-03-10,2014-03-15,0.0421051357533845,0.39915086954644646,0.12465528830832011,0.05764693784963739,1,0.0,valid
Punjab,Bathinda,2013,33,2014-03-15,2014-03-20,0.046793015278775954,0.35188585150363105,0.13560958048992702,0.07234742728229066,1,0.0,valid
Punjab,Bathinda,2013,34,2014-03-20,2014-03-25,,,,,0,,insufficient_data
Punjab,Bathinda,2013,35,2014-03-25,2014-03-30,0.06306424551051013,0.35940630718631694,0.1336322637288813,0.06351128046811565,1,6.0,valid
Punjab,Bathinda,2013,36,2014-03-30,2014-04-04,,,,,0,,insufficient_data
Punjab,Bathinda,2013,37,2014-04-04,2014-04-09,,,,,0,,insufficient_data
Punjab,Bathinda,2013,38,2014-04-09,2014-04-14,0.11009531547082572,0.23858614694840308,0.18747156889745725,0.1333092695726953,2,3.275,valid
Punjab,Bathinda,2013,39,2014-04-14,2014-04-19,,,,,0,,insufficient_data
Punjab,Bathinda,2013,40,2014-04-19,2014-04-24,0.1465623774357018,0.2188614588086501,0.2332242058648608,0.1686294274164057,1,0.0,valid
Punjab,Bathinda,2013,41,2014-04-24,2014-04-29,0.18121890126919526,0.2797098871604933,0.32653931504313477,0.2551008401899083,2,0.0,valid
Punjab,Bathinda,2013,42,2014-04-29,2014-05-04,,,,,0,,insufficient_data
