state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Faridkot,2012,0,2012-10-01,2012-10-06,,,,,0,,insufficient_data
Punjab,Faridkot,2012,1,2012-10-06,2012-10-11,0.10197064416513638,0.3071465203991462,0.20702950993370225,0.12743543194222337,1,0.0,valid
Punjab,Faridkot,2012,2,2012-10-11,2012-10-16,0.13724791285860274,0.2717375200818791,0.24856502482805384,0.17027207894650132,2,0.0,valid
Punjab,Faridkot,2012,3,2012-10-16,2012-10-21,,,,,0,,insufficient_data
Punjab,Faridkot,2012,4,2012-10-21,2012-10-26,,,,,0,,insufficient_data
Punjab,Faridkot,2012,5,2012-10-26,2012-10-31,0.12071847227582148,0.18774844903905583,0.19771420481810628,0.1515045483433749,2,1.5,valid
Punjab,Faridkot,2012,6,2012-10-31,2012-11-05,,,,,0,,insufficient_data
Punjab,Faridkot,2012,7,2012-11-05,2012-11-10,0.11655538188100381,0.18138996963858264,0.22111144123203064,0.19524521518905275,1,0.0,valid
Punjab,Faridkot,2012,8,2012-11-10,2012-11-15,,,,,0,,insufficient_data
Punjab,Faridkot,2012,9,2012-11-15,2012-11-20,0.14278649516675898,0.16599477031622256,0.2021744889467046,0.1946781102219156,1,0.0,valid
Punjab,Faridkot,2012,10,2012-11-20,2012-11-25,0.14063407627336527,0.1891177005629712,0.2234868976308526,0.20449727490942998,1,3.0,valid
Punjab,Faridkot,2012,11,2012-11-25,2012-11-30,,,,,0,,insufficient_data
Punjab,Faridkot,2012,12,2012-11-30,2012-12-05,0.10158432874862353,0.1670397329768364,0.19982874731508415,0.18162413726832924,2,0.0,valid
Punjab,Faridkot,2012,13,2012-12-05,2012-12-10,,,,,0,,insufficient_data
Punjab,Faridkot,2012,14,2012-12-10,2012-12-15,0.1058735615369569,0.2031965376914803,0.18079132429051312,0.1405569280270667,1,5.0,valid
Punjab,Faridkot,2012,15,2012-12-15,2012-12-20,,,,,0,,insufficient_data
Punjab,Faridkot,2012,16,2012-12-20,2012-12-25,,,,,0,,insufficient_data
Punjab,Faridkot,2012,17,2012-12-25,2012-12-30,,,,,0,,insufficient_data
Punjab,Faridkot,2012,18,2012-12-30,2013-01-04,,,,,0,,insufficient_data
Punjab,Faridkot,2012,19,2013-01-04,2013-01-09,,,,,0,,insufficient_data
Punjab,Faridkot,2012,20,2013-01-09,2013-01-14,0.04889613783297796,0.2765655769995323,0.14651704580974437,0.08300411867646003,1,0.0,valid
Punjab,Faridkot,2012,21,2013-01-14,2013-01-19,,,,,0,,insufficient_data
Punjab,Faridkot,2012,22,2013-01-19,2013-01-24,,,,,0,,insufficient_data
Punjab,Faridkot,2012,23,2013-01-24,2013-01-29,,,,,0,,insufficient_data
Punjab,Faridkot,2012,24,2013-01-29,2013-02-03,,,,,0,,insufficient_data
Punjab,Faridkot,2012,25,2013-02-03,2013-02-08,,,,,0,,insufficient_data
Punjab,Faridkot,2012,26,2013-02-08,2013-02-13,0.067584205398837,0.44949458941337644,0.14537307652406792,0.06882346372839479,1,19.0,valid
Punjab,Faridkot,2012,27,2013-02-13,2013-02-18,,,,,0,,insufficient_data
Punjab,Faridkot,2012,28,2013-02-18,2013-02-23,0.09874799704435398,0.4522330376474457,0.14788879230723612,0.07524531587966188,1,18.0,valid
Punjab,Faridkot,2012,29,2013-02-23,2013-02-28,,,,,0,,insufficient_data
Punjab,Faridkot,2012,30,2013-02-28,2013-03-05,0.03665544252466652,0.41099688031118814,0.1403695839005234,0.06448111406788004,1,0.0,valid
Punjab,Faridkot,2012,31,2013-03-05,2013-03-10,0.036967700264441364,0.3851752558870194,0.1299839429029398,0.062015107408346225,2,2.0,valid
Punjab,Faridkot,2012,32,2013-03-10,2013-03-15,,,,,0,,insufficient_data
Punjab,Faridkot,2012,33,2013-03-15,2013-03-20,,,,,0,,insufficient_data
Punjab,Faridkot,2012,34,2013-03-20,2013-03-25,,,,,0,,insufficient_data
Punjab,Faridkot,2012,35,2013-03-25,2013-03-30,,,,,0,,insufficient_data
Punjab,Faridkot,2012,36,2013-03-30,2013-04-04,0.07737546851070556,0.2666949910673822,0.1550419374422031,0.09167641503650176,1,0.0,valid
Punjab,Faridkot,2012,37,2013-04-04,2013-04-09,0.1380785299416972,0.24885897754740186,0.20086611417151823,0.14060188141135765,1,7.0,valid
Punjab,Faridkot,2012,38,2013-04-09,2013-04-14,,,,,0,,insufficient_data
Punjab,Faridkot,2012,39,2013-04-14,2013-04-19,0.15319490155343127,0.2402984506277791,0.2669695529938271,0.19140469531031828,1,0.0,valid
Punjab,Faridkot,2012,40,2013-04-19,2013-04-24,,,,,0,,insufficient_data
Punjab,Faridkot,2012,41,2013-04-24,2013-04-29,,,,,1,13.0,missing_bands
Punjab,Faridkot,2012,42,2013-04-29,2013-05-04,,,,,0,,insufficient_data
