state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Fatehgarh Sahib,2024,0,2024-10-01,2024-10-06,0.07132808821445143,0.37170396928031163,0.1810125348365396,0.09696844986581638,1,3.84,valid
Punjab,Fatehgarh Sahib,2024,1,2024-10-06,2024-10-11,0.08312447101729914,0.30681288570895826,0.19190270015696145,0.11237230888006035,3,4.16,valid
Punjab,Fatehgarh Sahib,2024,2,2024-10-11,2024-10-16,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,3,2024-10-16,2024-10-21,0.11249218709645065,0.27253585891716875,0.23019009796834966,0.15262247566782128,2,10.21,valid
Punjab,Fatehgarh Sahib,2024,4,2024-10-21,2024-10-26,0.11895555465923455,0.2476162067726315,0.252328303254606,0.1786036196065536,3,0.09999999999999999,valid
Punjab,Fatehgarh Sahib,2024,5,2024-10-26,2024-10-31,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,6,2024-10-31,2024-11-05,0.12145321708269848,0.2212116052068554,0.2443338006365485,0.18329372468121954,3,1.0333333333333332,valid
Punjab,Fatehgarh Sahib,2024,7,2024-11-05,2024-11-10,0.13613085279056836,0.23663680715396676,0.23033490450345379,0.16943945079145314,1,0.32,valid
Punjab,Fatehgarh Sahib,2024,8,2024-11-10,2024-11-15,0.13083560009702244,0.2227694357685822,0.23288165212301584,0.17448699383531643,1,0.05,valid
Punjab,Fatehgarh Sahib,2024,9,2024-11-15,2024-11-20,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,10,2024-11-20,2024-11-25,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,11,2024-11-25,2024-11-30,0.0929041298155635,0.1831859037678272,0.19435132450013012,0.16278885890250455,3,7.093333333333334,valid
Punjab,Fatehgarh Sahib,2024,12,2024-11-30,2024-12-05,0.0841870653996012,0.19317191892723812,0.18722840284931186,0.1537183143402452,2,6.52,valid
Punjab,Fatehgarh Sahib,2024,13,2024-12-05,2024-12-10,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,14,2024-12-10,2024-12-15,0.08195569692646204,0.20405635450686696,0.17693594564606904,0.13872663688179335,3,4.673333333333333,valid
Punjab,Fatehgarh Sahib,2024,15,2024-12-15,2024-12-20,0.0715091326460056,0.2377067411054446,0.15450134090355286,0.10609226079874495,2,0.13,valid
Punjab,Fatehgarh Sahib,2024,16,2024-12-20,2024-12-25,0.07406093410472235,0.21798465836537123,0.16294534101556507,0.11550128021987333,1,0.0,valid
Punjab,Fatehgarh Sahib,2024,17,2024-12-25,2024-12-30,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,18,2024-12-30,2025-01-04,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,19,2025-01-04,2025-01-09,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,20,2025-01-09,2025-01-14,0.041137295725952115,0.2734350075618154,0.12478676733727856,0.06461538705056874,1,0.11,valid
Punjab,Fatehgarh Sahib,2024,21,2025-01-14,2025-01-19,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,22,2025-01-19,2025-01-24,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,23,2025-01-24,2025-01-29,0.0504051527816073,0.3102840089673911,0.14203243016282174,0.08535373143284396,2,0.5,valid
Punjab,Fatehgarh Sahib,2024,24,2025-01-29,2025-02-03,0.05212424592565574,0.3364967540077749,0.1472068005757716,0.0812940784814486,1,9.29,valid
Punjab,Fatehgarh Sahib,2024,25,2025-02-03,2025-02-08,0.04438694781669372,0.3475848811179198,0.1458508695714589,0.08086136493837245,3,3.903333333333333,valid
Punjab,Fatehgarh Sahib,2024,26,2025-02-08,2025-02-13,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,27,2025-02-13,2025-02-18,0.045624267652012926,0.3657548110956466,0.15527652257906652,0.08782224914515349,2,16.669999999999998,valid
Punjab,Fatehgarh Sahib,2024,28,2025-02-18,2025-02-23,0.04951521921633269,0.3370622463910489,0.13496467664301895,0.0813385315146138,1,21.7,valid
Punjab,Fatehgarh Sahib,2024,29,2025-02-23,2025-02-28,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,30,2025-02-28,2025-03-05,0.04158987809581259,0.3547138900728275,0.1327480971871895,0.0745242399076113,2,10.315,valid
Punjab,Fatehgarh Sahib,2024,31,2025-03-05,2025-03-10,0.05374150900005087,0.2964691218653411,0.13670172132188585,0.09398930476643863,2,12.030000000000001,valid
Punjab,Fatehgarh Sahib,2024,32,2025-03-10,2025-03-15,0.06104432619531706,0.3576283700178719,0.14509019600267256,0.0945771775036742,1,19.25,valid
Punjab,Fatehgarh Sahib,2024,33,2025-03-15,2025-03-20,0.04664697072823927,0.30573144509363237,0.13349385866677013,0.08047216888576245,3,0.59,valid
Punjab,Fatehgarh Sahib,2024,34,2025-03-20,2025-03-25,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,35,2025-03-25,2025-03-30,0.0612103801994026,0.25374809471272447,0.14210665492627036,0.09403748043830569,2,13.540000000000001,valid
Punjab,Fatehgarh Sahib,2024,36,2025-03-30,2025-04-04,0.08414999972538374,0.25672203600390825,0.15757098447053255,0.10322204227721306,3,1.74,valid
Punjab,Fatehgarh Sahib,2024,37,2025-04-04,2025-04-09,,,,,0,,insufficient_data
Punjab,Fatehgarh Sahib,2024,38,2025-04-09,2025-04-14,0.12022762014874049,0.2580654582377275,0.1967869188922096,0.12993155482206176,3,11.506666666666668,valid
Punjab,Fatehgarh Sahib,2024,39,2025-04-14,2025-04-19,0.12323699406439614,0.2829219105708524,0.22361744567326808,0.14481934942429855,2,12.675,valid
Punjab,Fatehgarh Sahib,2024,40,2025-04-19,2025-04-24,0.14323246756427202,0.30189443730080817,0.2399604596935874,0.16233604387978032,1,23.36,valid
Punjab,Fatehgarh Sahib,2024,41,2025-04-24,2025-04-29,0.17613394577097108,0.3123468934426125,0.3139915093269693,0.2257156285107751,3,2.06,valid
Punjab,Fatehgarh Sahib,2024,42,2025-04-29,2025-05-04,,,,,0,,insufficient_data
