state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Fazilka,2023,0,2023-10-01,2023-10-06,0.08433377745691252,0.3112503207208959,0.18303955482892892,0.11854006182386798,1,0.0,valid
Punjab,Fazilka,2023,1,2023-10-06,2023-10-11,0.06669444486767753,0.34624700421607324,0.18723171008037587,0.10413077075346991,1,0.0,valid
Punjab,Fazilka,2023,2,2023-10-11,2023-10-16,0.09817462811696098,0.3017241418927179,0.1946842026889406,0.12665032595035433,2,3.11,valid
Punjab,Fazilka,2023,3,2023-10-16,2023-10-21,,,,,0,,insufficient_data
Punjab,Fazilka,2023,4,2023-10-21,2023-10-26,0.11115777560673451,0.25078094349019303,0.18101281085720863,0.1277410558318876,1,26.36,valid
Punjab,Fazilka,2023,5,2023-10-26,2023-10-31,0.12419847392689663,0.28059386448139184,0.2338045223056468,0.16534559270385873,2,13.379999999999999,valid
Punjab,Fazilka,2023,6,2023-10-31,2023-11-05,,,,,0,,insufficient_data
Punjab,Fazilka,2023,7,2023-11-05,2023-11-10,,,,,0,,insufficient_data
Punjab,Fazilka,2023,8,2023-11-10,2023-11-15,,,,,0,,insufficient_data
Punjab,Fazilka,2023,9,2023-11-15,2023-11-20,0.11482202215960237,0.2565655661714717,0.2386676811344827,0.1708017848535099,1,0.17,valid
Punjab,Fazilka,2023,10,2023-11-20,2023-11-25,0.11442334670058629,0.19756250391925154,0.2071574166228752,0.17396846613738312,2,2.44,valid
Punjab,Fazilka,2023,11,2023-11-25,2023-11-30,,,,,0,,insufficient_data
Punjab,Fazilka,2023,12,2023-11-30,2023-12-05,0.15276438375459492,0.23930104239431316,0.22432971035376553,0.17911293968803024,2,6.695,valid
Punjab,Fazilka,2023,13,2023-12-05,2023-12-10,0.09668792829572415,0.20051159765009816,0.18421277485097945,0.15057618921621319,2,0.12,valid
Punjab,Fazilka,2023,14,2023-12-10,2023-12-15,,,,,0,,insufficient_data
Punjab,Fazilka,2023,15,2023-12-15,2023-12-20,0.0883220780746497,0.21151619966640933,0.16844036885426084,0.12805293944196297,2,5.05,valid
Punjab,Fazilka,2023,16,2023-12-20,2023-12-25,,,,,0,,insufficient_data
Punjab,Fazilka,2023,17,2023-12-25,2023-12-30,,,,,0,,insufficient_data
Punjab,Fazilka,2023,18,2023-12-30,2024-01-04,,,,,0,,insufficient_data
Punjab,Fazilka,2023,19,2024-01-04,2024-01-09,,,,,0,,insufficient_data
Punjab,Fazilka,2023,20,2024-01-09,2024-01-14,,,,,0,,insufficient_data
Punjab,Fazilka,2023,21,2024-01-14,2024-01-19,,,,,0,,insufficient_data
Punjab,Fazilka,2023,22,2024-01-19,2024-01-24,,,,,0,,insufficient_data
Punjab,Fazilka,2023,23,2024-01-24,2024-01-29,,,,,0,,insufficient_data
Punjab,Fazilka,2023,24,2024-01-29,2024-02-03,,,,,0,,insufficient_data
Punjab,Fazilka,2023,25,2024-02-03,2024-02-08,,,,,0,,insufficient_data
Punjab,Fazilka,2023,26,2024-02-08,2024-02-13,0.045900193289412534,0.33542850453669176,0.1421219798238972,0.07759581822727037,2,0.01,valid
Punjab,Fazilka,2023,27,2024-02-13,2024-02-18,,,,,0,,insufficient_data
Punjab,Fazilka,2023,28,2024-02-18,2024-02-23,0.06355719518965382,0.40501832939563553,0.17663905411536981,0.09930814472145084,1,25.49,valid
Punjab,Fazilka,2023,29,2024-02-23,2024-02-28,,,,,0,,insufficient_data
Punjab,Fazilka,2023,30,2024-02-28,2024-03-04,,,,,0,,insufficient_data
Punjab,Fazilka,2023,31,2024-03-04,2024-03-09,0.04344150160652986,0.3979902305835301,0.13937824535289206,0.07393304636757216,1,1.32,valid
Punjab,Fazilka,2023,32,2024-03-09,2024-03-14,,,,,0,,insufficient_data
Punjab,Fazilka,2023,33,2024-03-14,2024-03-19,0.04741901632101999,0.3991703144095572,0.13786719409288076,0.07298673015113388,1,0.88,valid
Punjab,Fazilka,2023,34,2024-03-19,2024-03-24,0.05488610881844303,0.32008598673756516,0.13518222555570292,0.07952838501817974,2,6.225,valid
Punjab,Fazilka,2023,35,2024-03-24,2024-03-29,,,,,0,,insufficient_data
Punjab,Fazilka,2023,36,2024-03-29,2024-04-03,,,,,0,,insufficient_data
Punjab,Fazilka,2023,37,2024-04-03,2024-04-08,0.09133918215511004,0.240844264765066,0.17185470379897508,0.11869128189947079,2,0.0,valid
Punjab,Fazilka,2023,38,2024-04-08,2024-04-13,,,,,0,,insufficient_data
Punjab,Fazilka,2023,39,2024-04-13,2024-04-18,,,,,0,,insufficient_data
Punjab,Fazilka,2023,40,2024-04-18,2024-04-23,0.15711334943976493,0.274404973639363,0.2786429173717031,0.20255361998138882,1,1.86,valid
Punjab,Fazilka,2023,41,2024-04-23,2024-04-28,,,,,0,,insufficient_data
Punjab,Fazilka,2023,42,2024-04-28,2024-05-03,,,,,0,,insufficient_data
