state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Hoshiarpur,2014,0,2014-10-01,2014-10-06,0.09411870438178263,0.2954223850656795,0.1966314978966498,0.11829252785047471,1,9.64,valid
Punjab,Hoshiarpur,2014,1,2014-10-06,2014-10-11,0.20848979420749647,0.33604692158942245,0.23936706661388404,0.15195592620008885,2,8.0,valid
Punjab,Hoshiarpur,2014,2,2014-10-11,2014-10-16,0.0895543601290599,0.2523711976816156,0.20556339869297277,0.13323869709262967,1,0.0,valid
Punjab,Hoshiarpur,2014,3,2014-10-16,2014-10-21,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,4,2014-10-21,2014-10-26,0.09258827509390166,0.24796615765891658,0.2128842168501797,0.14632906849619692,3,1.79,valid
Punjab,Hoshiarpur,2014,5,2014-10-26,2014-10-31,0.09859201075956868,0.23516092701600988,0.2128135838667586,0.1483693350757114,2,3.385,valid
Punjab,Hoshiarpur,2014,6,2014-10-31,2014-11-05,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,7,2014-11-05,2014-11-10,0.08849256070411399,0.23012225708540182,0.19823912677085212,0.14335651180420955,2,0.88,valid
Punjab,Hoshiarpur,2014,8,2014-11-10,2014-11-15,0.08774948969342843,0.2227649046368671,0.19866994994830803,0.14901752485275827,1,0.0,valid
Punjab,Hoshiarpur,2014,9,2014-11-15,2014-11-20,0.0970185915736501,0.23746062339585186,0.21657628418316568,0.16782831089959524,2,3.19,valid
Punjab,Hoshiarpur,2014,10,2014-11-20,2014-11-25,0.09032345544658199,0.2185548447875127,0.18838384452118853,0.14428499991494562,3,1.7633333333333334,valid
Punjab,Hoshiarpur,2014,11,2014-11-25,2014-11-30,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,12,2014-11-30,2014-12-05,0.09046410839079991,0.21282227976825555,0.1917475509530416,0.14343560885202,3,2.1300000000000003,valid
Punjab,Hoshiarpur,2014,13,2014-12-05,2014-12-10,0.08481120958019425,0.2143698578512532,0.1792823693945783,0.13300711973852328,3,5.096666666666667,valid
Punjab,Hoshiarpur,2014,14,2014-12-10,2014-12-15,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,15,2014-12-15,2014-12-20,0.12424757987127838,0.24274490965463733,0.17746957759886925,0.11587639290560728,3,12.033333333333333,valid
Punjab,Hoshiarpur,2014,16,2014-12-20,2014-12-25,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,17,2014-12-25,2014-12-30,0.16813841078877553,0.2575048295332091,0.25254710311796,0.19586306077321336,1,11.0,valid
Punjab,Hoshiarpur,2014,18,2014-12-30,2015-01-04,0.08022631327922732,0.21703781528304122,0.1638683448287684,0.1067916354017667,1,1.0,valid
Punjab,Hoshiarpur,2014,19,2015-01-04,2015-01-09,,,,,0,,insufficient_data
Punjab,Hoshiarpur,2014,20,2015-01-09,2015-01-14,0.14765661619562834,0.24214306239483346,0.24237031208366602,0.1893896707428578,1,6.0,valid
