state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Jalandhar,2019,0,2019-10-01,2019-10-06,0.07648441306858672,0.3516605345988313,0.1729330617878097,0.09562406973432817,1,24.34,valid
Punjab,Jalandhar,2019,1,2019-10-06,2019-10-11,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,2,2019-10-11,2019-10-16,0.08585002585021265,0.28518321103868527,0.181909090356048,0.10573332867986551,3,0.07666666666666667,valid
Punjab,Jalandhar,2019,3,2019-10-16,2019-10-21,0.0996412472427928,0.26595970738581387,0.20946652378676675,0.1376803549127366,4,4.9075,valid
Punjab,Jalandhar,2019,4,2019-10-21,2019-10-26,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,5,2019-10-26,2019-10-31,0.12089771835995608,0.22742238152932875,0.23064520335825636,0.1643717011539025,3,0.01,valid
Punjab,Jalandhar,2019,6,2019-10-31,2019-11-05,0.10283068792829832,0.19576095131250468,0.2139666525632323,0.16417247046977965,2,0.725,valid
Punjab,Jalandhar,2019,7,2019-11-05,2019-11-10,0.11729272069496945,0.1979977910074753,0.23529750919501724,0.1822006546680793,2,4.5,valid
Punjab,Jalandhar,2019,8,2019-11-10,2019-11-15,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,9,2019-11-15,2019-11-20,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,10,2019-11-20,2019-11-25,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,11,2019-11-25,2019-11-30,0.05788698492462311,0.13377178391959796,0.11892620603015076,0.0836449497487437,1,12.51,valid
Punjab,Jalandhar,2019,12,2019-11-30,2019-12-05,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,13,2019-12-05,2019-12-10,0.08370251627497029,0.2201352912548243,0.18545391444210912,0.14046755445202572,4,1.5675000000000001,valid
Punjab,Jalandhar,2019,14,2019-12-10,2019-12-15,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,15,2019-12-15,2019-12-20,0.06398841194968553,0.23529500210876825,0.14752418627450986,0.09081910244173141,1,4.47,valid
Punjab,Jalandhar,2019,16,2019-12-20,2019-12-25,0.7197276009397989,0.7145693965599841,0.602071549039303,0.4853736884411714,1,2.0,valid
Punjab,Jalandhar,2019,17,2019-12-25,2019-12-30,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,18,2019-12-30,2020-01-04,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,19,2020-01-04,2020-01-09,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,20,2020-01-09,2020-01-14,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,21,2020-01-14,2020-01-19,0.44823246738892575,0.5154206017989009,0.4420663268325545,0.362549464820111,1,6.0,valid
Punjab,Jalandhar,2019,22,2020-01-19,2020-01-24,0.042225583187470266,0.31069286261012696,0.13460438834602959,0.07501176622080423,2,1.1549999999999998,valid
Punjab,Jalandhar,2019,23,2020-01-24,2020-01-29,0.03283930971276976,0.37532715252917725,0.14013765388265653,0.06567565509810566,2,3.5,valid
Punjab,Jalandhar,2019,24,2020-01-29,2020-02-03,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,25,2020-02-03,2020-02-08,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,26,2020-02-08,2020-02-13,0.04770292656807334,0.33816254512627947,0.13652880560261954,0.078109645358527,4,3.455,valid
Punjab,Jalandhar,2019,27,2020-02-13,2020-02-18,0.05043332759811738,0.3207439258200436,0.14284274071896086,0.08444569811785159,3,5.676666666666667,valid
Punjab,Jalandhar,2019,28,2020-02-18,2020-02-23,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,29,2020-02-23,2020-02-28,0.052988262268065946,0.35188338904607175,0.15093317948909774,0.0895624123591613,4,7.265,valid
Punjab,Jalandhar,2019,30,2020-02-28,2020-03-04,0.054178164530233545,0.3655143937292902,0.1518520297459911,0.08545070651910872,2,0.5,valid
Punjab,Jalandhar,2019,31,2020-03-04,2020-03-09,0.041518538681127065,0.3988812824467624,0.12869622093295216,0.06361857379092253,1,1.62,valid
Punjab,Jalandhar,2019,32,2020-03-09,2020-03-14,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,33,2020-03-14,2020-03-19,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,34,2020-03-19,2020-03-24,0.06240850661684669,0.31864561403717506,0.15226879629194198,0.09271816194626999,3,9.65,valid
Punjab,Jalandhar,2019,35,2020-03-24,2020-03-29,0.06050990089925596,0.2962282391399766,0.13236797703918227,0.0639978932160199,1,1.0,valid
Punjab,Jalandhar,2019,36,2020-03-29,2020-04-03,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,37,2020-04-03,2020-04-08,0.07842451335722439,0.2384462094174972,0.16353251096804858,0.10915623643805554,2,0.5,valid
Punjab,Jalandhar,2019,38,2020-04-08,2020-04-13,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,39,2020-04-13,2020-04-18,0.14381106289415904,0.2600753317645821,0.21642736491922795,0.14652492620219879,1,26.0,valid
Punjab,Jalandhar,2019,40,2020-04-18,2020-04-23,0.12822572584850567,0.2415620795342948,0.23194988481474685,0.1581701993417222,1,12.2,valid
Punjab,Jalandhar,2019,41,2020-04-23,2020-04-28,,,,,0,,insufficient_data
Punjab,Jalandhar,2019,42,2020-04-28,2020-05-03,0.1637217816714542,0.2584140998309319,0.30572486719286524,0.21295216072260179,2,3.0,valid
