state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Ludhiana,2011,0,2011-10-01,2011-10-06,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,1,2011-10-06,2011-10-11,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,2,2011-10-11,2011-10-16,0.10859776363090147,0.2612526366516212,0.21111049404691007,0.13577071653904177,1,7.0,valid
Punjab,Ludhiana,2011,3,2011-10-16,2011-10-21,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,4,2011-10-21,2011-10-26,0.12324335066776304,0.25135494916593865,0.2296254179980868,0.15416546051510527,2,0.5,valid
Punjab,Ludhiana,2011,5,2011-10-26,2011-10-31,0.12591852780616491,0.21107583687781764,0.2421858899923789,0.18290422701535816,1,0.0,valid
Punjab,Ludhiana,2011,6,2011-10-31,2011-11-05,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,7,2011-11-05,2011-11-10,0.11789700439180521,0.184909262838729,0.2292171074694566,0.19161342974403997,2,0.5,valid
Punjab,Ludhiana,2011,8,2011-11-10,2011-11-15,0.11883381710009092,0.1757558191804166,0.2100662292718075,0.1932246657651072,2,8.5,valid
Punjab,Ludhiana,2011,9,2011-11-15,2011-11-20,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,10,2011-11-20,2011-11-25,0.13772068361694714,0.1876496565015863,0.20893227642187667,0.18730873886569754,2,14.0,valid
Punjab,Ludhiana,2011,11,2011-11-25,2011-11-30,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,12,2011-11-30,2011-12-05,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,13,2011-12-05,2011-12-10,0.11807572675357114,0.20838216658052144,0.16700981358436343,0.11408539197019082,2,10.0,valid
Punjab,Ludhiana,2011,14,2011-12-10,2011-12-15,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,15,2011-12-15,2011-12-20,0.07121496394443481,0.2661758604333286,0.16114981467999018,0.10050320374958548,1,8.0,valid
Punjab,Ludhiana,2011,16,2011-12-20,2011-12-25,0.05265634865803921,0.23847875476363795,0.13175142884259325,0.07986600685572186,1,25.0,valid
Punjab,Ludhiana,2011,17,2011-12-25,2011-12-30,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,18,2011-12-30,2012-01-04,0.18503597069227723,0.2761298015972527,0.1714895195160513,0.10353824739234077,1,10.0,valid
Punjab,Ludhiana,2011,19,2012-01-04,2012-01-09,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,20,2012-01-09,2012-01-14,0.053946698785095865,0.29727349973031786,0.13231587063193226,0.06911659139746579,2,2.0,valid
Punjab,Ludhiana,2011,21,2012-01-14,2012-01-19,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,22,2012-01-19,2012-01-24,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,23,2012-01-24,2012-01-29,0.03502479340536817,0.32912741937889867,0.14111703341136053,0.07182676076439716,1,8.0,valid
Punjab,Ludhiana,2011,24,2012-01-29,2012-02-03,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,25,2012-02-03,2012-02-08,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,26,2012-02-08,2012-02-13,0.0406798864981911,0.35115063245642075,0.14069709088560212,0.07392155129296768,2,1.0,valid
Punjab,Ludhiana,2011,27,2012-02-13,2012-02-18,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,28,2012-02-18,2012-02-23,0.0448575320163446,0.36971022280011984,0.14866666687540298,0.07735660943839726,1,11.0,valid
Punjab,Ludhiana,2011,29,2012-02-23,2012-02-28,0.036754204277452025,0.35115971722817624,0.13584091453105376,0.07299663485765678,2,1.5,valid
Punjab,Ludhiana,2011,30,2012-02-28,2012-03-04,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,31,2012-03-04,2012-03-09,0.08691452847709247,0.34987675910353766,0.15387898688955062,0.08830645348169745,1,2.0,valid
Punjab,Ludhiana,2011,32,2012-03-09,2012-03-14,0.0455694321682282,0.3324871814359484,0.12789321349220706,0.06829190187275865,2,4.0,valid
Punjab,Ludhiana,2011,33,2012-03-14,2012-03-19,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,34,2012-03-19,2012-03-24,0.08885518906925362,0.318467139124042,0.15622673319034613,0.09740357197877753,1,0.0,valid
Punjab,Ludhiana,2011,35,2012-03-24,2012-03-29,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,36,2012-03-29,2012-04-03,0.056940668443207595,0.26182172894328465,0.13257550622965938,0.0798364396151399,2,7.0,valid
Punjab,Ludhiana,2011,37,2012-04-03,2012-04-08,0.09209237952941543,0.22222253009446474,0.16160350837691695,0.10835450280044133,1,6.0,valid
Punjab,Ludhiana,2011,38,2012-04-08,2012-04-13,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,39,2012-04-13,2012-04-18,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,40,2012-04-18,2012-04-23,,,,,0,,insufficient_data
Punjab,Ludhiana,2011,41,2012-04-23,2012-04-28,0.14051106117488296,0.22785399458454839,0.24357708277415746,0.1777312670202962,1,1.0,valid
Punjab,Ludhiana,2011,42,2012-04-28,2012-05-03,,,,,0,,insufficient_data
