state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Malerkotla,2012,0,2012-10-01,2012-10-06,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,1,2012-10-06,2012-10-11,0.0671363683491779,0.3149693833945869,0.15363369187042397,0.08137153219096287,1,0.0,valid
Punjab,Malerkotla,2012,2,2012-10-11,2012-10-16,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,3,2012-10-16,2012-10-21,0.09489410146059728,0.29552553993553465,0.18311333117894205,0.10327377013994554,1,0.0,valid
Punjab,Malerkotla,2012,4,2012-10-21,2012-10-26,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,5,2012-10-26,2012-10-31,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,6,2012-10-31,2012-11-05,0.15635937441511022,0.2602743564746103,0.29093620935126185,0.21043299550347844,1,0.0,valid
Punjab,Malerkotla,2012,7,2012-11-05,2012-11-10,0.11893139800203509,0.18530898431456633,0.23250181626701694,0.20290765869158126,1,0.0,valid
Punjab,Malerkotla,2012,8,2012-11-10,2012-11-15,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,9,2012-11-15,2012-11-20,0.12341377244689143,0.17671717905493092,0.2276233018929975,0.21257861016679147,1,0.0,valid
Punjab,Malerkotla,2012,10,2012-11-20,2012-11-25,0.13405415836562087,0.18709961071136444,0.22391636824005634,0.20500490384187045,1,3.0,valid
Punjab,Malerkotla,2012,11,2012-11-25,2012-11-30,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,12,2012-11-30,2012-12-05,0.09747435829329053,0.19092481961421337,0.20252674626355335,0.17114280939446902,1,0.0,valid
Punjab,Malerkotla,2012,13,2012-12-05,2012-12-10,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,14,2012-12-10,2012-12-15,0.10031915604874016,0.21720187283194548,0.18198242897454167,0.136405286213057,1,5.0,valid
Punjab,Malerkotla,2012,15,2012-12-15,2012-12-20,0.06263820836766387,0.24898541533527588,0.17143753151811927,0.11018126413096282,1,0.0,valid
Punjab,Malerkotla,2012,16,2012-12-20,2012-12-25,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,17,2012-12-25,2012-12-30,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,18,2012-12-30,2013-01-04,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,19,2013-01-04,2013-01-09,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,20,2013-01-09,2013-01-14,0.04151204598564041,0.2922254160468933,0.1434796354116666,0.07768362352009937,1,0.0,valid
Punjab,Malerkotla,2012,21,2013-01-14,2013-01-19,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,22,2013-01-19,2013-01-24,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,23,2013-01-24,2013-01-29,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,24,2013-01-29,2013-02-03,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,25,2013-02-03,2013-02-08,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,26,2013-02-08,2013-02-13,0.040251935251356334,0.4128896514100669,0.12853190335607678,0.05829893317456263,1,19.0,valid
Punjab,Malerkotla,2012,27,2013-02-13,2013-02-18,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,28,2013-02-18,2013-02-23,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,29,2013-02-23,2013-02-28,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,30,2013-02-28,2013-03-05,0.03619027451418116,0.37790953354907475,0.13350235514628084,0.06303490806609513,1,0.0,valid
Punjab,Malerkotla,2012,31,2013-03-05,2013-03-10,0.04955034910714353,0.3865465839313055,0.14077060076825917,0.07153035032548843,1,3.0,valid
Punjab,Malerkotla,2012,32,2013-03-10,2013-03-15,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,33,2013-03-15,2013-03-20,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,34,2013-03-20,2013-03-25,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,35,2013-03-25,2013-03-30,0.0994349503938155,0.32799035901454354,0.1484494606971064,0.08606404600608025,1,17.0,valid
Punjab,Malerkotla,2012,36,2013-03-30,2013-04-04,0.06736421416971843,0.23821865202277231,0.14347260719554555,0.08506943446071522,1,0.0,valid
Punjab,Malerkotla,2012,37,2013-04-04,2013-04-09,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,38,2013-04-09,2013-04-14,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,39,2013-04-14,2013-04-19,0.14520250377051158,0.2362429983182801,0.25059496771542955,0.17663146260834334,1,0.0,valid
Punjab,Malerkotla,2012,40,2013-04-19,2013-04-24,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,41,2013-04-24,2013-04-29,,,,,0,,insufficient_data
Punjab,Malerkotla,2012,42,2013-04-29,2013-05-04,,,,,0,,insufficient_data
