state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Mansa,2016,0,2016-10-01,2016-10-06,0.14423683292447248,0.3446396646614859,0.18256401433536543,0.09580786104231859,3,17.29,valid
Punjab,Mansa,2016,1,2016-10-06,2016-10-11,0.08432350234437859,0.31991889476115865,0.18502233197954032,0.10836608992447286,2,1.08,valid
Punjab,Mansa,2016,2,2016-10-11,2016-10-16,0.10365582387678586,0.32093915849285226,0.1965660951114163,0.11434958972032844,2,0.0,valid
Punjab,Mansa,2016,3,2016-10-16,2016-10-21,0.11074755162277954,0.29116260087400486,0.22323453949706037,0.14032197241271982,4,0.005,valid
Punjab,Mansa,2016,4,2016-10-21,2016-10-26,,,,,0,,insufficient_data
Punjab,Mansa,2016,5,2016-10-26,2016-10-31,0.15761038852102266,0.29416760217905447,0.25792529425248517,0.1741474686423876,4,0.21,valid
Punjab,Mansa,2016,6,2016-10-31,2016-11-05,0.23033005746509053,0.2791751438157857,0.24590682802688768,0.19118151797408725,2,15.335,valid
Punjab,Mansa,2016,7,2016-11-05,2016-11-10,,,,,0,,insufficient_data
Punjab,Mansa,2016,8,2016-11-10,2016-11-15,0.1267757360564785,0.20029394307125156,0.22472936734584997,0.1885960930594352,4,9.48,valid
Punjab,Mansa,2016,9,2016-11-15,2016-11-20,0.12797181046526396,0.1800484881664808,0.22519245996215756,0.20825407543883065,2,8.0,valid
Punjab,Mansa,2016,10,2016-11-20,2016-11-25,0.12140779545012154,0.17523524448638994,0.2178569619690456,0.2040012329106288,2,8.235000000000001,valid
Punjab,Mansa,2016,11,2016-11-25,2016-11-30,0.11072057926298748,0.17426106854263876,0.21445442687678723,0.19553549813762644,4,0.0875,valid
Punjab,Mansa,2016,12,2016-11-30,2016-12-05,,,,,0,,insufficient_data
Punjab,Mansa,2016,13,2016-12-05,2016-12-10,0.11311105921517749,0.17681980699355185,0.2026192392758399,0.17787032635917485,4,9.5375,valid
Punjab,Mansa,2016,14,2016-12-10,2016-12-15,0.15739353413687265,0.24107089537759824,0.1937308479190602,0.13869097166574496,2,22.5,valid
Punjab,Mansa,2016,15,2016-12-15,2016-12-20,,,,,0,,insufficient_data
Punjab,Mansa,2016,16,2016-12-20,2016-12-25,0.07025560310931105,0.21254421063037032,0.17015223189433523,0.12369355298312541,4,1.93,valid
Punjab,Mansa,2016,17,2016-12-25,2016-12-30,,,,,0,,insufficient_data
Punjab,Mansa,2016,18,2016-12-30,2017-01-04,0.20308782757861493,0.36663891672476406,0.19810099172568146,0.12158224475287127,1,19.0,valid
Punjab,Mansa,2016,19,2017-01-04,2017-01-09,0.05849519454719846,0.35424912859077745,0.16267313309222556,0.09026458893041057,1,23.21,valid
Punjab,Mansa,2016,20,2017-01-09,2017-01-14,,,,,0,,insufficient_data
Punjab,Mansa,2016,21,2017-01-14,2017-01-19,0.04115964284811159,0.35103174300267515,0.15128160163294732,0.07531256280872133,2,11.0,valid
Punjab,Mansa,2016,22,2017-01-19,2017-01-24,0.07094328397748313,0.3588707656906059,0.14682472358183152,0.07081927886493641,4,6.9399999999999995,valid
Punjab,Mansa,2016,23,2017-01-24,2017-01-29,,,,,0,,insufficient_data
Punjab,Mansa,2016,24,2017-01-29,2017-02-03,0.12387516268368302,0.4181262921409067,0.18310215492469428,0.10676145503830689,3,16.486666666666668,valid
Punjab,Mansa,2016,25,2017-02-03,2017-02-08,0.04834829358857782,0.39720557278835106,0.14472329038812023,0.07140612629743798,2,3.0,valid
Punjab,Mansa,2016,26,2017-02-08,2017-02-13,0.0526689644017734,0.47852166350678754,0.14179704985172298,0.079281308788275,1,21.5,valid
Punjab,Mansa,2016,27,2017-02-13,2017-02-18,0.04736407951817015,0.3808153131182548,0.1384051602026508,0.07469192152146784,3,9.123333333333333,valid
Punjab,Mansa,2016,28,2017-02-18,2017-02-23,,,,,0,,insufficient_data
Punjab,Mansa,2016,29,2017-02-23,2017-02-28,0.03470464511210074,0.3829483693520717,0.13252017855086692,0.06589625539262793,4,0.005,valid
Punjab,Mansa,2016,30,2017-02-28,2017-03-05,0.04144105201299706,0.3716238070701346,0.12486456943982872,0.06684423388809384,4,11.6725,valid
Punjab,Mansa,2016,31,2017-03-05,2017-03-10,,,,,0,,insufficient_data
Punjab,Mansa,2016,32,2017-03-10,2017-03-15,0.04827540454074148,0.3953881219354464,0.1297884499580953,0.06152986150025153,4,3.775,valid
Punjab,Mansa,2016,33,2017-03-15,2017-03-20,0.061039573231363144,0.3469384277880627,0.13470816145368197,0.0756266660111358,2,4.715,valid
Punjab,Mansa,2016,34,2017-03-20,2017-03-25,0.0778002926334292,0.34913273102478076,0.14743931502446464,0.08046700779155773,2,0.0,valid
Punjab,Mansa,2016,35,2017-03-25,2017-03-30,0.0802966778509402,0.29072801002370247,0.1521546841812263,0.09164651817466425,4,2.06,valid
Punjab,Mansa,2016,36,2017-03-30,2017-04-04,,,,,0,,insufficient_data
Punjab,Mansa,2016,37,2017-04-04,2017-04-09,0.15599818795974976,0.26194974854729713,0.2090361553791258,0.13784343452700262,1,21.0,valid
