state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Moga,2016,0,2016-10-01,2016-10-06,0.13269060670580862,0.3425811338156846,0.16127849191495225,0.08126971263547875,2,11.0,valid
Punjab,Moga,2016,1,2016-10-06,2016-10-11,0.08144582285438819,0.3238116749435692,0.16368738659851273,0.09246786791980362,2,0.6699999999999999,valid
Punjab,Moga,2016,2,2016-10-11,2016-10-16,,,,,0,,insufficient_data
Punjab,Moga,2016,3,2016-10-16,2016-10-21,0.1039725556521849,0.2757345625155194,0.1908661607382673,0.11612890488234116,2,0.0,valid
Punjab,Moga,2016,4,2016-10-21,2016-10-26,,,,,0,,insufficient_data
Punjab,Moga,2016,5,2016-10-26,2016-10-31,0.1391155619984974,0.26719184528922957,0.25585738805391933,0.17460742802580462,2,0.155,valid
Punjab,Moga,2016,6,2016-10-31,2016-11-05,0.17339543170396776,0.24331934420947923,0.2723420983649455,0.19409135142770656,1,0.0,valid
Punjab,Moga,2016,7,2016-11-05,2016-11-10,,,,,0,,insufficient_data
Punjab,Moga,2016,8,2016-11-10,2016-11-15,0.12264057611154049,0.16329483300552364,0.20222933172710836,0.18777427929255014,2,11.605,valid
Punjab,Moga,2016,9,2016-11-15,2016-11-20,0.12132165163498634,0.16360270523213852,0.21565529927871624,0.21002226122684728,2,6.5,valid
Punjab,Moga,2016,10,2016-11-20,2016-11-25,,,,,0,,insufficient_data
Punjab,Moga,2016,11,2016-11-25,2016-11-30,0.09897499572829917,0.1603034521970147,0.19630693176489306,0.18449040296245878,2,0.2,valid
Punjab,Moga,2016,12,2016-11-30,2016-12-05,,,,,0,,insufficient_data
Punjab,Moga,2016,13,2016-12-05,2016-12-10,0.09625496573125232,0.17635635702035998,0.18029598416689518,0.1516995355809553,2,0.5,valid
Punjab,Moga,2016,14,2016-12-10,2016-12-15,,,,,0,,insufficient_data
Punjab,Moga,2016,15,2016-12-15,2016-12-20,,,,,0,,insufficient_data
Punjab,Moga,2016,16,2016-12-20,2016-12-25,0.04537106318723474,0.23126850026825035,0.13946970515719173,0.08323895458534829,2,1.0,valid
Punjab,Moga,2016,17,2016-12-25,2016-12-30,0.3583000492215473,0.4925330985552324,0.3712304766346944,0.2860727001517364,1,13.01,valid
Punjab,Moga,2016,18,2016-12-30,2017-01-04,,,,,0,,insufficient_data
Punjab,Moga,2016,19,2017-01-04,2017-01-09,,,,,0,,insufficient_data
Punjab,Moga,2016,20,2017-01-09,2017-01-14,,,,,0,,insufficient_data
Punjab,Moga,2016,21,2017-01-14,2017-01-19,,,,,0,,insufficient_data
Punjab,Moga,2016,22,2017-01-19,2017-01-24,0.044258627201628854,0.3969455429332057,0.14717680821976534,0.06685466513954359,1,13.0,valid
Punjab,Moga,2016,23,2017-01-24,2017-01-29,,,,,0,,insufficient_data
Punjab,Moga,2016,24,2017-01-29,2017-02-03,,,,,0,,insufficient_data
Punjab,Moga,2016,25,2017-02-03,2017-02-08,0.036566300467572345,0.4156890718256332,0.14457218205875536,0.06670363996179624,2,15.5,valid
Punjab,Moga,2016,26,2017-02-08,2017-02-13,,,,,0,,insufficient_data
Punjab,Moga,2016,27,2017-02-13,2017-02-18,0.050118379393887656,0.39665482107949945,0.14339879031631125,0.07845499080892264,2,9.719999999999999,valid
Punjab,Moga,2016,28,2017-02-18,2017-02-23,,,,,0,,insufficient_data
Punjab,Moga,2016,29,2017-02-23,2017-02-28,0.03281697548364806,0.3919196670686065,0.13289552540300717,0.06633219988176615,2,1.0,valid
Punjab,Moga,2016,30,2017-02-28,2017-03-05,0.0415026182680261,0.3756660123784132,0.12313712965745019,0.06676271442316305,2,12.375,valid
Punjab,Moga,2016,31,2017-03-05,2017-03-10,,,,,0,,insufficient_data
Punjab,Moga,2016,32,2017-03-10,2017-03-15,0.05859200620844413,0.41486945854687374,0.1433076432074212,0.07106993096609293,1,14.0,valid
Punjab,Moga,2016,33,2017-03-15,2017-03-20,0.05951853675244321,0.3418070919193939,0.13349180896416474,0.07599001716456041,2,0.57,valid
Punjab,Moga,2016,34,2017-03-20,2017-03-25,,,,,0,,insufficient_data
Punjab,Moga,2016,35,2017-03-25,2017-03-30,0.07974159391847692,0.28534050176983056,0.15077353797008244,0.09195398779149272,2,0.5,valid
Punjab,Moga,2016,36,2017-03-30,2017-04-04,,,,,0,,insufficient_data
Punjab,Moga,2016,37,2017-04-04,2017-04-09,0.08095766262075973,0.23144508052209434,0.14763369494569695,0.09429671766197846,1,24.39,valid
Punjab,Moga,2016,38,2017-04-09,2017-04-14,0.1423540736544597,0.22717506410429586,0.226474273789942,0.1638192534372053,2,0.0,valid
Punjab,Moga,2016,39,2017-04-14,2017-04-19,,,,,0,,insufficient_data
Punjab,Moga,2016,40,2017-04-19,2017-04-24,0.1849453322148722,0.28741521256277397,0.31370848699356874,0.23106106451828476,2,9.89,valid
Punjab,Moga,2016,41,2017-04-24,2017-04-29,0.18025646209171925,0.2568944208200261,0.3140598068634071,0.25136597011765,2,3.0,valid
Punjab,Moga,2016,42,2017-04-29,2017-05-04,,,,,0,,insufficient_data
