state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Punjab,Tarn Taran,2015,0,2015-10-01,2015-10-06,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,1,2015-10-06,2015-10-11,0.08822238064707082,0.2764216520091118,0.18856673501078108,0.12269612874443031,3,0.04666666666666667,valid
Punjab,Tarn Taran,2015,2,2015-10-11,2015-10-16,0.08395436833555882,0.2611081141694652,0.17488147773150656,0.11282205111572219,1,0.01,valid
Punjab,Tarn Taran,2015,3,2015-10-16,2015-10-21,0.12083321809613191,0.25572234758343526,0.2007310796584471,0.13375848205139074,1,1.0,valid
Punjab,Tarn Taran,2015,4,2015-10-21,2015-10-26,0.10128253922526981,0.22513830527954176,0.1899368983765938,0.13000710476820815,1,4.0,valid
Punjab,Tarn Taran,2015,5,2015-10-26,2015-10-31,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,6,2015-10-31,2015-11-05,0.1057896228119397,0.21858431780860754,0.2052500882016675,0.14436696231559754,2,2.5,valid
Punjab,Tarn Taran,2015,7,2015-11-05,2015-11-10,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,8,2015-11-10,2015-11-15,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,9,2015-11-15,2015-11-20,0.10382381020167808,0.20428769635852484,0.20635121806003315,0.1692196376337157,2,0.505,valid
Punjab,Tarn Taran,2015,10,2015-11-20,2015-11-25,0.11346957170742157,0.19670304692500576,0.20052661325555382,0.17147568893789178,1,17.0,valid
Punjab,Tarn Taran,2015,11,2015-11-25,2015-11-30,0.11855099789660464,0.18941410802343547,0.2073104754547808,0.1890780678562462,1,22.92,valid
Punjab,Tarn Taran,2015,12,2015-11-30,2015-12-05,0.10215967562071171,0.2103012409416429,0.1882818123006841,0.15296292007517065,2,6.005,valid
Punjab,Tarn Taran,2015,13,2015-12-05,2015-12-10,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,14,2015-12-10,2015-12-15,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,15,2015-12-15,2015-12-20,0.07491907829315375,0.21416781399131998,0.15713219145378704,0.11151124299076841,2,0.505,valid
Punjab,Tarn Taran,2015,16,2015-12-20,2015-12-25,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,17,2015-12-25,2015-12-30,0.06666979886189298,0.22776284286342727,0.1528701009644547,0.1034894449254622,2,6.85,valid
Punjab,Tarn Taran,2015,18,2015-12-30,2016-01-04,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,19,2016-01-04,2016-01-09,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,20,2016-01-09,2016-01-14,0.05494755006877481,0.26569769046593644,0.13688798111836242,0.08260501300585257,3,9.343333333333334,valid
Punjab,Tarn Taran,2015,21,2016-01-14,2016-01-19,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,22,2016-01-19,2016-01-24,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,23,2016-01-24,2016-01-29,0.061771208196376604,0.3060996378988829,0.13722563588881104,0.08082230167093606,3,5.95,valid
Punjab,Tarn Taran,2015,24,2016-01-29,2016-02-03,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,25,2016-02-03,2016-02-08,0.037618806699087765,0.3335636227099969,0.13393750944824018,0.07040227978300115,2,12.015,valid
Punjab,Tarn Taran,2015,26,2016-02-08,2016-02-13,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,27,2016-02-13,2016-02-18,0.06373400052846612,0.3781562804203853,0.1587047239553763,0.09441812266905321,2,14.955000000000002,valid
Punjab,Tarn Taran,2015,28,2016-02-18,2016-02-23,0.035793334771619896,0.37400576325106977,0.13270330254269966,0.0638132483923541,2,11.55,valid
Punjab,Tarn Taran,2015,29,2016-02-23,2016-02-28,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,30,2016-02-28,2016-03-04,0.05292760765413032,0.3679020729116203,0.14160877008252906,0.0738632600381306,3,0.38666666666666666,valid
Punjab,Tarn Taran,2015,31,2016-03-04,2016-03-09,0.03758100616151065,0.3637235713908457,0.1394476905761997,0.070801984936711,2,1.04,valid
Punjab,Tarn Taran,2015,32,2016-03-09,2016-03-14,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,33,2016-03-14,2016-03-19,0.04540320141684427,0.3606714200554636,0.14035684457282674,0.0689406356510897,1,11.0,valid
Punjab,Tarn Taran,2015,34,2016-03-19,2016-03-24,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,35,2016-03-24,2016-03-29,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,36,2016-03-29,2016-04-03,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,37,2016-04-03,2016-04-08,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,38,2016-04-08,2016-04-13,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,39,2016-04-13,2016-04-18,0.12389357855276664,0.21881926071108232,0.2137335023152034,0.14450766769960732,2,14.85,valid
Punjab,Tarn Taran,2015,40,2016-04-18,2016-04-23,,,,,0,,insufficient_data
Punjab,Tarn Taran,2015,41,2016-04-23,2016-04-28,0.17665936943655675,0.2967564754159734,0.3138587343970145,0.22580635061162757,2,10.5,valid
Punjab,Tarn Taran,2015,42,2016-04-28,2016-05-03,,,,,0,,insufficient_data
