state,district,year,time_step,start_date,end_date,Red,NIR,SWIR1,SWIR2,image_count,mean_cloud_cover,quality_flag
Uttar_Pradesh,Etawah,2023,0,2023-10-01,2023-10-06,0.06614847069562356,0.33395262288535976,0.18600637880597595,0.10375071990128426,2,1.16,valid
Uttar_Pradesh,Etawah,2023,1,2023-10-06,2023-10-11,0.08503564053289911,0.3081597258125373,0.20383073776859154,0.12781434983196344,2,0.015,valid
Uttar_Pradesh,Etawah,2023,2,2023-10-11,2023-10-16,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,3,2023-10-16,2023-10-21,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,4,2023-10-21,2023-10-26,0.10983106662167684,0.2608526517733868,0.23826446545323066,0.16997492915436935,2,1.22,valid
Uttar_Pradesh,Etawah,2023,5,2023-10-26,2023-10-31,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,6,2023-10-31,2023-11-05,0.12190708187639462,0.24274635771161399,0.2488554254699426,0.18629196683079047,2,0.07,valid
Uttar_Pradesh,Etawah,2023,7,2023-11-05,2023-11-10,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,8,2023-11-10,2023-11-15,0.13710749999999997,0.28496249999999995,0.2907625,0.21419249999999998,1,29.47,valid
Uttar_Pradesh,Etawah,2023,9,2023-11-15,2023-11-20,0.12631179474711043,0.22913326621059477,0.2395266909860933,0.1910664591862587,2,19.605,valid
Uttar_Pradesh,Etawah,2023,10,2023-11-20,2023-11-25,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,11,2023-11-25,2023-11-30,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,12,2023-11-30,2023-12-05,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,13,2023-12-05,2023-12-10,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,14,2023-12-10,2023-12-15,0.0880316265782303,0.2776831510286023,0.1999549045974773,0.13722284345461414,2,0.9650000000000001,valid
Uttar_Pradesh,Etawah,2023,15,2023-12-15,2023-12-20,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,16,2023-12-20,2023-12-25,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,17,2023-12-25,2023-12-30,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,18,2023-12-30,2024-01-04,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,19,2024-01-04,2024-01-09,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,20,2024-01-09,2024-01-14,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,21,2024-01-14,2024-01-19,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,22,2024-01-19,2024-01-24,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,23,2024-01-24,2024-01-29,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,24,2024-01-29,2024-02-03,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,25,2024-02-03,2024-02-08,0.060024520387043166,0.35981114157456573,0.1522479855795207,0.08529343668207671,1,28.76,valid
Uttar_Pradesh,Etawah,2023,26,2024-02-08,2024-02-13,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,27,2024-02-13,2024-02-18,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,28,2024-02-18,2024-02-23,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,29,2024-02-23,2024-02-28,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,30,2024-02-28,2024-03-04,0.06124067758617981,0.3240292837481645,0.16226452986495107,0.10013567344211712,2,2.23,valid
Uttar_Pradesh,Etawah,2023,31,2024-03-04,2024-03-09,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,32,2024-03-09,2024-03-14,0.06332919376079246,0.30866462531111954,0.16471415127984762,0.10735339801470245,2,0.03,valid
Uttar_Pradesh,Etawah,2023,33,2024-03-14,2024-03-19,0.0706195824972378,0.29002108082511663,0.17619756899523567,0.11880634977172165,1,1.0,valid
Uttar_Pradesh,Etawah,2023,34,2024-03-19,2024-03-24,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,35,2024-03-24,2024-03-29,0.09208426977967109,0.25868520429295877,0.19448293511123252,0.13481167083205267,2,0.04,valid
Uttar_Pradesh,Etawah,2023,36,2024-03-29,2024-04-03,0.12171733290936679,0.23736834734219914,0.20949526082893563,0.16165693617930918,2,14.77,valid
Uttar_Pradesh,Etawah,2023,37,2024-04-03,2024-04-08,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,38,2024-04-08,2024-04-13,0.14294407369403656,0.2613953345134826,0.2780728087853319,0.20924891684233957,1,0.0,valid
Uttar_Pradesh,Etawah,2023,39,2024-04-13,2024-04-18,,,,,0,,insufficient_data
Uttar_Pradesh,Etawah,2023,40,2024-04-18,2024-04-23,0.1627897608661315,0.28184281015919943,0.30844320994405494,0.24031625438106022,2,0.05500000000000001,valid
Uttar_Pradesh,Etawah,2023,41,2024-04-23,2024-04-28,0.17087154112270178,0.29339177973570174,0.32356904392529917,0.2567765693475473,2,1.455,valid
Uttar_Pradesh,Etawah,2023,42,2024-04-28,2024-05-03,,,,,0,,insufficient_data
