state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Ambala,2021,0,2021-10-01,2021-10-06,0.3325664296926056,0.2994333555009272,0.3585409065409807,0.1057536088089114,2,23.3572,valid
Haryana,Ambala,2021,1,2021-10-06,2021-10-11,0.2840376780040334,0.2682126626473973,0.3143885528465729,0.1020870263714916,3,1.7392666666666663,valid
Haryana,Ambala,2021,2,2021-10-11,2021-10-16,0.2624607581759253,0.25201102667226,0.2922999690381737,0.1235821594330243,3,0.0337333333333333,valid
Haryana,Ambala,2021,3,2021-10-16,2021-10-21,0.241052832481948,0.2297213648528254,0.269799487624615,0.1365250685334273,3,0.0,valid
Haryana,Ambala,2021,4,2021-10-21,2021-10-26,0.2290835784595216,0.2226444651048522,0.2527258436158179,0.1444330761745385,3,0.6005666666666667,valid
Haryana,Ambala,2021,5,2021-10-26,2021-10-31,0.2283029389279579,0.2190377378027601,0.2515850821884492,0.1549218323047849,3,0.0280666666666666,valid
Haryana,Ambala,2021,6,2021-10-31,2021-11-05,0.2164629524861232,0.2119519014596413,0.2361292241166167,0.1672400020303591,3,0.1074666666666666,valid
Haryana,Ambala,2021,7,2021-11-05,2021-11-10,0.216570477670089,0.2078498025802913,0.2333622700043806,0.1651580753564948,3,0.0,valid
Haryana,Ambala,2021,8,2021-11-10,2021-11-15,0.2080046436418771,0.2021669160427722,0.2237947031526554,0.165910788547523,3,0.0042,valid
Haryana,Ambala,2021,9,2021-11-15,2021-11-20,0.2111869517097832,0.2030606084045804,0.2241781444518363,0.1606102710271275,3,0.4076666666666667,valid
Haryana,Ambala,2021,10,2021-11-20,2021-11-25,0.2090574571774582,0.2038575608225763,0.2228025417967735,0.1546856899520316,3,0.1219666666666666,valid
Haryana,Ambala,2021,11,2021-11-25,2021-11-30,0.2142937604428873,0.2033096861774661,0.2272600205988166,0.1406291136475119,3,0.0,valid
Haryana,Ambala,2021,12,2021-11-30,2021-12-05,0.2166388168126738,0.2109050252588657,0.2289751252526148,0.1319890076408259,1,20.7862,valid
Haryana,Ambala,2021,13,2021-12-05,2021-12-10,0.2837393272565446,0.2651418784076922,0.2963385348620856,0.1835128995314634,3,15.0191,valid
Haryana,Ambala,2021,14,2021-12-10,2021-12-15,0.2325067861182707,0.2239654791118571,0.2450491314954927,0.1085602053188314,3,0.0,valid
Haryana,Ambala,2021,15,2021-12-15,2021-12-20,0.2445081230286052,0.236245834649848,0.2547127005351935,0.1016172580620372,3,0.3420666666666667,valid
Haryana,Ambala,2021,16,2021-12-20,2021-12-25,0.2372644332407345,0.231103592694362,0.2488840221288038,0.0991510448193066,3,16.6401,valid
Haryana,Ambala,2021,17,2021-12-25,2021-12-30,0.2543146755643617,0.2404401716088048,0.2662658533779555,0.0929285245701405,2,13.1916,valid
Haryana,Ambala,2021,18,2021-12-30,2022-01-04,0.2453624106112338,0.23592986631767163,0.25662085868065093,0.09789894248382809,0,,missing_bands
Haryana,Ambala,2021,19,2022-01-04,2022-01-09,0.24578955440254813,0.2357718821515834,0.25757493775337964,0.09603978469472355,0,,missing_bands
Haryana,Ambala,2021,20,2022-01-09,2022-01-14,0.2543146755643617,0.2404401716088048,0.2662658533779555,0.0929285245701405,0,,missing_bands
Haryana,Ambala,2021,21,2022-01-14,2022-01-19,0.29668616795768,0.2859925090386447,0.310564179123774,0.0840989474476478,0,,missing_bands
Haryana,Ambala,2021,22,2022-01-19,2022-01-24,0.29668616795768,0.2859925090386447,0.310564179123774,0.0840989474476478,0,,missing_bands
Haryana,Ambala,2021,23,2022-01-24,2022-01-29,0.29444035486380243,0.28268566086793906,0.3087510088093425,0.0831235444838912,0,,missing_bands
Haryana,Ambala,2021,24,2022-01-29,2022-02-03,0.29668616795768,0.2859925090386447,0.310564179123774,0.0840989474476478,2,0.188479799337096,valid
Haryana,Ambala,2021,25,2022-02-03,2022-02-08,0.29214633514363597,0.2832275561145503,0.30719518210695795,0.08477543358974625,0,,missing_bands
Haryana,Ambala,2021,26,2022-02-08,2022-02-13,0.2921945417699249,0.2793788126972334,0.3069378384949109,0.0821481415201346,3,3.0623786915106432,valid
Haryana,Ambala,2021,27,2022-02-13,2022-02-18,0.2875838888936569,0.2790121219263231,0.3019846425489341,0.0836677392618647,3,0.0,valid
Haryana,Ambala,2021,28,2022-02-18,2022-02-23,0.292120741953282,0.288526780796,0.3092940682602127,0.0891869061293379,3,0.0,valid
Haryana,Ambala,2021,29,2022-02-23,2022-02-28,0.29090056836976547,0.28255511802045624,0.30811266454795805,0.09215196079089288,0,,missing_bands
