state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Kaithal,2020,0,2020-10-01,2020-10-06,0.2995735489002773,0.2900758704428859,0.3300302607099841,0.0978448229306609,4,0.0,valid
Haryana,Kaithal,2020,1,2020-10-06,2020-10-11,0.2824725349995192,0.2807834110548712,0.3149289053445165,0.1144328109201705,4,0.0,valid
Haryana,Kaithal,2020,2,2020-10-11,2020-10-16,0.2686249397905593,0.2595665533788072,0.2976730615240836,0.1258378377617195,4,0.013475,valid
Haryana,Kaithal,2020,3,2020-10-16,2020-10-21,0.2513019791293845,0.2510263531001772,0.2795380689368638,0.138923385098889,4,0.0,valid
Haryana,Kaithal,2020,4,2020-10-21,2020-10-26,0.2413299986831977,0.2373394631907008,0.2649829543473451,0.1446771957948354,4,0.0,valid
Haryana,Kaithal,2020,5,2020-10-26,2020-10-31,0.2218913915423131,0.2168534577982983,0.2414468657519684,0.1510685331856947,4,0.8676250000000001,valid
Haryana,Kaithal,2020,6,2020-10-31,2020-11-05,0.2112382857049073,0.2092794589275264,0.2299279059268173,0.1702516096231609,4,0.0,valid
Haryana,Kaithal,2020,7,2020-11-05,2020-11-10,0.2000984264807172,0.1981274229938178,0.216978880444174,0.1795730985384914,4,0.0038,valid
Haryana,Kaithal,2020,8,2020-11-10,2020-11-15,0.193736090490298,0.1872944438605679,0.2066945918405538,0.1789732712678863,4,0.77495,valid
Haryana,Kaithal,2020,9,2020-11-15,2020-11-20,0.2117460034648051,0.198490404515707,0.2228791817831412,0.1769878501957056,1,0.3793,valid
Haryana,Kaithal,2020,10,2020-11-20,2020-11-25,0.2103348232114867,0.2047125696008704,0.2242733764777722,0.1859618818894103,3,5.5915333333333335,valid
Haryana,Kaithal,2020,11,2020-11-25,2020-11-30,0.1866778255685975,0.1828567485805054,0.1978965168881587,0.1480239253451091,2,0.0,valid
Haryana,Kaithal,2020,12,2020-11-30,2020-12-05,0.2150231679285665,0.2049664710227465,0.2265899764926954,0.1566621184790767,4,0.0,valid
Haryana,Kaithal,2020,13,2020-12-05,2020-12-10,0.2199957533356547,0.2064114678968225,0.2296837294887124,0.1327669637725368,4,0.685,valid
Haryana,Kaithal,2020,14,2020-12-10,2020-12-15,0.2189995258152565,0.204911360864129,0.2305428562267837,0.1177043095160022,2,0.0,valid
Haryana,Kaithal,2020,15,2020-12-15,2020-12-20,0.2572092672786065,0.2498392101918179,0.2674847183305588,0.1208684924412533,4,1.23595,valid
Haryana,Kaithal,2020,16,2020-12-20,2020-12-25,0.257157977928358,0.2467466190953631,0.2663856904788426,0.0946990073643588,3,3.7495666666666665,valid
Haryana,Kaithal,2020,17,2020-12-25,2020-12-30,0.2672837747335273,0.2593742786799816,0.2781635251057688,0.0960820234286422,4,6.397500000000001,valid
Haryana,Kaithal,2020,18,2020-12-30,2021-01-04,0.27934734307995235,0.2668166120128907,0.2900035245043907,0.10493885925342923,0,,missing_bands
Haryana,Kaithal,2020,19,2021-01-04,2021-01-09,0.2891936164611199,0.2643299474612253,0.3012597218885237,0.0946527051768531,2,12.5905,valid
Haryana,Kaithal,2020,20,2021-01-09,2021-01-14,0.312318550025396,0.2982529920369845,0.32471164422337545,0.09273295637779569,0,,missing_bands
Haryana,Kaithal,2020,21,2021-01-14,2021-01-19,0.3258920789981499,0.3137930046360658,0.3367239667182597,0.1183920678560387,1,22.3123,valid
Haryana,Kaithal,2020,22,2021-01-19,2021-01-24,0.3431738332071927,0.3227455191332426,0.3554315367659892,0.088026630714119,1,8.6727,valid
Haryana,Kaithal,2020,23,2021-01-24,2021-01-29,0.3360494467269901,0.3310222102744074,0.351979470638336,0.0665113547133255,2,0.0,valid
Haryana,Kaithal,2020,24,2021-01-29,2021-02-03,0.339123643548561,0.3271802090825663,0.3517272397395595,0.070536079600218,3,6.943433333333334,valid
Haryana,Kaithal,2020,25,2021-02-03,2021-02-08,0.3429416645876048,0.3251959929339909,0.3609290863793932,0.0731346067745982,4,4.680275,valid
Haryana,Kaithal,2020,26,2021-02-08,2021-02-13,0.3587159186617365,0.3421003155655565,0.3744598199447967,0.0636723310069673,3,1.1529,valid
Haryana,Kaithal,2020,27,2021-02-13,2021-02-18,0.3367630835172275,0.3250821518389666,0.3554240109120566,0.0524736676053693,2,0.0,valid
Haryana,Kaithal,2020,28,2021-02-18,2021-02-23,0.3530682614246931,0.3366087285075452,0.3695419530753945,0.0665970164241243,2,5.4703,valid
Haryana,Kaithal,2020,29,2021-02-23,2021-02-28,0.3375602723560829,0.3225809405836268,0.3578134897117457,0.0623807523694707,4,2.38535,valid
Haryana,Kaithal,2020,30,2021-02-28,2021-03-05,0.3519357352947945,0.3429095619287091,0.3690115191716701,0.0626874753893443,4,0.0,valid
Haryana,Kaithal,2020,31,2021-03-05,2021-03-10,0.3241438537943781,0.3166949639208263,0.3455876155014113,0.062384896333197,4,0.0,valid
Haryana,Kaithal,2020,32,2021-03-10,2021-03-15,0.3140607183322804,0.2929851890116967,0.335973924614799,0.0688155704175855,1,0.0,valid
Haryana,Kaithal,2020,33,2021-03-15,2021-03-20,0.3132828420483341,0.3050987005718102,0.3339925628606479,0.0971483117961515,2,9.93295,valid
Haryana,Kaithal,2020,34,2021-03-20,2021-03-25,0.2644426868602471,0.2556474219418825,0.2858916822196347,0.0776461447525831,2,0.0,valid
Haryana,Kaithal,2020,35,2021-03-25,2021-03-30,0.2076163743007313,0.2032953373948818,0.2294133624673423,0.0968337213547379,2,0.0,valid
Haryana,Kaithal,2020,36,2021-03-30,2021-04-04,0.2255695734134023,0.2213458111444521,0.2474407943909719,0.1169932986711061,4,0.0,valid
Haryana,Kaithal,2020,37,2021-04-04,2021-04-09,0.2181166989110442,0.2214783089740488,0.2453721501767978,0.1401472608975904,4,0.43355,valid
Haryana,Kaithal,2020,38,2021-04-09,2021-04-14,0.2449677618959478,0.2458144060877452,0.2728553580913372,0.1780172964405568,5,2.5798,valid
Haryana,Kaithal,2020,39,2021-04-14,2021-04-19,0.2601326351424023,0.2542007242272899,0.2944021543905298,0.2084510822707367,1,7.2549,valid
Haryana,Kaithal,2020,40,2021-04-19,2021-04-24,0.2954487494863,0.2909540395387457,0.3279074306180137,0.2494008289056674,2,11.00805,valid
Haryana,Kaithal,2020,41,2021-04-24,2021-04-29,0.2854930358880078,0.2885667612217878,0.3162117488935945,0.2661584657015765,4,0.0,valid
Haryana,Kaithal,2020,42,2021-04-29,2021-05-04,0.2564708634991824,0.2464060956089737,0.281115321632348,0.2445812765646856,2,0.2689,valid
