state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Palwal,2019,0,2019-10-01,2019-10-06,0.2974428716857205,0.2727324367170078,0.3222660108546928,0.1131254393574566,4,13.89105,valid
Haryana,Palwal,2019,1,2019-10-06,2019-10-11,0.3191590255370095,0.2982288047394731,0.3464731591959049,0.1641164093599311,1,5.6161,valid
Haryana,Palwal,2019,2,2019-10-11,2019-10-16,0.2587933770010441,0.2474588924565719,0.2853944914264798,0.1328349699290007,4,0.0512749999999999,valid
Haryana,Palwal,2019,3,2019-10-16,2019-10-21,0.2473439927638215,0.2324713993390672,0.2725837641555296,0.1431439711682857,4,1.669475,valid
Haryana,Palwal,2019,4,2019-10-21,2019-10-26,0.24769768404793238,0.23403506744554992,0.268116498166416,0.15380923395964918,0,,missing_bands
Haryana,Palwal,2019,5,2019-10-26,2019-10-31,0.2351600301829472,0.2270261194873963,0.2546899628708062,0.1718038096174873,4,0.0,valid
Haryana,Palwal,2019,6,2019-10-31,2019-11-05,0.2457104151892918,0.2284998660348617,0.2578148259771539,0.1705676214559928,3,3.7901,valid
Haryana,Palwal,2019,7,2019-11-05,2019-11-10,0.1800192636134804,0.1705253226159294,0.1917427853726214,0.1403886222271975,1,11.2039,valid
Haryana,Palwal,2019,8,2019-11-10,2019-11-15,0.2345186288729518,0.2174904292335366,0.2404881116501708,0.1703922128488668,4,16.350875000000002,valid
Haryana,Palwal,2019,9,2019-11-15,2019-11-20,0.1913679080397317,0.1781816793073799,0.2031764974149561,0.1679299352545188,4,0.111875,valid
Haryana,Palwal,2019,10,2019-11-20,2019-11-25,0.2073223743321567,0.19457573022757682,0.21693090291880035,0.15806142326541686,0,,missing_bands
Haryana,Palwal,2019,11,2019-11-25,2019-11-30,0.2136909160325425,0.1954840497241879,0.2233902257101389,0.159405143816964,1,14.2307,valid
Haryana,Palwal,2019,12,2019-11-30,2019-12-05,0.2041253878508547,0.1965058645393613,0.2148432828618496,0.161721276914926,4,5.1344,valid
Haryana,Palwal,2019,13,2019-12-05,2019-12-10,0.2202121415833788,0.2092670359450659,0.2279445145030654,0.1485313485300281,1,20.9515,valid
