state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Barnala,2022,0,2022-10-01,2022-10-06,0.3362818691124375,0.3203819985496904,0.3709681299299757,0.0702081919371239,1,0.0,valid
Punjab,Barnala,2022,1,2022-10-06,2022-10-11,0.29037937057570384,0.28183571449280537,0.3242611861958775,0.0875034692796863,0,,missing_bands
Punjab,Barnala,2022,2,2022-10-11,2022-10-16,0.2997529939558224,0.2877597057161021,0.3331530298640314,0.0779512631637814,1,0.0,valid
Punjab,Barnala,2022,3,2022-10-16,2022-10-21,0.273513980750267,0.2666703198039095,0.30708106467803,0.0913430936427049,1,0.0,valid
Punjab,Barnala,2022,4,2022-10-21,2022-10-26,0.2519686384842883,0.2525308339015195,0.285842520311473,0.110511328375135,1,0.0,valid
Punjab,Barnala,2022,5,2022-10-26,2022-10-31,0.2367464390348228,0.2362063632407766,0.2694285578771244,0.1430343186761879,1,0.0,valid
Punjab,Barnala,2022,6,2022-10-31,2022-11-05,0.2156104374149836,0.21233749166098867,0.24032924507659184,0.14164121905172114,0,,missing_bands
Punjab,Barnala,2022,7,2022-11-05,2022-11-10,0.19245343684068134,0.18992059419992063,0.2124036251599748,0.1596651878133278,0,,missing_bands
Punjab,Barnala,2022,8,2022-11-10,2022-11-15,0.159843629148129,0.1537458265959511,0.1718920774029548,0.1784574455103971,1,0.0,valid
Punjab,Barnala,2022,9,2022-11-15,2022-11-20,0.1559794996574109,0.1525341147627869,0.167402005113377,0.1848599090541808,1,2.10943892024247,valid
Punjab,Barnala,2022,10,2022-11-20,2022-11-25,0.1577289778787558,0.1545858324985691,0.1674529650949447,0.1814629374507383,1,0.0,valid
Punjab,Barnala,2022,11,2022-11-25,2022-11-30,0.1672799371514155,0.1620098518094397,0.1757730432175049,0.1623435950606297,1,0.0,valid
Punjab,Barnala,2022,12,2022-11-30,2022-12-05,0.1845837341982607,0.1735174836934203,0.1901512174343664,0.1386641601703518,1,0.0,valid
Punjab,Barnala,2022,13,2022-12-05,2022-12-10,0.1881538414729121,0.17708055685967,0.1962359426324548,0.1192907504589203,1,5.66236674729015,valid
Punjab,Barnala,2022,14,2022-12-10,2022-12-15,0.193616839998314,0.1849483854823627,0.2016184937327032,0.1077256770843531,1,0.0,valid
Punjab,Barnala,2022,15,2022-12-15,2022-12-20,0.2251355715618771,0.2144735349987873,0.2332210396467848,0.0912791885352947,1,0.0,valid
Punjab,Barnala,2022,16,2022-12-20,2022-12-25,0.20230208434436772,0.19216749244694,0.21035849200398093,0.10609853869285603,0,,missing_bands
Punjab,Barnala,2022,17,2022-12-25,2022-12-30,0.20937620578009555,0.199710960240575,0.217419766689744,0.0995024328098239,0,,missing_bands
Punjab,Barnala,2022,18,2022-12-30,2023-01-04,0.2567574420269055,0.24909828192788125,0.2668631083293998,0.0795138551146883,0,,missing_bands
Punjab,Barnala,2022,19,2023-01-04,2023-01-09,0.30520694537969484,0.29375607167803025,0.3163287699165158,0.0719522834328298,0,,missing_bands
Punjab,Barnala,2022,20,2023-01-09,2023-01-14,0.312993765246306,0.3037479610832629,0.3247905292180278,0.06862940987683093,0,,missing_bands
