state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Bathinda,2018,0,2018-10-01,2018-10-06,0.3157204336972428,0.3034310410564074,0.3457768307004501,0.0879790836502271,4,0.01515,valid
Punjab,Bathinda,2018,1,2018-10-06,2018-10-11,0.2983581541453975,0.2817405983159115,0.326715044755114,0.1034179212237966,4,0.9302,valid
Punjab,Bathinda,2018,2,2018-10-11,2018-10-16,0.2754678663326786,0.2677949787471152,0.3054285264140046,0.1044202085291629,6,0.0,valid
Punjab,Bathinda,2018,3,2018-10-16,2018-10-21,0.2541280992362978,0.2548903003180869,0.2865164104761867,0.1173651023066419,4,0.0,valid
Punjab,Bathinda,2018,4,2018-10-21,2018-10-26,0.2505259151167872,0.2465395481632545,0.281662597345416,0.136534173877846,4,0.0,valid
Punjab,Bathinda,2018,5,2018-10-26,2018-10-31,0.2558377928945702,0.2437055584702167,0.2762055622176144,0.1477382710699972,4,3.4739,valid
Punjab,Bathinda,2018,6,2018-10-31,2018-11-05,0.2280896168799128,0.2197610929571013,0.2455548098827552,0.1531395104168117,3,6.931333333333334,valid
Punjab,Bathinda,2018,7,2018-11-05,2018-11-10,0.2555120787023886,0.2406018124706005,0.2633080878945578,0.1725798504242602,4,10.512725,valid
Punjab,Bathinda,2018,8,2018-11-10,2018-11-15,0.2278959853497868,0.2078322561676355,0.2341049173937415,0.1637992019844285,3,9.5528,valid
Punjab,Bathinda,2018,9,2018-11-15,2018-11-20,0.1773942127921325,0.1678961778477345,0.188151232315434,0.1732994685721932,4,0.075225,valid
Punjab,Bathinda,2018,10,2018-11-20,2018-11-25,0.1666499152737107,0.1610257117516035,0.1783437120046556,0.1801679313263597,4,0.0,valid
Punjab,Bathinda,2018,11,2018-11-25,2018-11-30,0.1830448911294838,0.1752229958418596,0.1925705011744594,0.1787716375047871,4,11.023125,valid
Punjab,Bathinda,2018,12,2018-11-30,2018-12-05,0.1859295486185103,0.17755886770901522,0.19520505128884577,0.15466868497538958,0,,missing_bands
Punjab,Bathinda,2018,13,2018-12-05,2018-12-10,0.1863845867591756,0.1748429195349827,0.1938671427792379,0.1430551117462566,4,0.000275,valid
Punjab,Bathinda,2018,14,2018-12-10,2018-12-15,0.1953135062453687,0.1848549631114381,0.2030251861684513,0.1311618567544857,4,0.0,valid
Punjab,Bathinda,2018,15,2018-12-15,2018-12-20,0.2067901795111905,0.2015104381664728,0.2152725332908363,0.1215561039482551,4,0.0,valid
Punjab,Bathinda,2018,16,2018-12-20,2018-12-25,0.2441138037613699,0.2339250840605171,0.2498707716158361,0.1078146550665971,3,0.1631999999999999,valid
Punjab,Bathinda,2018,17,2018-12-25,2018-12-30,0.2350643216554743,0.2275766974967893,0.2430161718990366,0.0976481052364738,4,0.0,valid
Punjab,Bathinda,2018,18,2018-12-30,2019-01-04,0.24931617693928043,0.23787784960385183,0.25765163914382194,0.09883179805250507,0,,missing_bands
Punjab,Bathinda,2018,19,2019-01-04,2019-01-09,0.2792213958362016,0.2642432368583341,0.2895870578298712,0.0894742407988179,2,17.25265,valid
Punjab,Bathinda,2018,20,2019-01-09,2019-01-14,0.2813911839321658,0.2621337914371457,0.2905116610835293,0.0776658852123815,4,0.676275,valid
Punjab,Bathinda,2018,21,2019-01-14,2019-01-19,0.30018440592242107,0.28503659959240213,0.31076761796659425,0.07344098675232505,0,,missing_bands
Punjab,Bathinda,2018,22,2019-01-19,2019-01-24,0.3203773605982623,0.3012970118419439,0.33052436650774,0.0610748298444208,1,8.7988,valid
Punjab,Bathinda,2018,23,2019-01-24,2019-01-29,0.3197476833230546,0.3124723582321849,0.3324473864452363,0.06554899115368,4,0.0,valid
Punjab,Bathinda,2018,24,2019-01-29,2019-02-03,0.3710616105305921,0.35651752212718146,0.3859953479605942,0.10923836610736466,0,,missing_bands
Punjab,Bathinda,2018,25,2019-02-03,2019-02-08,0.3733095463232608,0.35885669869128206,0.38793645467753757,0.09815558690893357,0,,missing_bands
Punjab,Bathinda,2018,26,2019-02-08,2019-02-13,0.3861218704069893,0.3725916608259334,0.402707922853096,0.09906408691855256,0,,missing_bands
Punjab,Bathinda,2018,27,2019-02-13,2019-02-18,0.4730597876704593,0.4557831963074156,0.4950142909288063,0.2010912773239932,2,4.51635,valid
Punjab,Bathinda,2018,28,2019-02-18,2019-02-23,0.3800533537012669,0.3658742283835838,0.3937597748283677,0.0649072493136403,4,11.71785,valid
Punjab,Bathinda,2018,29,2019-02-23,2019-02-28,0.3716266569331763,0.3562368603805496,0.3896102392099736,0.0647088298828968,4,6.858149999999999,valid
Punjab,Bathinda,2018,30,2019-02-28,2019-03-05,0.381019421611663,0.3666385300107338,0.3999867393236323,0.09132243453836593,0,,missing_bands
Punjab,Bathinda,2018,31,2019-03-05,2019-03-10,0.3530472315148323,0.3414603545063425,0.3724718960216049,0.0607962684596696,4,0.0,valid
Punjab,Bathinda,2018,32,2019-03-10,2019-03-15,0.3319236173691834,0.3173970783832763,0.3534433622676815,0.06616504591941914,1,14.3085,missing_bands
Punjab,Bathinda,2018,33,2019-03-15,2019-03-20,0.3273100782385804,0.3138380104757777,0.3490774956294092,0.0651085477116297,4,0.0,valid
Punjab,Bathinda,2018,34,2019-03-20,2019-03-25,0.3124486871776831,0.2935295333867086,0.3344211106086501,0.068421898934932,3,11.9922,valid
