state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Jalandhar,2019,0,2019-10-01,2019-10-06,0.24965473000006724,0.24055508908575804,0.2783129696538989,0.11329860176464342,0,,missing_bands
Punjab,Jalandhar,2019,1,2019-10-06,2019-10-11,0.2657478309358357,0.2551146782407982,0.2964521868773377,0.0952016704962332,3,0.0,valid
Punjab,Jalandhar,2019,2,2019-10-11,2019-10-16,0.2467623706002728,0.2342591839859783,0.2731535038882057,0.1112202333876968,3,0.2029333333333333,valid
Punjab,Jalandhar,2019,3,2019-10-16,2019-10-21,0.2364539884640933,0.2322914050304976,0.2653332181961533,0.1334739014100003,2,4.6779,valid
Punjab,Jalandhar,2019,4,2019-10-21,2019-10-26,0.2229752792348048,0.213147479036475,0.245288512737735,0.1423799726995461,3,0.0178666666666666,valid
Punjab,Jalandhar,2019,5,2019-10-26,2019-10-31,0.2332526237221792,0.2142826227768393,0.2461808275411462,0.1469418624328906,3,4.090066666666667,valid
Punjab,Jalandhar,2019,6,2019-10-31,2019-11-05,0.178813911725585,0.1725936838463151,0.1975941754273384,0.1540539290757715,3,0.0981666666666666,valid
Punjab,Jalandhar,2019,7,2019-11-05,2019-11-10,0.1835090756838989,0.1794055013353,0.1996527428773142,0.1562425182155335,3,0.0,valid
Punjab,Jalandhar,2019,8,2019-11-10,2019-11-15,0.19655842691855394,0.18579236240254102,0.2098410504342699,0.14513820793203472,0,,missing_bands
Punjab,Jalandhar,2019,9,2019-11-15,2019-11-20,0.18738487771764767,0.17866979730896645,0.20075610615755085,0.14468729430682076,0,,missing_bands
Punjab,Jalandhar,2019,10,2019-11-20,2019-11-25,0.183711183397467,0.1755991949633633,0.1956000493686586,0.1566925568542554,2,4.07335,valid
Punjab,Jalandhar,2019,11,2019-11-25,2019-11-30,0.2035053400636397,0.1870808090908874,0.2101774569568922,0.1117601730817226,3,11.772566666666668,valid
Punjab,Jalandhar,2019,12,2019-11-30,2019-12-05,0.2138100814366545,0.1989916027313575,0.22204351230245692,0.12262720996011434,0,,missing_bands
Punjab,Jalandhar,2019,13,2019-12-05,2019-12-10,0.2138100814366545,0.1989916027313575,0.22204351230245692,0.12262720996011434,0,,missing_bands
Punjab,Jalandhar,2019,14,2019-12-10,2019-12-15,0.2542137208488568,0.2342948041398218,0.26035303058182,0.099428899944365,1,24.9798,valid
Punjab,Jalandhar,2019,15,2019-12-15,2019-12-20,0.24966265288051837,0.23256508644904264,0.2584462098975787,0.08860753687750411,0,,missing_bands
Punjab,Jalandhar,2019,16,2019-12-20,2019-12-25,0.24966265288051837,0.23256508644904264,0.2584462098975787,0.08860753687750411,0,,missing_bands
Punjab,Jalandhar,2019,17,2019-12-25,2019-12-30,0.24966265288051837,0.23256508644904264,0.2584462098975787,0.08860753687750411,0,,missing_bands
Punjab,Jalandhar,2019,18,2019-12-30,2020-01-04,0.2451115849121799,0.2308353687582635,0.2565393892133374,0.0777861738106432,3,0.0159666666666666,valid
Punjab,Jalandhar,2019,19,2020-01-04,2020-01-09,0.2695941445926717,0.2593833881217992,0.2822071011114541,0.07480711869260265,0,,missing_bands
Punjab,Jalandhar,2019,20,2020-01-09,2020-01-14,0.2695941445926717,0.2593833881217992,0.2822071011114541,0.07480711869260265,0,,missing_bands
Punjab,Jalandhar,2019,21,2020-01-14,2020-01-19,0.2901304613576607,0.2797936411824761,0.30322383641437556,0.07471459871800197,0,,missing_bands
Punjab,Jalandhar,2019,22,2020-01-19,2020-01-24,0.2940767042731635,0.2879314074853349,0.3078748130095708,0.0718280635745621,3,0.0904333333333333,valid
Punjab,Jalandhar,2019,23,2020-01-24,2020-01-29,0.3157681687136516,0.3027624390851626,0.33044756446685775,0.07484828263287137,0,,missing_bands
Punjab,Jalandhar,2019,24,2020-01-29,2020-02-03,0.3312030948876385,0.32061414730383,0.3452573070202185,0.0745295587688006,2,3.55925,valid
Punjab,Jalandhar,2019,25,2020-02-03,2020-02-08,0.3217336662601665,0.3046002034744919,0.3348781568196873,0.075840375472651,3,0.2566666666666666,valid
Punjab,Jalandhar,2019,26,2020-02-08,2020-02-13,0.3160592094336379,0.2979039980769936,0.3337799810179545,0.0771951327154718,3,12.668766666666665,valid
Punjab,Jalandhar,2019,27,2020-02-13,2020-02-18,0.3313090071456522,0.3257931034489922,0.3458232618474149,0.0815968689552314,3,0.0230333333333333,valid
Punjab,Jalandhar,2019,28,2020-02-18,2020-02-23,0.331531295156979,0.3132354430827437,0.3508483351571702,0.0813232514386167,3,0.0104,valid
Punjab,Jalandhar,2019,29,2020-02-23,2020-02-28,0.3695787598817427,0.3419113271170155,0.3879059171563209,0.0670239590650623,1,3.7773,valid
Punjab,Jalandhar,2019,30,2020-02-28,2020-03-04,0.3354177824485322,0.3229764400177164,0.355314712515147,0.0814798099289636,3,0.0140333333333333,valid
Punjab,Jalandhar,2019,31,2020-03-04,2020-03-09,0.3329964833438161,0.3168303054238537,0.3504630333415435,0.0675897399690091,3,1.3982,valid
Punjab,Jalandhar,2019,32,2020-03-09,2020-03-14,0.3177967312299811,0.3052331531442455,0.3385939118057428,0.0818656213983442,3,9.298166666666669,valid
Punjab,Jalandhar,2019,33,2020-03-14,2020-03-19,0.3033078106633993,0.2873710784567878,0.3248363700209929,0.0863231822412836,3,0.34,valid
Punjab,Jalandhar,2019,34,2020-03-19,2020-03-24,0.2747523277057435,0.2683174791317315,0.2996264331553315,0.0928249695878071,3,10.3942,valid
Punjab,Jalandhar,2019,35,2020-03-24,2020-03-29,0.244633694707236,0.2328046728835662,0.2667088665436829,0.0675543995689839,3,8.277266666666668,valid
Punjab,Jalandhar,2019,36,2020-03-29,2020-04-03,0.226149503573876,0.2246260112281841,0.2494489980807279,0.1030745641304614,3,0.6427666666666666,valid
Punjab,Jalandhar,2019,37,2020-04-03,2020-04-08,0.2387220030121161,0.2325592511031372,0.26194668788129605,0.10306613145115498,0,,missing_bands
Punjab,Jalandhar,2019,38,2020-04-08,2020-04-13,0.2273665595974951,0.22080858256560654,0.251849408355053,0.1266094015101455,0,,missing_bands
Punjab,Jalandhar,2019,39,2020-04-13,2020-04-18,0.22161084789424812,0.21680988579295332,0.24689625562550965,0.14629440215719933,0,,missing_bands
Punjab,Jalandhar,2019,40,2020-04-18,2020-04-23,0.209352486061609,0.2044888411690669,0.232002453745442,0.1488105925173675,3,1.3652333333333333,valid
Punjab,Jalandhar,2019,41,2020-04-23,2020-04-28,0.2293305540472593,0.221314804981609,0.2592373150503591,0.1869980498237691,1,0.0,valid
Punjab,Jalandhar,2019,42,2020-04-28,2020-05-03,0.21934152005443414,0.21290182307533795,0.24561988439790056,0.1679043211705683,0,,missing_bands
