state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Muktsar,2022,0,2022-10-01,2022-10-06,0.3255401372102912,0.3109405531434797,0.3571801922334505,0.0790467673506848,2,0.0,valid
Punjab,Muktsar,2022,1,2022-10-06,2022-10-11,0.4255041906456987,0.3901042187217521,0.4601529820409762,0.173001191274751,1,6.40571530950461,valid
Punjab,Muktsar,2022,2,2022-10-11,2022-10-16,0.2961379484689397,0.285991406080234,0.328761888330475,0.0909979843164208,2,0.0,valid
Punjab,Muktsar,2022,3,2022-10-16,2022-10-21,0.2839587783886156,0.2803519441618515,0.3195136235441027,0.1117021248728772,2,0.0,valid
Punjab,Muktsar,2022,4,2022-10-21,2022-10-26,0.26655763570383,0.2656250427125871,0.3009190476755003,0.1294935849213816,2,0.0,valid
Punjab,Muktsar,2022,5,2022-10-26,2022-10-31,0.2571285859896925,0.25739577739449,0.2922642532075405,0.1507895919497041,2,0.0,valid
Punjab,Muktsar,2022,6,2022-10-31,2022-11-05,0.2531880580463989,0.2411322622232836,0.2819732757130936,0.1640449052533095,1,6.73059810684105,valid
Punjab,Muktsar,2022,7,2022-11-05,2022-11-10,0.21843787888390198,0.2141623749996988,0.24233750711524857,0.16513599190049907,0,,missing_bands
Punjab,Muktsar,2022,8,2022-11-10,2022-11-15,0.1941920832494754,0.1874843316571035,0.2135385249900058,0.1779850794233149,2,12.7216250111977,valid
Punjab,Muktsar,2022,9,2022-11-15,2022-11-20,0.1740103008412455,0.1719369808926033,0.1893838247936721,0.1839402684566432,1,9.29848607005285,valid
Punjab,Muktsar,2022,10,2022-11-20,2022-11-25,0.1655506094727697,0.1613998551181256,0.1759461163116789,0.184562521398641,2,0.0484786049150467,valid
Punjab,Muktsar,2022,11,2022-11-25,2022-11-30,0.1671613173639491,0.1608555447810356,0.1758065830496368,0.1737036529829864,2,0.0,valid
Punjab,Muktsar,2022,12,2022-11-30,2022-12-05,0.1735405000925718,0.1642970151885069,0.1802982462827416,0.1614579735370676,2,0.0,valid
Punjab,Muktsar,2022,13,2022-12-05,2022-12-10,0.1738588813415317,0.1632577417265172,0.1818805719309045,0.142726914813283,1,0.0846546627250739,valid
Punjab,Muktsar,2022,14,2022-12-10,2022-12-15,0.1791689901386939,0.1701469879691788,0.186694126072478,0.1320424665270239,2,0.0,valid
Punjab,Muktsar,2022,15,2022-12-15,2022-12-20,0.1981476586217958,0.1908881591087756,0.2060501500354588,0.1158510031397672,2,0.0,valid
Punjab,Muktsar,2022,16,2022-12-20,2022-12-25,0.20168550170254865,0.19228916077651054,0.20924937063594345,0.11159742413059467,0,,missing_bands
Punjab,Muktsar,2022,17,2022-12-25,2022-12-30,0.2132111397702576,0.2037367000417932,0.2210696892191471,0.0885194363327371,1,25.4691988414106,valid
Punjab,Muktsar,2022,18,2022-12-30,2023-01-04,0.2440408386404641,0.2334162150362879,0.2505523159217289,0.0788472998401621,1,3.39287527247753,valid
Punjab,Muktsar,2022,19,2023-01-04,2023-01-09,0.2625542936068455,0.2514674204364226,0.2709540988653667,0.08478278355897306,0,,missing_bands
Punjab,Muktsar,2022,20,2023-01-09,2023-01-14,0.2714892917647671,0.2615660575599018,0.2804295231503592,0.08022793549690636,0,,missing_bands
