state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Bhiwani,2017,0,2017-10-01,2017-10-06,0.2747297578162033,0.2693238043779026,0.3029174020206001,0.2137383859228828,4,0.0,valid
Haryana,Bhiwani,2017,1,2017-10-06,2017-10-11,0.2586094684645492,0.2496845307057373,0.2844161512969458,0.2086439491596194,8,0.0,valid
Haryana,Bhiwani,2017,2,2017-10-11,2017-10-16,0.2469770384290358,0.246287901538067,0.2727192681261759,0.2296003414512926,4,0.0,valid
Haryana,Bhiwani,2017,3,2017-10-16,2017-10-21,0.2534051877961866,0.2469177836735964,0.27680236414943454,0.22198105122129275,0,,missing_bands
Haryana,Bhiwani,2017,4,2017-10-21,2017-10-26,0.2567099382551633,0.2526936906032692,0.2806504219440234,0.2354921518799658,4,6.5765,valid
Haryana,Bhiwani,2017,5,2017-10-26,2017-10-31,0.2501717938880304,0.239166384942828,0.2678637782284731,0.2207116944487427,8,3.8678625,valid
Haryana,Bhiwani,2017,6,2017-10-31,2017-11-05,0.2332331299241377,0.2243503898737744,0.2522471632803891,0.2236997844652533,8,0.0,valid
Haryana,Bhiwani,2017,7,2017-11-05,2017-11-10,0.23639986111243214,0.2287973404802108,0.25272875900154274,0.22398877895369398,0,,missing_bands
Haryana,Bhiwani,2017,8,2017-11-10,2017-11-15,0.2337730014390319,0.2261607239182815,0.2473669989497717,0.2340050247047239,3,11.994133333333332,valid
Haryana,Bhiwani,2017,9,2017-11-15,2017-11-20,0.2198707110028381,0.2097340627355865,0.2297638833912196,0.2022212023573585,5,5.6454,valid
Haryana,Bhiwani,2017,10,2017-11-20,2017-11-25,0.2246405921653914,0.2206787908075251,0.2384803082153794,0.2278028158661199,11,0.0,valid
Haryana,Bhiwani,2017,11,2017-11-25,2017-11-30,0.23739301348012565,0.22988845199639238,0.24912535919589426,0.20720743778999762,0,,missing_bands
Haryana,Bhiwani,2017,12,2017-11-30,2017-12-05,0.2330223027071603,0.2286477842449852,0.2466329515260271,0.2175836421381327,4,0.0,valid
Haryana,Bhiwani,2017,13,2017-12-05,2017-12-10,0.242027481261759,0.2345743235531889,0.2535366432048601,0.1903552783875142,6,2.376383333333333,valid
Haryana,Bhiwani,2017,14,2017-12-10,2017-12-15,0.2710239923045731,0.2595350267187871,0.2789713698881078,0.1712766632861365,2,8.7739,valid
Haryana,Bhiwani,2017,15,2017-12-15,2017-12-20,0.26439840933502373,0.2558174228082895,0.27642138177760284,0.17049603172541902,0,,missing_bands
Haryana,Bhiwani,2017,16,2017-12-20,2017-12-25,0.2741720075289958,0.264808631364955,0.2881246697512851,0.1615211160237568,6,3.055333333333333,valid
Haryana,Bhiwani,2017,17,2017-12-25,2017-12-30,0.2800645826219223,0.2678417022289396,0.2920298420336018,0.1450951714902721,12,1.0342833333333334,valid
Haryana,Bhiwani,2017,18,2017-12-30,2018-01-04,0.2860800895857317,0.2794970687388814,0.2992328142617352,0.1371443190267018,4,6.591875,valid
Haryana,Bhiwani,2017,19,2018-01-04,2018-01-09,0.28943634327156537,0.28181324452637574,0.3026252379825119,0.12929427781550884,0,,missing_bands
Haryana,Bhiwani,2017,20,2018-01-09,2018-01-14,0.2901213232734561,0.2847258634255812,0.3036647324417127,0.1161217215289708,8,0.0,valid
Haryana,Bhiwani,2017,21,2018-01-14,2018-01-19,0.3011275280264661,0.2920024298457157,0.3128914212831573,0.1099273007847286,8,0.0,valid
Haryana,Bhiwani,2017,22,2018-01-19,2018-01-24,0.3050525285928205,0.3020037715541815,0.3198079481235792,0.105956038038623,5,0.0,valid
Haryana,Bhiwani,2017,23,2018-01-24,2018-01-29,0.30669821712630185,0.29981429440651364,0.3210252290110778,0.10180396041673578,0,,missing_bands
Haryana,Bhiwani,2017,24,2018-01-29,2018-02-03,0.3078526572373355,0.2962245485707291,0.3236520957016733,0.094476565531477,8,5.89145,valid
Haryana,Bhiwani,2017,25,2018-02-03,2018-02-08,0.3194772075661737,0.3155217107364383,0.3327913679488256,0.0961903505364289,4,0.823767594714685,valid
Haryana,Bhiwani,2017,26,2018-02-08,2018-02-13,0.3165580580615595,0.3084074423064359,0.3333438085675185,0.0881517860801865,8,1.478025,valid
Haryana,Bhiwani,2017,27,2018-02-13,2018-02-18,0.3347416992225677,0.3188683911322383,0.3508815786524385,0.0886871822479744,6,4.2238,valid
Haryana,Bhiwani,2017,28,2018-02-18,2018-02-23,0.3343858345192249,0.3254633168312146,0.3536024413920906,0.0948734793987333,7,8.385757142857143,valid
Haryana,Bhiwani,2017,29,2018-02-23,2018-02-28,0.3362349411668018,0.3171682693353173,0.3565300757379505,0.0927779517739554,7,7.215471428571428,valid
Haryana,Bhiwani,2017,30,2018-02-28,2018-03-05,0.2688830935750892,0.2517072708809916,0.285873205754057,0.1174662119959182,3,17.943633333333334,valid
Haryana,Bhiwani,2017,31,2018-03-05,2018-03-10,0.3248382562143887,0.3133720495230772,0.3460932393638568,0.0988836796537547,8,3.6081,valid
Haryana,Bhiwani,2017,32,2018-03-10,2018-03-15,0.3132798807008346,0.3075142637798322,0.3391828618047473,0.1125693450907651,8,0.0,valid
Haryana,Bhiwani,2017,33,2018-03-15,2018-03-20,0.3016943635162598,0.291280460599582,0.3271855362732327,0.1253774482061924,5,4.56406,valid
Haryana,Bhiwani,2017,34,2018-03-20,2018-03-25,0.2532684767101702,0.2511026154886446,0.2799353071747369,0.1569390469579071,4,0.0,valid
Haryana,Bhiwani,2017,35,2018-03-25,2018-03-30,0.2711649919736058,0.2686703824178602,0.295209760079419,0.1770172000548235,8,0.0,valid
Haryana,Bhiwani,2017,36,2018-03-30,2018-04-04,0.2557085420880219,0.255001899863207,0.2827741467850888,0.1982690453520476,5,0.0,valid
Haryana,Bhiwani,2017,37,2018-04-04,2018-04-09,0.2529704818845861,0.2420450007352586,0.2787290953909322,0.2172188991912032,6,6.449664339370504,valid
Haryana,Bhiwani,2017,38,2018-04-09,2018-04-14,0.2580454539209034,0.2491602600404082,0.2824942787413178,0.2405492120389167,8,5.9582125,valid
Haryana,Bhiwani,2017,39,2018-04-14,2018-04-19,0.2633695355940726,0.2522306704392759,0.285365409463825,0.2618096899457963,8,0.151025,valid
Haryana,Bhiwani,2017,40,2018-04-19,2018-04-24,0.283949928019699,0.2776720876295431,0.3071350504777931,0.2918978802049509,8,1.3078625,valid
Haryana,Bhiwani,2017,41,2018-04-24,2018-04-29,0.2890093006872169,0.2818033699466912,0.310738311496868,0.3010891776974917,8,0.107875,valid
Haryana,Bhiwani,2017,42,2018-04-29,2018-05-04,0.27877625476699613,0.27056870933850335,0.3010795904794954,0.28493224928274635,0,,missing_bands
Haryana,Bhiwani,2018,0,2018-10-01,2018-10-06,0.2649002884380558,0.2494736520461158,0.2881638082768294,0.1709327083283142,8,0.757625,valid
Haryana,Bhiwani,2018,1,2018-10-06,2018-10-11,0.2548251244068729,0.2431107326353634,0.2778970119503289,0.1813263113898192,8,0.000475,valid
Haryana,Bhiwani,2018,2,2018-10-11,2018-10-16,0.2526536502560582,0.244427187797596,0.2746726654520383,0.1924269543357306,8,0.103825,valid
Haryana,Bhiwani,2018,3,2018-10-16,2018-10-21,0.2512973017809234,0.2464023120997576,0.2750743517928822,0.2068985400492471,8,0.0,valid
Haryana,Bhiwani,2018,4,2018-10-21,2018-10-26,0.2374690768074315,0.2302655297714829,0.2585309750099667,0.2052664095455179,8,0.0,valid
Haryana,Bhiwani,2018,5,2018-10-26,2018-10-31,0.2369023130384579,0.2261380168041223,0.2546494506896192,0.2041902407582879,8,0.53175,valid
Haryana,Bhiwani,2018,6,2018-10-31,2018-11-05,0.2322987690661478,0.2218408572944065,0.2492395863430741,0.2097752691269107,8,4.687737499999999,valid
Haryana,Bhiwani,2018,7,2018-11-05,2018-11-10,0.2358768518631374,0.234540522147977,0.2531004685022093,0.2280425635547184,8,0.0,valid
Haryana,Bhiwani,2018,8,2018-11-10,2018-11-15,0.2196400505930319,0.2090738287498162,0.2351724765126555,0.1984274008774788,8,2.738025,valid
Haryana,Bhiwani,2018,9,2018-11-15,2018-11-20,0.2232339475286613,0.2140601563019017,0.2376113360696196,0.2083362410972752,6,3.272333333333333,valid
Haryana,Bhiwani,2018,10,2018-11-20,2018-11-25,0.2284753175117465,0.2206344551599667,0.2415773356163731,0.2139704737710369,11,0.0,valid
Haryana,Bhiwani,2018,11,2018-11-25,2018-11-30,0.2350682437553239,0.2286017814105072,0.2493284812052668,0.2103790634930596,8,1.1789875,valid
Haryana,Bhiwani,2018,12,2018-11-30,2018-12-05,0.2441116950038108,0.2361277274796085,0.2565233571106068,0.19991174349864,5,2.57722,valid
Haryana,Bhiwani,2018,13,2018-12-05,2018-12-10,0.2456261250774208,0.2356251454434756,0.2591640024586385,0.1803164838483661,8,1.6981875,valid
Haryana,Bhiwani,2018,14,2018-12-10,2018-12-15,0.2592642020370952,0.2477179394646382,0.2700273518444117,0.1568577030058717,6,8.905016666666667,valid
Haryana,Bhiwani,2018,15,2018-12-15,2018-12-20,0.2698633334698456,0.2657698965152356,0.28348106879644,0.1588146879678469,8,0.0,valid
Haryana,Bhiwani,2018,16,2018-12-20,2018-12-25,0.2838574559201817,0.2751637392244744,0.2942199141340136,0.148493852798774,8,0.299875,valid
Haryana,Bhiwani,2018,17,2018-12-25,2018-12-30,0.2785265700763925,0.2751162746363121,0.2919993175894557,0.1385621636967875,8,3.5135125,valid
Haryana,Bhiwani,2018,18,2018-12-30,2019-01-04,0.2963492883726937,0.2871462311643564,0.3080496460933691,0.1347996154484552,4,0.0079,valid
Haryana,Bhiwani,2018,19,2019-01-04,2019-01-09,0.2867865376584204,0.2711277913030613,0.2996240474723212,0.1137025554414766,8,8.230075,valid
Haryana,Bhiwani,2018,20,2019-01-09,2019-01-14,0.3103482306789903,0.2908830846688881,0.3216476974016835,0.1084570384641368,4,0.0803,valid
Haryana,Bhiwani,2018,21,2019-01-14,2019-01-19,0.31316499333782466,0.29870030347726245,0.32651328039281763,0.10570618851795573,0,,missing_bands
Haryana,Bhiwani,2018,22,2019-01-19,2019-01-24,0.3270064122294955,0.3101153115035638,0.3417930593671345,0.0924477818283239,3,12.6171,valid
Haryana,Bhiwani,2018,23,2019-01-24,2019-01-29,0.323092536883467,0.3125422378354354,0.336977279539375,0.0842915957418783,8,2.9514375,valid
Haryana,Bhiwani,2018,24,2019-01-29,2019-02-03,0.3354069542038811,0.32038716438827,0.3509879524830221,0.1005385441834635,1,23.1915,valid
Haryana,Bhiwani,2018,25,2019-02-03,2019-02-08,0.3338273254715801,0.3263202318738112,0.3504663604838088,0.0849820732579754,3,4.3238666666666665,valid
