state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Barnala,2017,0,2017-10-01,2017-10-06,0.3090677103123747,0.3005798472486063,0.3435739352677671,0.0723151907774077,1,0.0,valid
Punjab,Barnala,2017,1,2017-10-06,2017-10-11,0.2864977852913434,0.2726050472958813,0.3178467960595607,0.0780190920960723,1,0.0,valid
Punjab,Barnala,2017,2,2017-10-11,2017-10-16,0.2668600209814293,0.262943842543634,0.2987168044590138,0.0876236387144582,1,0.0,valid
Punjab,Barnala,2017,3,2017-10-16,2017-10-21,0.2523762633797527,0.2465942538254228,0.2802414722949733,0.1022177850025905,1,0.0044,valid
Punjab,Barnala,2017,4,2017-10-21,2017-10-26,0.2362567867257214,0.2359063227727211,0.2684269523897674,0.1417116372664747,1,0.0,valid
Punjab,Barnala,2017,5,2017-10-26,2017-10-31,0.2572581125038412,0.2477121009411496,0.2800530363484564,0.167838961017475,1,0.0,valid
Punjab,Barnala,2017,6,2017-10-31,2017-11-05,0.234188506603683,0.2224923941944833,0.2502765517060894,0.1718603368698026,1,0.0,valid
Punjab,Barnala,2017,7,2017-11-05,2017-11-10,0.2120532824851825,0.20556317915009056,0.22983827564884945,0.1674958981895519,0,,missing_bands
Punjab,Barnala,2017,8,2017-11-10,2017-11-15,0.19994120320138492,0.19181032706788262,0.21269500215513695,0.1736970513495573,0,,missing_bands
Punjab,Barnala,2017,9,2017-11-15,2017-11-20,0.1705957347802078,0.164891436055706,0.1795299543138939,0.1741153097064775,1,0.0,valid
Punjab,Barnala,2017,10,2017-11-20,2017-11-25,0.1619672718124589,0.1568136417863928,0.1709048834860402,0.1819532460875297,1,0.0,valid
Punjab,Barnala,2017,11,2017-11-25,2017-11-30,0.1756963903067336,0.1671420623616814,0.1827105849212049,0.1727174030665016,1,0.0,valid
Punjab,Barnala,2017,12,2017-11-30,2017-12-05,0.18027045898542807,0.17319485014117042,0.18841053118833023,0.15925413183892126,0,,missing_bands
Punjab,Barnala,2017,13,2017-12-05,2017-12-10,0.1812445887836325,0.1742324601899295,0.188452444376148,0.1426936746466906,2,0.0,valid
Punjab,Barnala,2017,14,2017-12-10,2017-12-15,0.21393685968910875,0.2033680445164281,0.22165003130942193,0.12772411243303192,0,,missing_bands
Punjab,Barnala,2017,15,2017-12-15,2017-12-20,0.2118483092441076,0.2028946503121425,0.2204547888443642,0.1247910256874069,1,0.6957,valid
