state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Jhajjar,2018,0,2018-10-01,2018-10-06,0.25868616702623276,0.24305915261630978,0.28028834970700883,0.13593163641985181,2,0.0,valid
Haryana,Jhajjar,2018,1,2018-10-06,2018-10-11,0.24465491527540836,0.2337773382978038,0.26602307166557193,0.14547079856913686,2,0.0,valid
Haryana,Jhajjar,2018,2,2018-10-11,2018-10-16,0.24665227490243266,0.23740238225983434,0.26774023667919644,0.15551580998035786,2,0.0,valid
Haryana,Jhajjar,2018,3,2018-10-16,2018-10-21,0.24363462479192202,0.23767123194502257,0.2659556003008754,0.1674308919217676,2,0.0,valid
Haryana,Jhajjar,2018,4,2018-10-21,2018-10-26,0.22870772962983127,0.22252423740967392,0.24895030986984334,0.1697979444291962,2,0.0,valid
Haryana,Jhajjar,2018,5,2018-10-26,2018-10-31,0.22114208987030096,0.21124224865390334,0.23922609875418735,0.16982324866253667,2,0.0,valid
Haryana,Jhajjar,2018,6,2018-10-31,2018-11-05,0.2174316329284185,0.20647315531771332,0.23314326840313615,0.1719884188568314,2,10.31055,valid
Haryana,Jhajjar,2018,7,2018-11-05,2018-11-10,0.21451100420145486,0.21607619071539164,0.23322718107626736,0.19432495378595527,2,0.0,valid
Haryana,Jhajjar,2018,8,2018-11-10,2018-11-15,0.21017374570911937,0.2017621538625665,0.2272159843730241,0.18525984140621607,2,7.12975,valid
Haryana,Jhajjar,2018,9,2018-11-15,2018-11-20,0.2068575712181283,0.20141188356220865,0.22266567148642924,0.1798672329523087,1,0.0,valid
Haryana,Jhajjar,2018,10,2018-11-20,2018-11-25,0.21496104881990172,0.20781370462090565,0.22783706266989281,0.18209508098704685,2,0.0,valid
Haryana,Jhajjar,2018,11,2018-11-25,2018-11-30,0.21667963187452682,0.21089889797780112,0.23070947035568146,0.17912716079587848,2,0.0,valid
Haryana,Jhajjar,2018,12,2018-11-30,2018-12-05,0.2185609191750444,0.21141108780435247,0.23073217491446243,0.16728382323120128,2,0.0,valid
Haryana,Jhajjar,2018,13,2018-12-05,2018-12-10,0.22058517027727775,0.21149932217463885,0.2324121863103627,0.1512356289988892,2,0.4925,valid
Haryana,Jhajjar,2018,14,2018-12-10,2018-12-15,0.21111035243316542,0.1936096515020922,0.21584198717279177,0.14669075196739426,1,25.072,valid
Haryana,Jhajjar,2018,15,2018-12-15,2018-12-20,0.23905942941649078,0.23438415868023546,0.25123600857020295,0.13123508748180573,2,0.0,valid
Haryana,Jhajjar,2018,16,2018-12-20,2018-12-25,0.2530130027447239,0.2457823154274895,0.2623316088521861,0.12212712148451826,2,0.0,valid
Haryana,Jhajjar,2018,17,2018-12-25,2018-12-30,0.24353665638754496,0.23916026804023363,0.25449224191762004,0.10904268092165188,2,8.80035,valid
Haryana,Jhajjar,2018,18,2018-12-30,2019-01-04,0.2603180298780292,0.25165216478534197,0.27039331892267976,0.1037033001603727,2,0.0098,valid
Haryana,Jhajjar,2018,19,2019-01-04,2019-01-09,0.25802316621409993,0.24233569923142811,0.2688866911084888,0.09325458685481346,2,5.15605,valid
Haryana,Jhajjar,2018,20,2019-01-09,2019-01-14,,,,,0,,missing_bands
Haryana,Jhajjar,2018,21,2019-01-14,2019-01-19,,,,,0,,missing_bands
Haryana,Jhajjar,2018,22,2019-01-19,2019-01-24,0.28653782820337276,0.27127988836892997,0.30027566454493404,0.08026551173346112,1,14.7394,valid
Haryana,Jhajjar,2018,23,2019-01-24,2019-01-29,0.3032515526205153,0.2863807733269844,0.314841783779318,0.07349752016649842,2,6.920249999999999,valid
Haryana,Jhajjar,2018,24,2019-01-29,2019-02-03,,,,,0,,missing_bands
Haryana,Jhajjar,2018,25,2019-02-03,2019-02-08,0.34087531158273304,0.33168100405143564,0.35499874421461447,0.08523658209833608,1,12.9716,valid
Haryana,Jhajjar,2018,26,2019-02-08,2019-02-13,0.3157675762068476,0.3067721277467924,0.32894347375682487,0.06971816319347318,2,0.0,valid
Haryana,Jhajjar,2018,27,2019-02-13,2019-02-18,,,,,0,,missing_bands
Haryana,Jhajjar,2018,28,2019-02-18,2019-02-23,0.34294174159248253,0.3236964527958399,0.35896119310247193,0.08444285306062617,1,11.6401,valid
Haryana,Jhajjar,2018,29,2019-02-23,2019-02-28,0.323592173711976,0.31473779756713716,0.34126025072265365,0.07275368673765704,2,3.4591,valid
Haryana,Jhajjar,2018,30,2019-02-28,2019-03-05,0.32538766762059035,0.31469914093439233,0.3425377705510544,0.07609710145162936,2,0.0,valid
Haryana,Jhajjar,2018,31,2019-03-05,2019-03-10,0.3086422944243942,0.3018799382273698,0.32712404243111176,0.07546045542045696,2,0.0,valid
Haryana,Jhajjar,2018,32,2019-03-10,2019-03-15,0.31460371080402255,0.2963327049667471,0.33411350338486895,0.10436838565140703,1,12.674,valid
Haryana,Jhajjar,2018,33,2019-03-15,2019-03-20,0.2908892712006066,0.2863622448749868,0.31021952848522927,0.09119341091172571,1,25.6048,valid
Haryana,Jhajjar,2018,34,2019-03-20,2019-03-25,0.2701682493396785,0.25638089860982227,0.2903018315862919,0.10127345682113024,2,11.0019,valid
Haryana,Jhajjar,2018,35,2019-03-25,2019-03-30,0.262164843415732,0.25711936132615937,0.2837435288613488,0.1173123755078458,2,0.0,valid
Haryana,Jhajjar,2018,36,2019-03-30,2019-04-04,0.24356600835116837,0.24121678580168782,0.26312859351716206,0.13883279340832153,2,18.7672,valid
Haryana,Jhajjar,2018,37,2019-04-04,2019-04-09,0.22434547412736194,0.21574145909659959,0.24675808561157242,0.14664339420561304,2,0.00495,valid
Haryana,Jhajjar,2018,38,2019-04-09,2019-04-14,0.21694956582115524,0.20829425453008082,0.23842657128180977,0.16881474038619523,2,0.4206,valid
Haryana,Jhajjar,2018,39,2019-04-14,2019-04-19,0.20063321627112288,0.19529143585025413,0.22270173557436926,0.14624490317922426,1,1.6499,valid
