state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Karnal,2022,0,2022-10-01,2022-10-06,0.30366851414992524,0.2836375546181,0.3328364594838192,0.10777466291275743,4,9.335378781092285,valid
Haryana,Karnal,2022,1,2022-10-06,2022-10-11,0.2724563219042786,0.25919706761496925,0.3038024360695274,0.12559966201397,4,7.639142703574295,valid
Haryana,Karnal,2022,2,2022-10-11,2022-10-16,,,,,0,,missing_bands
Haryana,Karnal,2022,3,2022-10-16,2022-10-21,0.22724743845720757,0.2220750560730674,0.253102050594122,0.15243089499463966,4,0.1671519006240855,valid
Haryana,Karnal,2022,4,2022-10-21,2022-10-26,0.21008313644788332,0.20110206521818821,0.23134416293184554,0.15093427085057926,4,0.28328704947893346,valid
Haryana,Karnal,2022,5,2022-10-26,2022-10-31,0.19589629785248586,0.1902123699596601,0.21252168686689218,0.15010247196905535,4,0.0,valid
Haryana,Karnal,2022,6,2022-10-31,2022-11-05,0.20190403471932106,0.19074803797271153,0.2129321905947576,0.15525342874656,4,0.0,valid
Haryana,Karnal,2022,7,2022-11-05,2022-11-10,0.21685626618869622,0.198619130994479,0.22404880300661661,0.15921754471551344,4,1.094351876735644,valid
Haryana,Karnal,2022,8,2022-11-10,2022-11-15,0.2125798408105628,0.19359186459160746,0.2202535008949265,0.1591106924273608,4,5.916226223536085,valid
Haryana,Karnal,2022,9,2022-11-15,2022-11-20,0.251782955771083,0.23907803371796685,0.26185889729146544,0.19861650102075326,3,18.9367951665721,valid
Haryana,Karnal,2022,10,2022-11-20,2022-11-25,0.1890793276389808,0.180486644101254,0.20015982067741347,0.16291862715595432,4,11.978933381110233,valid
Haryana,Karnal,2022,11,2022-11-25,2022-11-30,0.19055419702042495,0.1835516995555074,0.20055590484882171,0.14750709705150997,4,0.3708979067753593,valid
Haryana,Karnal,2022,12,2022-11-30,2022-12-05,0.20044333670622527,0.19091283464955197,0.20952198951579484,0.1322330857352257,4,0.0,valid
Haryana,Karnal,2022,13,2022-12-05,2022-12-10,0.20832804302973504,0.20078928141479138,0.21829206838965665,0.1174146716335974,4,0.020372361073785424,valid
Haryana,Karnal,2022,14,2022-12-10,2022-12-15,0.25107950369835985,0.2371796482676029,0.25955464121631533,0.1134927191349686,1,16.1535429544029,valid
Haryana,Karnal,2022,15,2022-12-15,2022-12-20,0.23806103639650647,0.23100140616983728,0.24869026517046372,0.09412915531079312,4,0.0,valid
Haryana,Karnal,2022,16,2022-12-20,2022-12-25,,,,,0,,missing_bands
Haryana,Karnal,2022,17,2022-12-25,2022-12-30,,,,,0,,missing_bands
Haryana,Karnal,2022,18,2022-12-30,2023-01-04,,,,,0,,missing_bands
Haryana,Karnal,2022,19,2023-01-04,2023-01-09,,,,,0,,missing_bands
Haryana,Karnal,2022,20,2023-01-09,2023-01-14,,,,,0,,missing_bands
Haryana,Karnal,2022,21,2023-01-14,2023-01-19,,,,,0,,missing_bands
Haryana,Karnal,2022,22,2023-01-19,2023-01-24,,,,,0,,missing_bands
Haryana,Karnal,2022,23,2023-01-24,2023-01-29,0.2999255550187896,0.2765137475165726,0.3137665341219267,0.07110980529484653,1,17.4216608438592,valid
Haryana,Karnal,2022,24,2023-01-29,2023-02-03,,,,,0,,missing_bands
Haryana,Karnal,2022,25,2023-02-03,2023-02-08,0.356989594749498,0.34409035828427736,0.3740851786845613,0.06610486206824286,3,6.609921665820626,valid
Haryana,Karnal,2022,26,2023-02-08,2023-02-13,0.37365206318197375,0.3583651820320444,0.38995418406684496,0.06854148305507977,3,11.356704191426038,valid
Haryana,Karnal,2022,27,2023-02-13,2023-02-18,0.3700931634154787,0.362393538728315,0.38905011115670457,0.07046178907538359,4,2.617920816631465,valid
Haryana,Karnal,2022,28,2023-02-18,2023-02-23,0.356271456223748,0.3391062673273723,0.37303820333550775,0.1056198822188657,2,5.821344322016185,valid
Haryana,Karnal,2022,29,2023-02-23,2023-02-28,0.34890185435935317,0.3449988852811543,0.3685830723428163,0.06505649684224717,4,0.0492176535578847,valid
Haryana,Karnal,2022,30,2023-02-28,2023-03-05,,,,,0,,missing_bands
Haryana,Karnal,2022,31,2023-03-05,2023-03-10,0.31681728158495487,0.30464399063746767,0.33944523119375547,0.06604775119477713,4,0.0,valid
Haryana,Karnal,2022,32,2023-03-10,2023-03-15,0.29486055115228554,0.2818148651004715,0.3165352208421786,0.069928974507012,4,0.0157589059094031,valid
Haryana,Karnal,2022,33,2023-03-15,2023-03-20,0.2714533241004933,0.26231177652796395,0.2942117250848715,0.07443693542468643,3,6.607473100620093,valid
Haryana,Karnal,2022,34,2023-03-20,2023-03-25,,,,,0,,missing_bands
Haryana,Karnal,2022,35,2023-03-25,2023-03-30,0.3797898867285412,0.3622998079218287,0.4033203314567946,0.16714651715148232,3,17.391979455940767,valid
Haryana,Karnal,2022,36,2023-03-30,2023-04-04,0.261092448026943,0.25001857836219615,0.2863688754690693,0.12684051504676813,3,12.3802143987578,valid
Haryana,Karnal,2022,37,2023-04-04,2023-04-09,0.23969674117866915,0.23246182482247046,0.2643839001536631,0.13623628859487283,3,1.68313973742622,valid
Haryana,Karnal,2022,38,2023-04-09,2023-04-14,0.24162755819523785,0.24148943874263168,0.26568317967095884,0.1831428286630736,4,0.012287616829406675,valid
Haryana,Karnal,2022,39,2023-04-14,2023-04-19,0.2524495618128454,0.24964990922842326,0.28097249057010143,0.21109976561530086,4,0.11122308817820788,valid
Haryana,Karnal,2022,40,2023-04-19,2023-04-24,,,,,0,,missing_bands
Haryana,Karnal,2022,41,2023-04-24,2023-04-29,,,,,0,,missing_bands
Haryana,Karnal,2022,42,2023-04-29,2023-05-04,,,,,0,,missing_bands
