state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Palwal,2020,0,2020-10-01,2020-10-06,0.2776164265512267,0.2655740936292907,0.30502255459963795,0.13240063414866182,4,0.0,valid
Haryana,Palwal,2020,1,2020-10-06,2020-10-11,0.26096094101482903,0.25800886553645586,0.2892231916387711,0.1478113542748871,4,0.0,valid
Haryana,Palwal,2020,2,2020-10-11,2020-10-16,0.25104584085752163,0.24199042690204872,0.276702797678744,0.15480159612229216,2,13.97045,valid
Haryana,Palwal,2020,3,2020-10-16,2020-10-21,0.23532532809777426,0.22884707225947346,0.2600103776294562,0.16898740442583227,4,0.0,valid
Haryana,Palwal,2020,4,2020-10-21,2020-10-26,0.2314734141237547,0.22739015498733836,0.25335277229564646,0.1851315544679864,4,0.013575,valid
Haryana,Palwal,2020,5,2020-10-26,2020-10-31,0.21723696126907033,0.21123178643512103,0.23754484190903652,0.18767314874959984,4,0.2905,valid
Haryana,Palwal,2020,6,2020-10-31,2020-11-05,0.21126859500971804,0.20646116092752861,0.22577649206702577,0.18751029719161744,4,0.014325000000000001,valid
Haryana,Palwal,2020,7,2020-11-05,2020-11-10,0.22724478513579863,0.217991035771674,0.23520620896340014,0.18770650938220684,4,4.843425,valid
Haryana,Palwal,2020,8,2020-11-10,2020-11-15,0.193142508901436,0.18248418369443675,0.20177414777246147,0.17070521808066902,4,0.007775,valid
Haryana,Palwal,2020,9,2020-11-15,2020-11-20,0.20116348907120546,0.1840324318907551,0.20816819243363752,0.16392909704359057,4,7.7611,valid
Haryana,Palwal,2020,10,2020-11-20,2020-11-25,0.19755915908594326,0.19116223597442492,0.20825477851870824,0.1795636283878588,4,0.0,valid
Haryana,Palwal,2020,11,2020-11-25,2020-11-30,,,,,0,,missing_bands
Haryana,Palwal,2020,12,2020-11-30,2020-12-05,0.20756457021476196,0.19693738154351803,0.2174682527647276,0.15952591388992868,4,0.0,valid
Haryana,Palwal,2020,13,2020-12-05,2020-12-10,0.21572302403221777,0.20251449476660918,0.22539140171419147,0.1394915710146205,4,0.0,valid
Haryana,Palwal,2020,14,2020-12-10,2020-12-15,0.2251232214221517,0.2078850809942588,0.23473441376779822,0.11961977982783877,4,0.0,valid
Haryana,Palwal,2020,15,2020-12-15,2020-12-20,0.26439364633069,0.2495447640174583,0.27227420381503703,0.11292573729438864,2,8.66095,valid
Haryana,Palwal,2020,16,2020-12-20,2020-12-25,0.2489408523573815,0.23912983964755535,0.2583056115495439,0.10409674876347233,3,9.703166666666666,valid
Haryana,Palwal,2020,17,2020-12-25,2020-12-30,0.25317943072995985,0.24616963784291598,0.2640890845019913,0.09322502363066139,4,0.4899,valid
Haryana,Palwal,2020,18,2020-12-30,2021-01-04,0.28402449613129216,0.27397508381641816,0.29182312804541943,0.0782063451676079,2,1.4526,valid
Haryana,Palwal,2020,19,2021-01-04,2021-01-09,0.29989867578716833,0.2735277580600515,0.31241463996392416,0.07915058557659134,3,17.777066666666666,valid
Haryana,Palwal,2020,20,2021-01-09,2021-01-14,0.3336607819649723,0.3024981192795651,0.3463093648199788,0.07702136838365241,1,23.1215,valid
Haryana,Palwal,2020,21,2021-01-14,2021-01-19,0.2613779641239206,0.2552586366376251,0.2710348165482346,0.1791791244821195,2,14.39595,valid
Haryana,Palwal,2020,22,2021-01-19,2021-01-24,0.3030633843495442,0.28285974211184245,0.3145905027782462,0.07321933902917138,2,9.62285,valid
Haryana,Palwal,2020,23,2021-01-24,2021-01-29,,,,,1,22.9964,missing_bands
Haryana,Palwal,2020,24,2021-01-29,2021-02-03,0.30528109477790966,0.2951859762320408,0.31680573816304286,0.06948448893203887,4,5.2932500000000005,valid
