state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Panipat,2019,0,2019-10-01,2019-10-06,0.31909677160008804,0.2915510356224984,0.34256525340763133,0.08776414937496566,2,14.869150000000001,valid
Haryana,Panipat,2019,1,2019-10-06,2019-10-11,,,,,0,,missing_bands
Haryana,Panipat,2019,2,2019-10-11,2019-10-16,0.2818468683105347,0.26791572003064645,0.30733641242014315,0.08685910640670527,2,0.14315,valid
Haryana,Panipat,2019,3,2019-10-16,2019-10-21,0.26807092054870746,0.2506635978668893,0.29264312851082525,0.09461619636140238,2,0.0,valid
Haryana,Panipat,2019,4,2019-10-21,2019-10-26,0.2730787490803337,0.2701481088017083,0.3011008582599794,0.11420552261036353,2,3.02015,valid
Haryana,Panipat,2019,5,2019-10-26,2019-10-31,0.24538242872529822,0.2382910149359525,0.27083249229313133,0.125078731134858,2,0.0,valid
Haryana,Panipat,2019,6,2019-10-31,2019-11-05,0.2336834136129059,0.22149984671196005,0.24958187999592843,0.14254486463337995,1,16.9412,valid
Haryana,Panipat,2019,7,2019-11-05,2019-11-10,0.2424095609572139,0.22845828110663932,0.25981766155081987,0.15411505612363105,2,1.23025,valid
Haryana,Panipat,2019,8,2019-11-10,2019-11-15,,,,,0,,missing_bands
Haryana,Panipat,2019,9,2019-11-15,2019-11-20,0.19682336296651998,0.1866854336835691,0.21537889356351053,0.17085855573553935,2,2.1005,valid
Haryana,Panipat,2019,10,2019-11-20,2019-11-25,0.2060549340862871,0.19630336158380104,0.21831640963592774,0.17831415056406963,1,29.6828,valid
Haryana,Panipat,2019,11,2019-11-25,2019-11-30,,,,,0,,missing_bands
Haryana,Panipat,2019,12,2019-11-30,2019-12-05,0.19358054069952518,0.18526844219784536,0.2036052205692771,0.12725342772430157,2,0.0232,valid
Haryana,Panipat,2019,13,2019-12-05,2019-12-10,,,,,0,,missing_bands
Haryana,Panipat,2019,14,2019-12-10,2019-12-15,0.22614282892793583,0.21231230079362232,0.234712933947907,0.13550027166812997,2,20.2,valid
Haryana,Panipat,2019,15,2019-12-15,2019-12-20,,,,,0,,missing_bands
Haryana,Panipat,2019,16,2019-12-20,2019-12-25,,,,,0,,missing_bands
Haryana,Panipat,2019,17,2019-12-25,2019-12-30,,,,,0,,missing_bands
Haryana,Panipat,2019,18,2019-12-30,2020-01-04,0.25748869293987325,0.2505731329773055,0.2653732493717557,0.0885634279812873,1,0.8599,valid
Haryana,Panipat,2019,19,2020-01-04,2020-01-09,0.25578243889030916,0.24069326910735775,0.26546263537774517,0.08858136518081838,2,1.5661,valid
Haryana,Panipat,2019,20,2020-01-09,2020-01-14,0.2653210897852679,0.2583324001223084,0.27470297756722434,0.0739901854523062,2,1.67435,valid
Haryana,Panipat,2019,21,2020-01-14,2020-01-19,,,,,0,,missing_bands
Haryana,Panipat,2019,22,2020-01-19,2020-01-24,,,,,0,,missing_bands
Haryana,Panipat,2019,23,2020-01-24,2020-01-29,,,,,0,,missing_bands
Haryana,Panipat,2019,24,2020-01-29,2020-02-03,0.3123952262668426,0.30121573432699533,0.3259690523536294,0.06000421833568103,2,0.0,valid
Haryana,Panipat,2019,25,2020-02-03,2020-02-08,,,,,0,,missing_bands
Haryana,Panipat,2019,26,2020-02-08,2020-02-13,0.3303875323290168,0.3229488613520641,0.34545675832360756,0.06406698724022655,1,0.1314,valid
Haryana,Panipat,2019,27,2020-02-13,2020-02-18,0.35066290743141276,0.3406322904903038,0.36492410985790313,0.07116260123096942,2,0.0,valid
Haryana,Panipat,2019,28,2020-02-18,2020-02-23,,,,,0,,missing_bands
Haryana,Panipat,2019,29,2020-02-23,2020-02-28,0.36542718690969095,0.3443741530273515,0.3848036901234892,0.06751761306517726,2,3.32045,valid
Haryana,Panipat,2019,30,2020-02-28,2020-03-04,,,,,0,,missing_bands
Haryana,Panipat,2019,31,2020-03-04,2020-03-09,0.36585667952160733,0.341798325008293,0.38527602533517413,0.08715781381803968,1,11.5258,valid
Haryana,Panipat,2019,32,2020-03-09,2020-03-14,0.35680689214953365,0.3535068144942483,0.37804407677493507,0.06638785671122963,2,0.0,valid
Haryana,Panipat,2019,33,2020-03-14,2020-03-19,0.3347501964973105,0.3189449754772772,0.3552503000836458,0.06032801534138633,2,4.60765,valid
Haryana,Panipat,2019,34,2020-03-19,2020-03-24,0.31219461289735634,0.2991014119613633,0.3358244016644247,0.07033177972198827,2,20.9443,valid
Haryana,Panipat,2019,35,2020-03-24,2020-03-29,0.2717670153348979,0.2624583200933197,0.29496929856656284,0.07392434905152566,1,3.695,valid
Haryana,Panipat,2019,36,2020-03-29,2020-04-03,0.24607967844716164,0.24461852173213733,0.27000900085985957,0.08075552219061564,1,17.8165,valid
Haryana,Panipat,2019,37,2020-04-03,2020-04-08,0.24795289160814357,0.24596032713566257,0.272796490433779,0.10546050999499229,2,0.0,valid
Haryana,Panipat,2019,38,2020-04-08,2020-04-13,,,,,0,,missing_bands
Haryana,Panipat,2019,39,2020-04-13,2020-04-18,0.23014127747774635,0.22254610604670316,0.2581643824362949,0.15791972368676302,2,12.8173,valid
Haryana,Panipat,2019,40,2020-04-18,2020-04-23,,,,,0,,missing_bands
Haryana,Panipat,2019,41,2020-04-23,2020-04-28,0.23648208237830415,0.22993140332400722,0.26403835807025827,0.2103548106119937,2,0.0,valid
Haryana,Panipat,2019,42,2020-04-28,2020-05-03,0.25411277178662445,0.24166030741650904,0.28332642788175005,0.2236277620341996,2,0.40465,valid
