state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Haryana,Sonipat,2023,0,2023-10-01,2023-10-06,0.29744588445197007,0.28703087477157224,0.3219134178120326,0.12984283869594723,4,3.5226716235181725,valid
Haryana,Sonipat,2023,1,2023-10-06,2023-10-11,0.2693270011858712,0.2596107362387395,0.2930861719923205,0.12296685658542643,4,0.0,valid
Haryana,Sonipat,2023,2,2023-10-11,2023-10-16,0.2549514990307495,0.2500280894351176,0.2788284767321747,0.12818887132208667,4,0.0,valid
Haryana,Sonipat,2023,3,2023-10-16,2023-10-21,,,,,0,,missing_bands
Haryana,Sonipat,2023,4,2023-10-21,2023-10-26,0.23849195224390612,0.2312776678822551,0.2602795335800396,0.13645523704827622,4,0.0052181313267043,valid
Haryana,Sonipat,2023,5,2023-10-26,2023-10-31,0.2235696686474583,0.21657280651488794,0.24354590970324996,0.14593348948873444,4,0.0,valid
Haryana,Sonipat,2023,6,2023-10-31,2023-11-05,0.22065646577129916,0.2056104301476437,0.23321823349756896,0.14484198355159456,4,6.346001672190868,valid
Haryana,Sonipat,2023,7,2023-11-05,2023-11-10,0.24784329255480136,0.23083599981371428,0.25508201780977346,0.1563330311776042,4,0.0,valid
Haryana,Sonipat,2023,8,2023-11-10,2023-11-15,,,,,0,,missing_bands
Haryana,Sonipat,2023,9,2023-11-15,2023-11-20,0.2130624341471997,0.20281352480735246,0.2239641327949232,0.16251491755073813,4,0.0,valid
Haryana,Sonipat,2023,10,2023-11-20,2023-11-25,0.21764249823104787,0.205011997635559,0.2266678935935706,0.15974554502239594,4,0.0,valid
Haryana,Sonipat,2023,11,2023-11-25,2023-11-30,0.21952332539891878,0.2080301422152127,0.22959049658009817,0.1374525373949208,2,5.3835737107707,valid
Haryana,Sonipat,2023,12,2023-11-30,2023-12-05,0.3352162768950207,0.3042924031246804,0.33931864614877283,0.18463726887599152,4,14.634656155752623,valid
Haryana,Sonipat,2023,13,2023-12-05,2023-12-10,0.21846583742093253,0.20515524459832363,0.22856680734276105,0.1306206413716161,4,0.0,valid
Haryana,Sonipat,2023,14,2023-12-10,2023-12-15,0.22255080321247994,0.21633131089254581,0.23345167836526057,0.1276525088362972,4,1.2254546268924127,valid
Haryana,Sonipat,2023,15,2023-12-15,2023-12-20,0.2695110185689591,0.26055186070451486,0.27836824971284235,0.13947650052648694,2,19.625578548180002,valid
Haryana,Sonipat,2023,16,2023-12-20,2023-12-25,0.24010013174400155,0.2324564736986388,0.25053878064253426,0.10828784383320982,2,24.4889814565977,valid
Haryana,Sonipat,2023,17,2023-12-25,2023-12-30,0.29781165862897363,0.2803753822066841,0.3076122598607313,0.12439350764546235,3,11.835000547443443,valid
Haryana,Sonipat,2023,18,2023-12-30,2024-01-04,,,,,0,,missing_bands
Haryana,Sonipat,2023,19,2024-01-04,2024-01-09,,,,,0,,missing_bands
Haryana,Sonipat,2023,20,2024-01-09,2024-01-14,,,,,0,,missing_bands
Haryana,Sonipat,2023,21,2024-01-14,2024-01-19,,,,,0,,missing_bands
Haryana,Sonipat,2023,22,2024-01-19,2024-01-24,,,,,0,,missing_bands
Haryana,Sonipat,2023,23,2024-01-24,2024-01-29,,,,,0,,missing_bands
Haryana,Sonipat,2023,24,2024-01-29,2024-02-03,0.2552646290251719,0.23624569719267308,0.26517347042294,0.09251581819649314,2,10.934067902893474,valid
Haryana,Sonipat,2023,25,2024-02-03,2024-02-08,,,,,0,,missing_bands
Haryana,Sonipat,2023,26,2024-02-08,2024-02-13,0.2981284338978066,0.2951612298961311,0.31310937133232014,0.08281136444535446,2,3.3279584341126935,valid
Haryana,Sonipat,2023,27,2024-02-13,2024-02-18,,,,,0,,missing_bands
Haryana,Sonipat,2023,28,2024-02-18,2024-02-23,,,,,0,,missing_bands
Haryana,Sonipat,2023,29,2024-02-23,2024-02-28,0.31974516139059433,0.31061218530079737,0.33501877577903705,0.08553013096267813,4,0.0,valid
Haryana,Sonipat,2023,30,2024-02-28,2024-03-04,0.31953185133960427,0.30918505747734015,0.3385489558900644,0.08259076332820721,4,0.0,valid
Haryana,Sonipat,2023,31,2024-03-04,2024-03-09,0.3208159807062586,0.317001757171212,0.33785651228473934,0.09220647896680556,2,7.68022335692318,valid
Haryana,Sonipat,2023,32,2024-03-09,2024-03-14,0.32195252930853624,0.3179980028389085,0.34386983618782924,0.08975991451635223,4,0.3558108632685357,valid
Haryana,Sonipat,2023,33,2024-03-14,2024-03-19,0.30568779356634335,0.2915935095707215,0.32648952878875437,0.09537627782001892,4,0.15330406999313206,valid
Haryana,Sonipat,2023,34,2024-03-19,2024-03-24,0.29105133373025427,0.2833457172312815,0.31389800695312553,0.09499358462178191,4,5.4855922840335545,valid
Haryana,Sonipat,2023,35,2024-03-24,2024-03-29,,,,,0,,missing_bands
Haryana,Sonipat,2023,36,2024-03-29,2024-04-03,0.24297744812729272,0.22989520818469297,0.2640760149870683,0.12779765240577387,1,20.9015796231598,valid
Haryana,Sonipat,2023,37,2024-04-03,2024-04-08,,,,,0,,missing_bands
Haryana,Sonipat,2023,38,2024-04-08,2024-04-13,0.21964715221616168,0.21928082365695056,0.24509383653674732,0.14934794291201814,4,0.0,valid
Haryana,Sonipat,2023,39,2024-04-13,2024-04-18,,,,,0,,missing_bands
Haryana,Sonipat,2023,40,2024-04-18,2024-04-23,0.252273383802424,0.24211474949654938,0.2795617765869453,0.1998990717217432,4,10.553450386694141,valid
Haryana,Sonipat,2023,41,2024-04-23,2024-04-28,0.2560117303531453,0.24505086901318646,0.28110099710977193,0.20738291379202725,2,8.223147899310236,valid
Haryana,Sonipat,2023,42,2024-04-28,2024-05-03,,,,,0,,missing_bands
