state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Barnala,2022,0,2022-10-01,2022-10-06,0.3362818691124375,0.32038199854969046,0.3709681299299757,0.0702081919371239,1,0.0,valid
Punjab,Barnala,2022,1,2022-10-06,2022-10-11,,,,,0,,missing_bands
Punjab,Barnala,2022,2,2022-10-11,2022-10-16,0.2997529939558224,0.28775970571610215,0.3331530298640314,0.07795126316378143,1,0.0,valid
Punjab,Barnala,2022,3,2022-10-16,2022-10-21,0.27351398075026706,0.26667031980390954,0.30708106467803004,0.09134309364270496,1,0.0,valid
Punjab,Barnala,2022,4,2022-10-21,2022-10-26,0.25196863848428835,0.25253083390151954,0.28584252031147306,0.11051132837513505,1,0.0,valid
Punjab,Barnala,2022,5,2022-10-26,2022-10-31,0.2367464390348228,0.2362063632407766,0.2694285578771244,0.14303431867618793,1,0.0,valid
Punjab,Barnala,2022,6,2022-10-31,2022-11-05,,,,,0,,missing_bands
Punjab,Barnala,2022,7,2022-11-05,2022-11-10,,,,,0,,missing_bands
Punjab,Barnala,2022,8,2022-11-10,2022-11-15,0.15984362914812902,0.1537458265959511,0.17189207740295484,0.17845744551039716,1,0.0,valid
Punjab,Barnala,2022,9,2022-11-15,2022-11-20,0.15597949965741098,0.15253411476278697,0.16740200511337705,0.18485990905418082,1,2.10943892024247,valid
Punjab,Barnala,2022,10,2022-11-20,2022-11-25,0.1577289778787558,0.1545858324985691,0.1674529650949447,0.18146293745073838,1,0.0,valid
Punjab,Barnala,2022,11,2022-11-25,2022-11-30,0.16727993715141556,0.16200985180943978,0.1757730432175049,0.1623435950606297,1,0.0,valid
Punjab,Barnala,2022,12,2022-11-30,2022-12-05,0.18458373419826077,0.17351748369342035,0.1901512174343664,0.13866416017035182,1,0.0,valid
Punjab,Barnala,2022,13,2022-12-05,2022-12-10,0.18815384147291211,0.17708055685967006,0.19623594263245486,0.11929075045892039,1,5.66236674729015,valid
Punjab,Barnala,2022,14,2022-12-10,2022-12-15,0.19361683999831403,0.18494838548236275,0.2016184937327032,0.1077256770843531,1,0.0,valid
Punjab,Barnala,2022,15,2022-12-15,2022-12-20,0.22513557156187713,0.21447353499878735,0.2332210396467848,0.09127918853529478,1,0.0,valid
Punjab,Barnala,2022,16,2022-12-20,2022-12-25,,,,,0,,missing_bands
Punjab,Barnala,2022,17,2022-12-25,2022-12-30,,,,,0,,missing_bands
Punjab,Barnala,2022,18,2022-12-30,2023-01-04,,,,,0,,missing_bands
Punjab,Barnala,2022,19,2023-01-04,2023-01-09,,,,,0,,missing_bands
Punjab,Barnala,2022,20,2023-01-09,2023-01-14,,,,,0,,missing_bands
Punjab,Barnala,2022,21,2023-01-14,2023-01-19,0.2883793124919339,0.28372302885697526,0.30050517701201485,0.06774852169408194,1,0.0,valid
Punjab,Barnala,2022,22,2023-01-19,2023-01-24,0.3220345782674558,0.3037891144990853,0.3321523628210168,0.07615604517157779,1,24.2310310848338,valid
Punjab,Barnala,2022,23,2023-01-24,2023-01-29,0.32856740497952835,0.32373173989372833,0.34171404782105197,0.061983662764833275,1,0.0,valid
Punjab,Barnala,2022,24,2023-01-29,2023-02-03,0.35935577497517807,0.3468588829658712,0.37170980622157623,0.05955675646173127,1,0.0,valid
Punjab,Barnala,2022,25,2023-02-03,2023-02-08,0.3748074743907132,0.3536116113635588,0.39269625642711103,0.08119860748927343,1,4.37982621159187,valid
Punjab,Barnala,2022,26,2023-02-08,2023-02-13,0.3881433913985956,0.3706939095780738,0.40307249664613604,0.0759268441689861,1,4.02152945743378,valid
Punjab,Barnala,2022,27,2023-02-13,2023-02-18,,,,,0,,missing_bands
Punjab,Barnala,2022,28,2023-02-18,2023-02-23,0.37393153127820505,0.3547218031542169,0.3906329648744532,0.06621658881273275,1,4.86034220191705,valid
Punjab,Barnala,2022,29,2023-02-23,2023-02-28,0.358058818151329,0.33940472692976187,0.3796172596656262,0.05999498165167486,1,0.0,valid
Punjab,Barnala,2022,30,2023-02-28,2023-03-05,0.38470793849772045,0.3618644852833281,0.4063516755341409,0.08102340565724525,1,2.58108632685359,valid
Punjab,Barnala,2022,31,2023-03-05,2023-03-10,,,,,0,,missing_bands
Punjab,Barnala,2022,32,2023-03-10,2023-03-15,,,,,0,,missing_bands
Punjab,Barnala,2022,33,2023-03-15,2023-03-20,,,,,0,,missing_bands
Punjab,Barnala,2022,34,2023-03-20,2023-03-25,0.3033403840831494,0.2870205898839724,0.328632540104439,0.07321302047354701,1,0.575263519364567,valid
Punjab,Barnala,2022,35,2023-03-25,2023-03-30,,,,,0,,missing_bands
Punjab,Barnala,2022,36,2023-03-30,2023-04-04,0.25459939528626074,0.24308402229903672,0.28036150695956485,0.10470071443276362,1,2.84317238496223,valid
Punjab,Barnala,2022,37,2023-04-04,2023-04-09,0.22767340400475736,0.2312599400875101,0.2541327666220145,0.14648502897146184,1,0.0,valid
Punjab,Barnala,2022,38,2023-04-09,2023-04-14,,,,,0,,missing_bands
Punjab,Barnala,2022,39,2023-04-14,2023-04-19,0.23928057204366499,0.23512560055398332,0.26991580968710904,0.21002053199977053,1,0.0,valid
Punjab,Barnala,2022,40,2023-04-19,2023-04-24,,,,,0,,missing_bands
Punjab,Barnala,2022,41,2023-04-24,2023-04-29,,,,,0,,missing_bands
Punjab,Barnala,2022,42,2023-04-29,2023-05-04,,,,,0,,missing_bands
