state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Ferozepur,2020,0,2020-10-01,2020-10-06,0.2755967987463798,0.2694854705265561,0.30627770464666415,0.10773961378610297,2,0.0,valid
Punjab,Ferozepur,2020,1,2020-10-06,2020-10-11,0.2689219379971822,0.26428925130152137,0.30242167829944533,0.12887091164974696,2,0.0,valid
Punjab,Ferozepur,2020,2,2020-10-11,2020-10-16,0.2515978028788768,0.24795561689330597,0.2818852735872287,0.1509214722307719,2,0.0,valid
Punjab,Ferozepur,2020,3,2020-10-16,2020-10-21,0.23675861671092666,0.239503557427309,0.2662423886308154,0.16755367332503754,2,0.0,valid
Punjab,Ferozepur,2020,4,2020-10-21,2020-10-26,0.2122108886606445,0.20751338645451328,0.23496513861373905,0.15806151540012187,2,0.0,valid
Punjab,Ferozepur,2020,5,2020-10-26,2020-10-31,0.22229223003206422,0.2119402561071737,0.23411791104190938,0.15827215109215545,1,12.5485,valid
Punjab,Ferozepur,2020,6,2020-10-31,2020-11-05,0.18521943320917145,0.177686657027521,0.19763894719358924,0.15872590262914862,2,0.0,valid
Punjab,Ferozepur,2020,7,2020-11-05,2020-11-10,0.17416124572649577,0.1696711568586979,0.18470707290989336,0.16520001400595088,2,0.0011,valid
Punjab,Ferozepur,2020,8,2020-11-10,2020-11-15,0.183058793560934,0.17241260153744417,0.18892181180158574,0.16045225366849641,2,10.44845,valid
Punjab,Ferozepur,2020,9,2020-11-15,2020-11-20,,,,,0,,missing_bands
Punjab,Ferozepur,2020,10,2020-11-20,2020-11-25,,,,,0,,missing_bands
Punjab,Ferozepur,2020,11,2020-11-25,2020-11-30,0.19286432401515421,0.1895054556471785,0.20293798499176352,0.1655071723752849,2,0.0,valid
Punjab,Ferozepur,2020,12,2020-11-30,2020-12-05,0.1989697861083982,0.18762177614288622,0.20764012498710324,0.14179590940187564,2,0.0,valid
Punjab,Ferozepur,2020,13,2020-12-05,2020-12-10,0.20362938130205685,0.18864006947016823,0.21232761862258986,0.12019113228293066,2,4.7484,valid
Punjab,Ferozepur,2020,14,2020-12-10,2020-12-15,,,,,0,,missing_bands
Punjab,Ferozepur,2020,15,2020-12-15,2020-12-20,0.21875630265763787,0.2126717825871919,0.22703590202474683,0.09912040630229,2,0.14045,valid
Punjab,Ferozepur,2020,16,2020-12-20,2020-12-25,0.23588201399217631,0.22349300699412908,0.2435056393225265,0.08747593199329992,2,0.0,valid
Punjab,Ferozepur,2020,17,2020-12-25,2020-12-30,0.25896666660195305,0.2290823126123065,0.24988843480340478,0.11177278882792206,1,19.3587,valid
Punjab,Ferozepur,2020,18,2020-12-30,2021-01-04,,,,,0,,missing_bands
Punjab,Ferozepur,2020,19,2021-01-04,2021-01-09,,,,,0,,missing_bands
Punjab,Ferozepur,2020,20,2021-01-09,2021-01-14,,,,,0,,missing_bands
Punjab,Ferozepur,2020,21,2021-01-14,2021-01-19,,,,,0,,missing_bands
Punjab,Ferozepur,2020,22,2021-01-19,2021-01-24,0.3132836358312473,0.2960978678011347,0.3247079804528659,0.07084949342072862,1,2.6929,valid
Punjab,Ferozepur,2020,23,2021-01-24,2021-01-29,0.30843510576143923,0.30298143526589294,0.3203594781960932,0.07492919082336873,2,0.0,valid
Punjab,Ferozepur,2020,24,2021-01-29,2021-02-03,0.32130397073633,0.3057456714053638,0.33370981118690757,0.08224540455481957,2,0.0,valid
Punjab,Ferozepur,2020,25,2021-02-03,2021-02-08,0.32981514467276485,0.31654357223218055,0.3443720090262842,0.07433049345750357,2,0.0,valid
Punjab,Ferozepur,2020,26,2021-02-08,2021-02-13,0.34011251761465294,0.32327368983337035,0.353961148472673,0.07349515097397825,2,11.132200000000001,valid
Punjab,Ferozepur,2020,27,2021-02-13,2021-02-18,,,,,1,26.3489,missing_bands
Punjab,Ferozepur,2020,28,2021-02-18,2021-02-23,0.31563649287200757,0.2973632580868514,0.3309970938733496,0.07270685392444144,2,3.5458,valid
Punjab,Ferozepur,2020,29,2021-02-23,2021-02-28,0.3215414579797271,0.30015802156039567,0.33986969045571286,0.07402649260716135,2,0.0,valid
Punjab,Ferozepur,2020,30,2021-02-28,2021-03-05,0.3208885198916825,0.30766470624492803,0.33771468154590717,0.07418354422639313,2,0.0,valid
Punjab,Ferozepur,2020,31,2021-03-05,2021-03-10,0.30440998922616885,0.28906003402117036,0.32432320287481486,0.07967714026128724,2,0.6682,valid
Punjab,Ferozepur,2020,32,2021-03-10,2021-03-15,0.3404230186204763,0.32715643745164424,0.36638122601351475,0.07132642151042876,1,29.6947,valid
Punjab,Ferozepur,2020,33,2021-03-15,2021-03-20,,,,,0,,missing_bands
Punjab,Ferozepur,2020,34,2021-03-20,2021-03-25,0.2880523042313572,0.2736233586298343,0.31070009311074054,0.09122954402351958,2,4.4367,valid
Punjab,Ferozepur,2020,35,2021-03-25,2021-03-30,0.2510955748108229,0.24163927109249383,0.2728330904819177,0.10787510476453555,2,0.0021,valid
Punjab,Ferozepur,2020,36,2021-03-30,2021-04-04,0.22359330183938556,0.22870936647637838,0.24827799103356699,0.15803046379025062,1,1.5464,valid
Punjab,Ferozepur,2020,37,2021-04-04,2021-04-09,0.22005081469008744,0.2170993620540305,0.24335990211943012,0.13385867571208948,2,0.0,valid
Punjab,Ferozepur,2020,38,2021-04-09,2021-04-14,0.23897372323087893,0.23138209053439274,0.2631522043736219,0.16921498963234335,2,5.66505,valid
Punjab,Ferozepur,2020,39,2021-04-14,2021-04-19,0.27965235497104696,0.2678720178524834,0.31347207243644243,0.23753311039840674,1,4.0459,valid
Punjab,Ferozepur,2020,40,2021-04-19,2021-04-24,,,,,0,,missing_bands
Punjab,Ferozepur,2020,41,2021-04-24,2021-04-29,0.2301426852701378,0.22282000272363578,0.2497919638536958,0.21355292262230113,2,0.0,valid
Punjab,Ferozepur,2020,42,2021-04-29,2021-05-04,,,,,0,,missing_bands
