state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Hoshiarpur,2024,0,2024-10-01,2024-10-06,0.26016914315437184,0.2477937431583175,0.28826405961341894,0.10023198644048824,6,0.02578547710289737,valid
Punjab,Hoshiarpur,2024,1,2024-10-06,2024-10-11,0.26466421176852495,0.2540837208286548,0.29568307068186084,0.11042937115054763,6,5.819558121193779,valid
Punjab,Hoshiarpur,2024,2,2024-10-11,2024-10-16,0.2503671099056408,0.24169620457043012,0.2790782068470987,0.12441683795332938,6,0.15289389288351815,valid
Punjab,Hoshiarpur,2024,3,2024-10-16,2024-10-21,0.24394497058726722,0.23275312725653086,0.2707715832892866,0.13098134398167863,6,0.36642042228283106,valid
Punjab,Hoshiarpur,2024,4,2024-10-21,2024-10-26,0.2340365137002494,0.22205715668539674,0.2580738875584341,0.13473131840795946,6,0.8537764313190203,valid
Punjab,Hoshiarpur,2024,5,2024-10-26,2024-10-31,0.25145176413687237,0.23507372909672491,0.272180809586037,0.14209028476455107,6,0.015661304389146286,valid
Punjab,Hoshiarpur,2024,6,2024-10-31,2024-11-05,0.233150743580369,0.2258140329560385,0.25510375834877824,0.1461824445323963,6,0.21571262205500333,valid
Punjab,Hoshiarpur,2024,7,2024-11-05,2024-11-10,0.23668894323796338,0.2220144357476334,0.25398880713913297,0.13895032688045827,6,0.09695899313464051,valid
Punjab,Hoshiarpur,2024,8,2024-11-10,2024-11-15,0.3306522660046895,0.30080193360930746,0.3355459891852825,0.14946590743886257,3,0.081323973302505,valid
Punjab,Hoshiarpur,2024,9,2024-11-15,2024-11-20,0.20579560708859515,0.19816589535032184,0.2217674704035016,0.16274704972074994,3,0.0,valid
Punjab,Hoshiarpur,2024,10,2024-11-20,2024-11-25,0.20695594494781827,0.19609483279622883,0.22080721845630133,0.1372214746180366,5,1.1457350084419997,valid
Punjab,Hoshiarpur,2024,11,2024-11-25,2024-11-30,0.19227194277003384,0.1865745079180088,0.20704410675114798,0.13565195306523314,6,0.0,valid
Punjab,Hoshiarpur,2024,12,2024-11-30,2024-12-05,0.1935459403103123,0.18462259433904096,0.20844023060392997,0.13379035775981768,6,0.3693230091152473,valid
Punjab,Hoshiarpur,2024,13,2024-12-05,2024-12-10,0.19210161483540705,0.18986449682153506,0.2063361988230146,0.13389167236379396,8,3.6796385587085307,valid
Punjab,Hoshiarpur,2024,14,2024-12-10,2024-12-15,0.19817087048587229,0.19424963135048506,0.21226792891194798,0.13306494775525962,10,10.43984350892006,valid
Punjab,Hoshiarpur,2024,15,2024-12-15,2024-12-20,0.19877731352921751,0.19327554831361676,0.2116242784961511,0.12195149508090891,7,0.0,valid
Punjab,Hoshiarpur,2024,16,2024-12-20,2024-12-25,0.22702811875775533,0.21940284086809572,0.23817372921523688,0.1333641882685135,2,11.382166807355366,valid
Punjab,Hoshiarpur,2024,17,2024-12-25,2024-12-30,0.2504363501353171,0.2392916374579167,0.26747991452791503,0.15077711937910845,1,24.7622673129116,valid
Punjab,Hoshiarpur,2024,18,2024-12-30,2025-01-04,,,,,0,,missing_bands
Punjab,Hoshiarpur,2024,19,2025-01-04,2025-01-09,0.24090050309920313,0.22331927425796955,0.24994552341450707,0.09685946214453457,2,9.85005991089541,valid
Punjab,Hoshiarpur,2024,20,2025-01-09,2025-01-14,0.22966929451119558,0.22119351864366207,0.24333684648372397,0.08983703074834917,2,0.0,valid
Punjab,Hoshiarpur,2024,21,2025-01-14,2025-01-19,,,,,0,,missing_bands
Punjab,Hoshiarpur,2024,22,2025-01-19,2025-01-24,0.26905680468087434,0.2617846552579257,0.2852028972352522,0.10281651555110449,2,0.344506277328475,valid
Punjab,Hoshiarpur,2024,23,2025-01-24,2025-01-29,0.25395411608583396,0.2530291338409514,0.268099490700895,0.0911843350449517,6,0.4296681378967922,valid
Punjab,Hoshiarpur,2024,24,2025-01-29,2025-02-03,0.2655232686031044,0.25171241100668046,0.2811848479477422,0.09241448024591505,6,0.8785155791049134,valid
Punjab,Hoshiarpur,2024,25,2025-02-03,2025-02-08,0.26682277612491145,0.258208809953504,0.2815102189442808,0.07795606131141687,4,9.974199355329365,valid
Punjab,Hoshiarpur,2024,26,2025-02-08,2025-02-13,0.3261182299972512,0.3200686497931745,0.3466251450409109,0.10312456031443772,2,0.250273849594108,valid
Punjab,Hoshiarpur,2024,27,2025-02-13,2025-02-18,0.2935067743426787,0.2834792111876044,0.31033175742159586,0.10003864425829344,3,7.803454236863278,valid
Punjab,Hoshiarpur,2024,28,2025-02-18,2025-02-23,,,,,0,,missing_bands
Punjab,Hoshiarpur,2024,29,2025-02-23,2025-02-28,,,,,0,,missing_bands
Punjab,Hoshiarpur,2024,30,2025-02-28,2025-03-05,0.3003144447250392,0.2897163432257784,0.3191380193760872,0.07557647977620276,6,1.5082208280772382,valid
Punjab,Hoshiarpur,2024,31,2025-03-05,2025-03-10,0.30602732415615763,0.2993284604097025,0.32644790174296956,0.09202783446609966,5,14.744153573975282,valid
Punjab,Hoshiarpur,2024,32,2025-03-10,2025-03-15,0.3097423110607535,0.29637515018237304,0.3341737436562911,0.09618985220360536,5,13.900551058148475,valid
Punjab,Hoshiarpur,2024,33,2025-03-15,2025-03-20,0.2854136203236106,0.2783425073341774,0.30816502369863447,0.09513397381309643,4,0.3729574471338845,valid
Punjab,Hoshiarpur,2024,34,2025-03-20,2025-03-25,0.26811865534290136,0.26320043508083185,0.2912843672053858,0.09732232622976734,6,0.015512828598960934,valid
Punjab,Hoshiarpur,2024,35,2025-03-25,2025-03-30,0.2603904562870224,0.25155942076261406,0.282959445590975,0.10942470458367749,4,10.225844598018334,valid
Punjab,Hoshiarpur,2024,36,2025-03-30,2025-04-04,0.2635026483477574,0.2660385778722165,0.2860772080156116,0.11068517594238794,7,11.352967495989276,valid
Punjab,Hoshiarpur,2024,37,2025-04-04,2025-04-09,0.22347632787202937,0.22077920113494517,0.2487653178198181,0.12124707529300066,4,1.3485205196967553,valid
Punjab,Hoshiarpur,2024,38,2025-04-09,2025-04-14,0.24227023905878234,0.23550726221677412,0.27325723810813646,0.1486029885476561,2,0.3939796460149185,valid
Punjab,Hoshiarpur,2024,39,2025-04-14,2025-04-19,0.22139270817526738,0.21042013189056058,0.24439395784258114,0.13679674555316584,5,13.371294874027063,valid
Punjab,Hoshiarpur,2024,40,2025-04-19,2025-04-24,0.2567693416608186,0.25335389306107625,0.28392233949704954,0.18329485773967025,7,3.695130616888939,valid
Punjab,Hoshiarpur,2024,41,2025-04-24,2025-04-29,0.2572322049379174,0.260976667847868,0.28711433434545786,0.20142189608907599,6,0.08093138942978012,valid
Punjab,Hoshiarpur,2024,42,2025-04-29,2025-05-04,,,,,0,,missing_bands
