state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Punjab,Muktsar,2017,0,2017-10-01,2017-10-06,0.28829011166925417,0.2804226945659666,0.32050317214875496,0.09033243853292754,2,0.0031,valid
Punjab,Muktsar,2017,1,2017-10-06,2017-10-11,0.27201081594327164,0.2594333955864741,0.3027196330547614,0.10296239709999248,3,0.0,valid
Punjab,Muktsar,2017,2,2017-10-11,2017-10-16,0.26543838394329256,0.26251983949693103,0.2977581715063993,0.12261659965541409,2,0.0,valid
Punjab,Muktsar,2017,3,2017-10-16,2017-10-21,0.25123996370356605,0.2443550698959248,0.27884483986905023,0.1319114703561595,2,0.2619,valid
Punjab,Muktsar,2017,4,2017-10-21,2017-10-26,0.22974335321574862,0.23003402330049033,0.2586906744785662,0.14639515664621716,2,0.0,valid
Punjab,Muktsar,2017,5,2017-10-26,2017-10-31,0.27933298442203885,0.263537652347118,0.29084628892828934,0.1508363824505834,2,0.0,valid
Punjab,Muktsar,2017,6,2017-10-31,2017-11-05,0.28087505432884025,0.25893162702546,0.2811225751705298,0.1428456186841966,1,0.0,valid
Punjab,Muktsar,2017,7,2017-11-05,2017-11-10,,,,,0,,missing_bands
Punjab,Muktsar,2017,8,2017-11-10,2017-11-15,,,,,0,,missing_bands
Punjab,Muktsar,2017,9,2017-11-15,2017-11-20,0.1721167543226753,0.16663418697495513,0.1841704730765076,0.16901097410071655,2,0.0,valid
Punjab,Muktsar,2017,10,2017-11-20,2017-11-25,0.1653827276713956,0.1603048574441778,0.17511041450949516,0.18020475469983743,2,0.0,valid
Punjab,Muktsar,2017,11,2017-11-25,2017-11-30,0.1699334856273323,0.16142101190062141,0.17775403001087467,0.1775210904765095,3,0.3935,valid
Punjab,Muktsar,2017,12,2017-11-30,2017-12-05,,,,,0,,missing_bands
Punjab,Muktsar,2017,13,2017-12-05,2017-12-10,0.1705723222369975,0.16484435651194884,0.17776133611320752,0.16848353159168247,3,4.828533333333334,valid
Punjab,Muktsar,2017,14,2017-12-10,2017-12-15,,,,,0,,missing_bands
Punjab,Muktsar,2017,15,2017-12-15,2017-12-20,0.192494523175085,0.1827475051945969,0.20140479963347632,0.14978077044472404,2,0.25755,valid
Punjab,Muktsar,2017,16,2017-12-20,2017-12-25,0.2086010628575979,0.19809896707697894,0.21666738969893953,0.12665982943814785,1,26.9464,valid
Punjab,Muktsar,2017,17,2017-12-25,2017-12-30,0.21940514129364946,0.20954656347166611,0.22511717947401905,0.10411302514950062,2,0.003866941383737945,valid
Punjab,Muktsar,2017,18,2017-12-30,2018-01-04,,,,,0,,missing_bands
Punjab,Muktsar,2017,19,2018-01-04,2018-01-09,0.23776943822713337,0.2269039050383927,0.24425561096320175,0.08309267950713987,2,0.0,valid
Punjab,Muktsar,2017,20,2018-01-09,2018-01-14,0.2593018151853763,0.25084943524092174,0.26803256038227474,0.07372449391198199,2,0.0,valid
Punjab,Muktsar,2017,21,2018-01-14,2018-01-19,0.28922276952927783,0.2705950815599668,0.2981023137960338,0.07407194873513473,1,9.2355,valid
Punjab,Muktsar,2017,22,2018-01-19,2018-01-24,,,,,0,,missing_bands
Punjab,Muktsar,2017,23,2018-01-24,2018-01-29,,,,,0,,missing_bands
Punjab,Muktsar,2017,24,2018-01-29,2018-02-03,0.3187708245791679,0.3105886057273189,0.33123957428252543,0.06452133261845541,2,0.78255,valid
Punjab,Muktsar,2017,25,2018-02-03,2018-02-08,0.3414255582449701,0.3310887979197939,0.3531985598016292,0.06408337112772002,1,2.50801755800412,valid
Punjab,Muktsar,2017,26,2018-02-08,2018-02-13,,,,,0,,missing_bands
Punjab,Muktsar,2017,27,2018-02-13,2018-02-18,,,,,0,,missing_bands
Punjab,Muktsar,2017,28,2018-02-18,2018-02-23,,,,,0,,missing_bands
Punjab,Muktsar,2017,29,2018-02-23,2018-02-28,0.3846059641692976,0.35991087814538725,0.40418597281328955,0.0669543895431881,2,7.5466,valid
Punjab,Muktsar,2017,30,2018-02-28,2018-03-05,,,,,0,,missing_bands
Punjab,Muktsar,2017,31,2018-03-05,2018-03-10,0.3049825570550711,0.2854212684262633,0.3209988088577487,0.05900426649604305,1,4.5494,valid
Punjab,Muktsar,2017,32,2018-03-10,2018-03-15,0.3584347335622243,0.34757821098662495,0.3816151820791211,0.07226452734753899,2,5.48915,valid
Punjab,Muktsar,2017,33,2018-03-15,2018-03-20,0.32691463366811757,0.31447595193108996,0.3493061463014407,0.06923506279253665,2,2.13225,valid
Punjab,Muktsar,2017,34,2018-03-20,2018-03-25,0.2907860252811241,0.281372709716677,0.3153371526801009,0.06577796213384858,1,0.0,valid
Punjab,Muktsar,2017,35,2018-03-25,2018-03-30,0.25952585595101635,0.25296528767484977,0.2822869621234009,0.07888681625919496,2,0.0,valid
Punjab,Muktsar,2017,36,2018-03-30,2018-04-04,,,,,0,,missing_bands
Punjab,Muktsar,2017,37,2018-04-04,2018-04-09,0.21193708264615121,0.20226354574293834,0.23688912778728446,0.12360285669145528,2,0.06385,valid
Punjab,Muktsar,2017,38,2018-04-09,2018-04-14,0.21524408133892148,0.21414120928794855,0.24076295175834644,0.176176387640504,1,22.4423,valid
Punjab,Muktsar,2017,39,2018-04-14,2018-04-19,0.2533729256037926,0.24755475631363522,0.28479975489942605,0.1957833428610921,2,0.0,valid
Punjab,Muktsar,2017,40,2018-04-19,2018-04-24,0.28340609662443317,0.2884485917594031,0.31919214379341443,0.2489911338384103,2,0.0,valid
Punjab,Muktsar,2017,41,2018-04-24,2018-04-29,0.2600629534337775,0.25032508280788857,0.2911884467024807,0.23284173272800812,2,0.0,valid
Punjab,Muktsar,2017,42,2018-04-29,2018-05-04,,,,,0,,missing_bands
