max_temp_day,min_temp_night,wind_speed_avg,wind_speed_max,precipitation,relative_humidity,mean_temp,date,district,year
29.58,21.71,1.43,3.23,0.03,77.66,25.28,2022-10-01,Ambala,2022
29.34,21.2,1.66,3.21,0.0,76.14,24.85,2022-10-02,Ambala,2022
29.26,19.84,2.24,4.23,0.0,80.05,24.04,2022-10-03,Ambala,2022
31.34,21.57,1.35,2.14,0.06,72.68,25.82,2022-10-04,Ambala,2022
30.9,22.32,1.14,2.26,1.75,71.22,25.84,2022-10-05,Ambala,2022
28.26,19.66,0.92,1.58,2.02,77.89,24.11,2022-10-06,Ambala,2022
27.8,19.86,0.9,1.55,8.23,83.81,23.76,2022-10-07,Ambala,2022
25.77,20.21,1.09,2.28,5.0,89.84,22.86,2022-10-08,Ambala,2022
27.24,20.12,1.01,1.53,6.06,84.78,23.2,2022-10-09,Ambala,2022
24.67,20.34,2.2,4.22,8.85,90.64,22.23,2022-10-10,Ambala,2022
27.28,19.43,1.23,2.38,15.51,87.74,22.87,2022-10-11,Ambala,2022
26.58,18.32,1.16,2.0,1.14,83.19,21.72,2022-10-12,Ambala,2022
28.17,17.85,1.43,2.65,0.0,80.09,22.3,2022-10-13,Ambala,2022
27.26,17.28,1.53,2.58,0.0,80.05,21.87,2022-10-14,Ambala,2022
27.56,18.41,1.16,2.03,0.0,74.38,22.8,2022-10-15,Ambala,2022
28.05,19.32,1.25,2.29,0.0,73.56,22.81,2022-10-16,Ambala,2022
27.0,17.84,1.32,3.02,0.0,73.96,21.68,2022-10-17,Ambala,2022
28.08,18.38,1.28,2.52,0.04,65.35,22.43,2022-10-18,Ambala,2022
27.27,16.39,1.25,2.4,0.0,65.08,21.67,2022-10-19,Ambala,2022
27.59,16.03,1.36,2.66,0.0,66.34,21.58,2022-10-20,Ambala,2022
28.38,18.59,1.11,1.68,0.0,59.32,22.81,2022-10-21,Ambala,2022
26.97,16.48,1.2,1.82,0.0,66.77,20.92,2022-10-22,Ambala,2022
26.6,15.0,1.11,1.53,0.0,59.55,21.27,2022-10-23,Ambala,2022
27.65,16.35,1.83,3.32,0.0,65.7,20.87,2022-10-24,Ambala,2022
26.6,15.75,1.97,3.78,0.0,70.04,19.83,2022-10-25,Ambala,2022
27.32,16.2,1.53,3.02,0.0,63.46,21.02,2022-10-26,Ambala,2022
27.37,17.13,1.47,2.79,0.0,63.84,21.18,2022-10-27,Ambala,2022
26.62,16.18,1.35,2.7,0.0,68.21,20.66,2022-10-28,Ambala,2022
26.7,16.35,1.44,2.83,0.0,59.64,20.81,2022-10-29,Ambala,2022
26.49,16.34,1.57,3.35,0.0,62.97,20.42,2022-10-30,Ambala,2022
26.96,15.24,1.26,2.45,0.0,65.72,20.52,2022-10-31,Ambala,2022
27.93,17.36,1.18,2.06,0.0,63.42,21.61,2022-11-01,Ambala,2022
26.47,16.56,2.13,4.58,0.0,70.79,20.53,2022-11-02,Ambala,2022
27.5,16.27,1.63,3.59,0.0,66.93,21.12,2022-11-03,Ambala,2022
26.81,16.6,0.98,1.33,0.0,70.14,20.97,2022-11-04,Ambala,2022
26.04,16.22,1.83,3.34,0.0,83.91,20.38,2022-11-05,Ambala,2022
25.36,16.98,1.23,2.32,0.0,76.55,20.85,2022-11-06,Ambala,2022
26.59,17.46,1.24,1.61,0.0,70.31,21.15,2022-11-07,Ambala,2022
27.79,16.08,1.39,2.21,0.0,68.81,20.88,2022-11-08,Ambala,2022
25.98,16.56,1.19,1.83,0.39,69.74,20.24,2022-11-09,Ambala,2022
26.11,14.34,1.73,2.86,0.27,65.89,19.4,2022-11-10,Ambala,2022
24.09,13.41,2.32,4.5,0.01,68.53,17.42,2022-11-11,Ambala,2022
24.41,11.98,2.46,4.67,0.0,63.03,16.81,2022-11-12,Ambala,2022
24.14,11.79,1.99,4.12,0.0,60.1,17.24,2022-11-13,Ambala,2022
22.71,14.45,1.77,3.84,1.74,67.59,17.53,2022-11-14,Ambala,2022
24.44,14.17,1.15,2.03,0.13,74.71,18.17,2022-11-15,Ambala,2022
22.47,12.59,1.79,2.69,0.0,71.58,16.77,2022-11-16,Ambala,2022
22.1,11.29,2.41,4.46,0.0,75.11,15.59,2022-11-17,Ambala,2022
