max_temp_day,min_temp_night,wind_speed_avg,wind_speed_max,precipitation,relative_humidity,mean_temp,date,district,year
37.65,19.9,2.07,3.93,0.0,43.97,27.75,2023-10-01,Bhiwani,2023
37.45,20.64,1.89,3.88,0.0,39.16,27.46,2023-10-02,Bhiwani,2023
36.69,20.47,2.13,4.72,0.0,34.9,27.13,2023-10-03,Bhiwani,2023
37.19,19.76,2.14,5.35,0.0,42.69,27.12,2023-10-04,Bhiwani,2023
38.16,19.85,1.8,3.83,0.0,41.73,27.64,2023-10-05,Bhiwani,2023
38.69,18.55,1.95,3.43,0.0,40.94,27.93,2023-10-06,Bhiwani,2023
38.51,20.49,1.75,3.23,0.0,47.16,28.9,2023-10-07,Bhiwani,2023
38.65,22.54,1.81,3.44,0.0,46.76,30.07,2023-10-08,Bhiwani,2023
38.25,23.39,1.92,3.72,0.06,48.3,30.34,2023-10-09,Bhiwani,2023
37.37,23.51,1.33,2.19,0.57,48.29,29.13,2023-10-10,Bhiwani,2023
36.57,20.3,1.91,3.65,0.0,47.57,27.24,2023-10-11,Bhiwani,2023
36.66,19.91,1.55,2.77,0.0,41.53,27.13,2023-10-12,Bhiwani,2023
38.07,19.74,1.54,2.84,0.0,40.85,28.05,2023-10-13,Bhiwani,2023
37.13,21.14,1.67,3.28,0.0,40.96,28.27,2023-10-14,Bhiwani,2023
35.68,20.45,1.12,1.94,1.87,46.53,27.65,2023-10-15,Bhiwani,2023
30.17,21.31,2.13,3.51,43.34,68.23,24.23,2023-10-16,Bhiwani,2023
28.65,19.79,2.32,3.81,3.06,67.28,23.42,2023-10-17,Bhiwani,2023
30.51,17.98,2.17,3.53,0.0,63.76,23.01,2023-10-18,Bhiwani,2023
30.7,16.96,1.69,3.13,0.0,59.38,22.88,2023-10-19,Bhiwani,2023
31.37,17.02,1.23,2.23,0.0,57.85,23.06,2023-10-20,Bhiwani,2023
31.43,16.84,1.3,2.3,0.0,54.8,23.12,2023-10-21,Bhiwani,2023
31.3,17.48,1.35,2.51,0.0,55.69,23.18,2023-10-22,Bhiwani,2023
30.52,17.33,1.63,2.89,0.01,62.04,22.94,2023-10-23,Bhiwani,2023
31.46,18.38,1.48,2.72,0.0,59.41,23.65,2023-10-24,Bhiwani,2023
31.53,17.64,1.82,3.44,0.0,57.66,23.29,2023-10-25,Bhiwani,2023
32.0,16.15,1.62,2.8,0.0,52.03,23.08,2023-10-26,Bhiwani,2023
32.26,18.54,1.38,2.73,0.0,42.78,23.89,2023-10-27,Bhiwani,2023
30.43,18.57,1.21,1.81,0.0,50.0,23.59,2023-10-28,Bhiwani,2023
33.25,19.5,1.28,2.12,0.0,48.39,24.86,2023-10-29,Bhiwani,2023
33.24,17.81,1.44,2.29,0.0,52.56,24.19,2023-10-30,Bhiwani,2023
32.53,18.12,1.33,2.28,0.0,52.98,23.89,2023-10-31,Bhiwani,2023
32.33,17.67,1.33,2.16,0.0,50.6,23.71,2023-11-01,Bhiwani,2023
31.59,19.12,1.16,2.35,0.0,52.24,23.64,2023-11-02,Bhiwani,2023
