clock,variant,view,c_value,v13_weight,development_auc,development_brier,selection_score
jan15,crop_only,response,0.005,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,crop_only,response,0.005,0.05,0.7647058823529411,0.20029949928743093,0.724645982495455
jan15,crop_only,response,0.005,0.1,0.7628316032295271,0.20118328597438745,0.7225949460346497
jan15,crop_only,response,0.005,0.15000000000000002,0.7607410611303346,0.20232408188395,0.7202762447535446
jan15,crop_only,response,0.005,0.2,0.7570645905420993,0.2037218870161187,0.7163202131388755
jan15,crop_only,response,0.005,0.25,0.7528835063437138,0.20537670137089356,0.7118081660695351
jan15,crop_only,response,0.005,0.30000000000000004,0.7481257208765859,0.2072885249482745,0.706668015886931
jan15,crop_only,response,0.005,0.35000000000000003,0.7421424452133795,0.20945735774826152,0.7002509736637271
jan15,crop_only,response,0.005,0.4,0.7358708189158017,0.21188319977085465,0.6934941789616308
jan15,crop_only,response,0.005,0.45,0.7269319492502883,0.21456605101605394,0.6840187390470774
jan15,crop_only,response,0.005,0.5,0.7187860438292965,0.21750591148385934,0.6752848615325245
jan15,crop_only,response,0.02,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,crop_only,response,0.02,0.05,0.7642733564013842,0.20032644825789075,0.724208066749806
jan15,crop_only,response,0.02,0.1,0.7604527104959631,0.2013360657278684,0.7201854973503894
jan15,crop_only,response,0.02,0.15000000000000002,0.7572087658592849,0.2027015742330135,0.7166684510126822
jan15,crop_only,response,0.02,0.2,0.7524509803921569,0.20442297377332608,0.7115663856374916
jan15,crop_only,response,0.02,0.25,0.7462514417531718,0.2065002643488061,0.7049513888834106
jan15,crop_only,response,0.02,0.30000000000000004,0.7402681660899655,0.2089334459594536,0.6984814768980747
jan15,crop_only,response,0.02,0.35000000000000003,0.7323385236447519,0.21172251860526856,0.6899940199236982
jan15,crop_only,response,0.02,0.4,0.7230392156862745,0.2148674822862509,0.6800657192290243
jan15,crop_only,response,0.02,0.45,0.7103517877739332,0.2183683370024008,0.666678120373453
jan15,crop_only,response,0.02,0.5,0.6967993079584776,0.2222250827537181,0.6523542914077339
jan15,crop_only,response,0.1,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,crop_only,response,0.1,0.05,0.7636966551326412,0.2002858353498136,0.7236394880626784
jan15,crop_only,response,0.1,0.1,0.7605968858131488,0.20139195750426472,0.7203184943122958
jan15,crop_only,response,0.1,0.15000000000000002,0.7556228373702422,0.2029910882864341,0.7150246197129553
jan15,crop_only,response,0.1,0.2,0.749567474048443,0.20508322769632173,0.7085508285091787
jan15,crop_only,response,0.1,0.25,0.7427191464821222,0.2076683757339275,0.7011854713353367
jan15,crop_only,response,0.1,0.30000000000000004,0.7347895040369088,0.21074653239925148,0.6926401975570585
jan15,crop_only,response,0.1,0.35000000000000003,0.7227508650519031,0.21431769769229364,0.6798873255134443
jan15,crop_only,response,0.1,0.4,0.7096309111880046,0.21838187161305395,0.6659545368653939
jan15,crop_only,response,0.1,0.45,0.6933391003460206,0.22293905416153245,0.6487512895137142
jan15,crop_only,response,0.1,0.5,0.6696943483275662,0.22798924533772924,0.6240964992600204
jan15,crop_only,response,0.5,0.0,0.7660034602076125,0.19967272182308055,0.7260689158429964
jan15,crop_only,response,0.5,0.05,0.7634083044982699,0.20021354553003817,0.7233655953922623
jan15,crop_only,response,0.5,0.1,0.7600201845444061,0.20135618536625965,0.7197489474711541
jan15,crop_only,response,0.5,0.15000000000000002,0.7554065743944637,0.20310064133174513,0.7147864461281146
