correction_candidate,gamma,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
d2_future_ensemble_minus_no_future,2.25,254.12452910455738,183.4378553686113,2.946702816740421,263.0599941872958,253.11372141477162,275.75704988428834,0.8151260504201681,256.10569345279555
d2_future_ensemble_minus_no_future,2.0,254.0690599674284,183.54447261352487,1.7543975270097953,263.2242522650446,253.07684375604464,275.5089276363102,0.8067226890756303,256.10980398898647
d2_future_ensemble_minus_no_future,2.5,254.27410176859945,183.36943723515927,4.139008106471058,262.99917477541817,253.24204401580522,276.1284149147715,0.8151260504201681,256.19735558210556
d2_future_ensemble_minus_no_future,1.75,254.10775598274657,183.73839409143548,0.5620922372791659,263.491755560902,253.13151003188517,275.3843812975156,0.7983193277310925,256.2096943895701
d2_future_ensemble_minus_no_future,2.75,254.51761205381794,183.42225960983106,5.33131339620171,263.04186577935536,253.46160794777182,276.6225263688489,0.8151260504201681,256.38467445869077
d2_future_ensemble_minus_no_future,1.5,254.2405741540405,183.96399136617305,-0.6302130524514731,263.86219006527455,253.27771376265645,275.3835785351103,0.7899159663865546,256.405263034003
d2_full_minus_base,2.0,254.09799424133985,186.89547893533438,-11.197687930586314,264.90254473933004,253.35476754022002,272.77518056654503,0.7773109243697479,256.6133251905575
d2_full_minus_base,1.75,254.12607073061156,186.50687253503705,-10.770982538117435,264.9115466574909,253.3679084926665,272.983279277629,0.7815126050420168,256.6328991528451
d2_future_ensemble_minus_no_future,3.0,254.85479069199818,183.57445349734874,6.523618685932336,263.18801682869315,253.77210645435068,277.23872794922954,0.8151260504201681,256.66742616676004
d2_full_minus_base,2.25,254.1660704942455,187.4271596056392,-11.624393323055191,265.00996070566725,253.43533690396498,272.69465669619865,0.773109243697479,256.69435964953084
d2_future_ensemble_minus_no_future,1.25,254.46736710136318,184.2262905541536,-1.8225183421821236,264.3351230406634,253.51534278036945,275.5065204307753,0.7899159663865546,256.6963000059398
d2_full_minus_base,1.5,254.250268108038,186.2846652285747,-10.344277145648558,265.0369545978313,253.4746839225245,273.3186614317213,0.7815126050420168,256.753043684108
d2_full_minus_base,2.5,254.33022227808704,188.01080993596798,-12.051098715524068,265.23365311363415,253.60958056191183,272.7418206616052,0.773109243697479,256.87591955793
d2_full_minus_base,1.25,254.47044563477348,186.22806162715708,-9.917571753179681,265.2786034708785,253.67490687958718,273.7808592617296,0.7815126050420168,256.97360040500314
