feature_role,held_group,train_end,variant,seed,epochs,transition_rows,final_loss,parameters
test_full,-1,2018,no_future,42,60,476,0.2965722233057022,39454.0
test_full,-1,2018,no_future,73,60,476,0.30472201853990555,39454.0
test_full,-1,2018,full,42,60,476,0.28916874527931213,39454.0
test_full,-1,2018,full,73,60,476,0.28060049936175346,39454.0
train_district_crossfit,0,2018,no_future,42,60,316,0.2972572147846222,39454.0
train_district_crossfit,0,2018,no_future,73,60,316,0.31253307064374286,39454.0
train_district_crossfit,0,2018,full,42,60,316,0.2982160747051239,39454.0
train_district_crossfit,0,2018,full,73,60,316,0.31142855683962506,39454.0
train_district_crossfit,1,2018,no_future,42,60,316,0.30887511372566223,39454.0
train_district_crossfit,1,2018,no_future,73,60,316,0.3184623718261719,39454.0
train_district_crossfit,1,2018,full,42,60,316,0.3230874439080556,39454.0
train_district_crossfit,1,2018,full,73,60,316,0.30348095297813416,39454.0
train_district_crossfit,2,2018,no_future,42,60,320,0.3149636189142863,39454.0
train_district_crossfit,2,2018,no_future,73,60,320,0.3084886372089386,39454.0
train_district_crossfit,2,2018,full,42,60,320,0.3088517387708028,39454.0
train_district_crossfit,2,2018,full,73,60,320,0.29887349406878155,39454.0
weather_pretraining,-1,2018,weather,2026,6,8330,0.12823469147962682,
test_full,-1,2019,no_future,42,60,714,0.27967090408007306,39454.0
test_full,-1,2019,no_future,73,60,714,0.2755204439163208,39454.0
test_full,-1,2019,full,42,60,714,0.25874246656894684,39454.0
test_full,-1,2019,full,73,60,714,0.25992775211731595,39454.0
train_district_crossfit,0,2019,no_future,42,60,474,0.2908129096031189,39454.0
train_district_crossfit,0,2019,no_future,73,60,474,0.29283346980810165,39454.0
train_district_crossfit,0,2019,full,42,60,474,0.2720607817173004,39454.0
train_district_crossfit,0,2019,full,73,60,474,0.2712293192744255,39454.0
train_district_crossfit,1,2019,no_future,42,60,474,0.3012792095541954,39454.0
train_district_crossfit,1,2019,no_future,73,60,474,0.2941615730524063,39454.0
train_district_crossfit,1,2019,full,42,60,474,0.27147312089800835,39454.0
train_district_crossfit,1,2019,full,73,60,474,0.28054503351449966,39454.0
train_district_crossfit,2,2019,no_future,42,60,480,0.3008000776171684,39454.0
train_district_crossfit,2,2019,no_future,73,60,480,0.299809955060482,39454.0
train_district_crossfit,2,2019,full,42,60,480,0.2812729701399803,39454.0
train_district_crossfit,2,2019,full,73,60,480,0.2856801524758339,39454.0
weather_pretraining,-1,2019,weather,2026,6,12376,0.1263167890906334,
test_full,-1,2020,no_future,42,60,952,0.27042632177472115,39454.0
test_full,-1,2020,no_future,73,60,952,0.27026981860399246,39454.0
test_full,-1,2020,full,42,60,952,0.2582959607243538,39454.0
test_full,-1,2020,full,73,60,952,0.2637765146791935,39454.0
train_district_crossfit,0,2020,no_future,42,60,632,0.28378443121910096,39454.0
train_district_crossfit,0,2020,no_future,73,60,632,0.2810635149478912,39454.0
train_district_crossfit,0,2020,full,42,60,632,0.27166137993335726,39454.0
train_district_crossfit,0,2020,full,73,60,632,0.2751497387886047,39454.0
train_district_crossfit,1,2020,no_future,42,60,632,0.2917346477508545,39454.0
train_district_crossfit,1,2020,no_future,73,60,632,0.2873459100723267,39454.0
train_district_crossfit,1,2020,full,42,60,632,0.28040006160736086,39454.0
train_district_crossfit,1,2020,full,73,60,632,0.2786985695362091,39454.0
train_district_crossfit,2,2020,no_future,42,60,640,0.287555068731308,39454.0
train_district_crossfit,2,2020,no_future,73,60,640,0.29070388078689574,39454.0
train_district_crossfit,2,2020,full,42,60,640,0.27518216967582704,39454.0
train_district_crossfit,2,2020,full,73,60,640,0.2813227653503418,39454.0
weather_pretraining,-1,2020,weather,2026,6,16541,0.11930001414183414,
