candidate,hierarchy_weight,development_rmse,development_mae,development_bias,development_equal_state_rmse,development_mean_year_rmse,development_max_year_rmse,development_direction_accuracy,selection_score
hier__none__history__extra__ridge100,0.1,255.55047774991698,188.87998129720185,-6.4591447856551065,267.70231277453496,254.7933642085295,274.4501247125001,0.7857142857142857,258.3991581207246
hier__none__history__extra__ridge100,0.125,255.53947328885909,189.35674427670216,-6.127919784360223,267.9521950072088,254.825789814674,273.91084297349755,0.7857142857142857,258.4642328499002
hier__none__history__extra__ridge100,0.075,255.7022615607489,188.47147013890117,-6.790369786950056,267.60353051964694,254.9011304242551,275.12636900674283,0.7857142857142857,258.47729601634995
hier__none__history__extra__ridge100,0.15,255.66926635575845,190.0753082540576,-5.796694783065327,268.35275511836755,254.9982627429232,273.5093339432311,0.7815126050420168,258.6723876432019
hier__none__history__extra__ridge100,0.05,255.994574309613,188.08098028630081,-7.121594788245438,267.65601553937694,255.14900789427196,275.93856889321347,0.7857142857142857,258.69854301321874
direct__scratch__extra,0.075,255.9764014590335,187.9730760704312,4.62041854623017,268.59155149490806,255.1897188031353,275.2427864261457,0.7773109243697479,258.9335183040276
direct__scratch__extra,0.05,256.12230703678534,187.62369354974533,0.4855974338747079,268.24869748213587,255.27821526875667,276.0548601144404,0.7815126050420168,258.9428817061158
direct__modis_pretrained__extra,0.05,256.14505828169825,187.69479168295075,0.44126947936559596,268.29634243462624,255.30391533234626,276.0452194887572,0.7815126050420168,258.97259358259225
direct__modis_pretrained__extra,0.075,256.0188803794946,188.0942219313159,4.553926614466436,268.67241330507466,255.23761233493428,275.2233162337649,0.7773109243697479,258.98694659974956
hier__none__history__extra__ridge100,0.175,255.93964274540102,190.8939721207906,-5.4654697817704285,268.9033197566493,255.31041533683168,273.2462049536289,0.773109243697479,259.02325514607077
hier__none__history__xgb1__ridge1000,0.05,256.3603830213503,188.49749847183128,-12.659653865058518,267.90247480635276,255.5105628719644,276.3671743825948,0.7899159663865546,259.03345093025445
hier__none__physical__xgb1__ridge1000,0.05,256.3603830213503,188.49749847183128,-12.659653865058518,267.90247480635276,255.5105628719644,276.3671743825948,0.7899159663865546,259.03345093025445
hier__none__history__ridge1000__ridge1000,0.05,256.36693429069317,188.5174431775996,-12.925663811979499,267.9030740243399,255.5159340258182,276.3872649973282,0.7899159663865546,259.03821915788615
hier__none__history__extra__ridge1000,0.05,256.39859577921493,188.34074396974586,-19.32129091074123,267.86413715239394,255.5168204337632,276.7628646061092,0.7899159663865546,259.04453728614675
hier__none__history__xgb1__ridge1000,0.075,256.3420150274632,189.20221905328853,-15.09745840216967,267.9761518631779,255.52782320386396,275.94252959496913,0.7899159663865546,259.0470012804921
hier__none__physical__xgb1__ridge1000,0.075,256.3420150274632,189.20221905328853,-15.09745840216967,267.9761518631779,255.52782320386396,275.94252959496913,0.7899159663865546,259.0470012804921
hier__none__history__ridge1000__ridge1000,0.075,256.35438139525917,189.2420974776113,-15.49647332255115,267.97413520994695,255.53812547401472,275.97914525710553,0.7899159663865546,259.05525586862
hier__none__history__extra__ridge100,0.025,256.42693541093894,187.73649746578513,-7.452819789540366,267.8596789148038,255.53669082363103,276.88552796184166,0.7857142857142857,259.0625601400782
hier__none__history__ridge100__ridge1000,0.05,256.4042388061493,188.6270539886476,-14.189458541486674,267.91385455313844,255.54669153599804,276.499546300118,0.7857142857142857,259.0672559253588
hier__none__history__extra__ridge1000,0.075,256.42514303998183,189.16344804803697,-25.089913970693825,267.902600341279,255.56405090481667,276.5609522999132,0.7941176470588235,259.07923433151484
direct__none__extra,0.05,256.2348893431982,187.8489598070301,2.3517735075244537,268.44741647578417,255.4087903237201,275.96768966427317,0.7815126050420168,259.08149637147517
hier__none__history__ridge10__ridge1000,0.05,256.44614155623606,188.78156692960408,-15.159623855086219,267.94621558676823,255.57733965417015,276.66873539693665,0.7857142857142857,259.1039595883526
hier__none__history__ridge10__ridge100,0.05,256.3339561546975,188.79742283416866,-2.6705994140469893,268.2320976574121,255.52444153518763,275.88019885464996,0.7773109243697479,259.1061128754987
hier__none__history__ridge100__ridge1000,0.075,256.4272711888578,189.45377142199268,-17.392165416811913,267.98145727934,255.59924329543702,276.1898294008399,0.7857142857142857,259.10881073812317
direct__scratch__extra,0.1,256.02592825232716,188.56534889685247,8.755239658585147,269.1505368244812,255.3031542014642,274.52749794186656,0.7773109243697479,259.1263868826499
hier__none__history__ridge100__ridge100,0.05,256.3469911503729,188.698100424444,-1.6396083367539285,268.2813980433832,255.5448331330839,275.80854776870007,0.7815126050420168,259.13005336930325
direct__scratch__extra,0.025,256.46331143314245,187.5158856592448,-3.6492236784803014,268.12280390180973,255.56946712071084,276.96286766594693,0.7815126050420168,259.1547234722014
hier__scratch__encoder__xgb1__extra,0.05,256.4697806411387,188.6451947413135,-14.098396270945772,268.0834307054109,255.6088886456501,276.6051842105693,0.7899159663865546,259.1579701583346
hier__scratch__history__xgb1__extra,0.05,256.4697806411387,188.6451947413135,-14.098396270945772,268.0834307054109,255.6088886456501,276.6051842105693,0.7899159663865546,259.1579701583346
hier__scratch__physical__xgb1__extra,0.05,256.4697806411387,188.6451947413135,-14.098396270945772,268.0834307054109,255.6088886456501,276.6051842105693,0.7899159663865546,259.1579701583346
hier__scratch__history__ridge1000__extra,0.05,256.4780120825589,188.6676283153434,-14.362186571912472,268.08620471206916,255.6158816017268,276.62758678700897,0.7899159663865546,259.16452761972846
direct__modis_pretrained__extra,0.025,256.4718993624663,187.54951205515798,-3.6713876557348786,268.14346953859183,255.57916061823346,276.9597083256763,0.7815126050420168,259.16660722043946
hier__modis_pretrained__encoder__xgb1__extra,0.05,256.4806015945948,188.6683080869567,-14.121780238797093,268.0903081808274,255.61951048976255,276.61867359926373,0.7899159663865546,259.1677554649449
hier__modis_pretrained__history__xgb1__extra,0.05,256.4806015945948,188.6683080869567,-14.121780238797093,268.0903081808274,255.61951048976255,276.61867359926373,0.7899159663865546,259.1677554649449
hier__modis_pretrained__physical__xgb1__extra,0.05,256.4806015945948,188.6683080869567,-14.121780238797093,268.0903081808274,255.61951048976255,276.61867359926373,0.7899159663865546,259.1677554649449
hier__none__history__ridge1000__ridge100,0.05,256.3777647767844,188.6253485080675,-0.2972158221395408,268.35868239434495,255.5814620750414,275.7724134029101,0.7815126050420168,259.17391850573875
hier__modis_pretrained__history__ridge1000__extra,0.05,256.48885647528977,188.69071591733456,-14.38551177578061,268.09309030017045,255.62652207489376,276.64115288049373,0.7899159663865546,259.17433133141094
hier__none__history__ridge10__ridge100,0.025,256.5179061392064,188.06864553572055,-5.227322102441183,268.02471162301055,255.6432823494483,276.80807291403835,0.7773109243697479,259.1759515627179
hier__none__history__ridge100__ridge100,0.025,256.51830756373766,187.99259774101318,-4.711826563794642,268.02787442422596,255.64693531288827,276.77243129504797,0.7815126050420168,259.1778562161474
hier__none__history__ridge10__ridge1000,0.075,256.51135309978366,189.74147435887315,-18.847413387211258,268.0279399578732,255.6620323661071,276.5186734071162,0.7857142857142857,259.1781696308869
hier__scratch__encoder__xgb1__ridge1000,0.05,256.54094664487144,188.74063410021972,-16.595559329099963,267.97032882533153,255.68161106943882,276.66186527149745,0.7857142857142857,259.1834582961283
hier__scratch__history__xgb1__ridge1000,0.05,256.54094664487144,188.74063410021972,-16.595559329099963,267.97032882533153,255.68161106943882,276.66186527149745,0.7857142857142857,259.1834582961283
hier__scratch__physical__xgb1__ridge1000,0.05,256.54094664487144,188.74063410021972,-16.595559329099963,267.97032882533153,255.68161106943882,276.66186527149745,0.7857142857142857,259.1834582961283
hier__none__history__xgb1__ridge100,0.05,256.3856591062878,188.61246344108437,-0.014650592610418503,268.37669435150485,255.59050932500801,275.7671725364662,0.7815126050420168,259.1846304722721
hier__none__physical__xgb1__ridge100,0.05,256.3856591062878,188.61246344108437,-0.014650592610418503,268.37669435150485,255.59050932500801,275.7671725364662,0.7815126050420168,259.1846304722721
hier__none__history__ridge1000__ridge100,0.025,256.5224002418875,187.9383235741952,-4.040630306487466,268.0412542575922,255.65352699394708,276.7489284220852,0.7815126050420168,259.18489543382856
hier__none__history__xgb1__extra,0.05,256.4936302177657,188.66483313532885,-13.930919095367464,268.12084552054273,255.63535660235573,276.60072798171245,0.7899159663865546,259.18586563960747
hier__none__physical__xgb1__extra,0.05,256.4936302177657,188.66483313532885,-13.930919095367464,268.12084552054273,255.63535660235573,276.60072798171245,0.7899159663865546,259.18586563960747
hier__none__history__xgb1__ridge100,0.025,256.52357956277314,187.92839682173465,-3.899347691722875,268.04457184327885,255.65520232917453,276.74464029530435,0.7815126050420168,259.1867333244999
hier__none__physical__xgb1__ridge100,0.025,256.52357956277314,187.92839682173465,-3.899347691722875,268.04457184327885,255.65520232917453,276.74464029530435,0.7815126050420168,259.1867333244999
direct__none__extra,0.025,256.4877670233565,187.5963427437705,-2.7161356416554288,268.1806265455998,255.60024333726412,276.91902000383163,0.7815126050420168,259.1891009823942
hier__none__history__ridge1000__extra,0.05,256.5016540289324,188.68725930990496,-14.194946994283757,268.1233579050219,255.64213534877172,276.62301125752333,0.7899159663865546,259.19220032791463
hier__scratch__history__ridge1000__ridge1000,0.05,256.55144280557494,188.76413374351458,-16.85653984268445,267.97611879082734,255.69090615013573,276.6862227170431,0.7899159663865546,259.19247763802827
hier__scratch__history__ridge100__extra,0.05,256.52352596456825,188.78795277591135,-15.614957916242778,268.1075019168186,255.65451717514946,276.7516075251417,0.7899159663865546,259.2022677552761
hier__none__history__xgb1__ridge1000,0.025,256.5794283987964,187.9273915660499,-10.221849327946892,267.98186157715213,255.68937973071627,277.0422289638902,0.7815126050420168,259.2075245263653
hier__none__physical__xgb1__ridge1000,0.025,256.5794283987964,187.9273915660499,-10.221849327946892,267.98186157715213,255.68937973071627,277.0422289638902,0.7815126050420168,259.2075245263653
hier__none__history__extra__ridge1000,0.025,256.5899229781013,187.78721856102726,-13.552667850788314,267.9680509537967,255.6835318609892,277.2316201520293,0.7857142857142857,259.20785719274716
direct__modis_pretrained__extra,0.1,256.09366225757526,188.7429438002562,8.666583749566868,269.2707469784225,255.37924388463307,274.4948302321704,0.7773109243697479,259.2093288445515
hier__none__history__ridge1000__ridge1000,0.025,256.5818557396573,187.9373639189341,-10.354854301407409,267.98313281617385,255.6913189433498,277.05011366160267,0.7815126050420168,259.2095408097096
hier__modis_pretrained__history__ridge100__extra,0.05,256.5345144767081,188.8106340075091,-15.637953049758616,268.1144475208604,255.665278803972,276.76557102677396,0.7899159663865546,259.21218881956213
hier__scratch__history__extra__extra,0.05,256.55016487421096,188.55573394057083,-20.707399656463334,268.11333347273415,255.6574514692275,277.040963931974,0.7899159663865546,259.2177786725959
hier__scratch__encoder__xgb1__ridge100,0.05,256.5819858676101,189.3213804154581,-15.930281986443958,268.0083920900994,255.70406634178892,276.91128039834285,0.7899159663865546,259.21910754177713
hier__scratch__history__xgb1__ridge100,0.05,256.5819858676101,189.3213804154581,-15.930281986443958,268.0083920900994,255.70406634178892,276.91128039834285,0.7899159663865546,259.21910754177713
hier__scratch__physical__xgb1__ridge100,0.05,256.5819858676101,189.3213804154581,-15.930281986443958,268.0083920900994,255.70406634178892,276.91128039834285,0.7899159663865546,259.21910754177713
hier__none__history__ridge100__ridge1000,0.025,256.5948528816441,187.99056198373307,-10.98675166616098,267.9914695703088,255.70171547432452,277.0921626141153,0.7815126050420168,259.2207227019804
hier__modis_pretrained__history__extra__extra,0.05,256.5605785413759,188.575866138295,-20.730964969756506,268.11951208862865,255.6675538173236,277.0552228476652,0.7899159663865546,259.227055747176
hier__scratch__history__ridge1000__ridge100,0.05,256.5922474949439,189.3453641420774,-16.190713239751624,268.0135390917005,255.71281883646503,276.93864643436416,0.7899159663865546,259.2277132295133
hier__none__history__ridge100__extra,0.05,256.5461927262177,188.80727159053262,-15.448883785410914,268.1434421450082,255.67977286574938,276.7463993075042,0.7899159663865546,259.22890011579824
hier__scratch__encoder__xgb1__extra,0.075,256.5120730543064,189.50205757615828,-17.25557201100062,268.22695792590866,255.6807029238891,276.31615239715734,0.7899159663865546,259.23295173960264
hier__scratch__history__xgb1__extra,0.075,256.5120730543064,189.50205757615828,-17.25557201100062,268.22695792590866,255.6807029238891,276.31615239715734,0.7899159663865546,259.23295173960264
hier__scratch__physical__xgb1__extra,0.075,256.5120730543064,189.50205757615828,-17.25557201100062,268.22695792590866,255.6807029238891,276.31615239715734,0.7899159663865546,259.23295173960264
hier__none__history__ridge10__ridge1000,0.025,256.6087139597955,188.05753413150592,-11.471834322960783,268.0083276642169,255.7114533484389,277.1517123610837,0.7815126050420168,259.2343022330617
hier__none__history__extra__extra,0.05,256.5668483173219,188.56613028523213,-20.54675976880637,268.1391178526155,255.6761564819467,277.0361813438882,0.7899159663865546,259.23724274230153
hier__scratch__history__ridge100__ridge1000,0.05,256.6070492518209,188.88516540617766,-18.09670847851946,268.01139014039387,255.73969256928626,276.8201899612693,0.7899159663865546,259.2412953033305
hier__scratch__history__ridge1000__extra,0.075,256.5283030345832,189.54326805005675,-17.651257462450612,268.23004480242156,255.6947263822084,276.3581519968192,0.7857142857142857,259.2453443134491
direct__none__extra,0.075,256.2407688179603,188.41624630151153,7.419682656704815,269.0136524839533,255.48816531590205,275.1128688278971,0.7773109243697479,259.245838858944
hier__scratch__history__ridge10__extra,0.05,256.57411699042257,188.9575273586109,-16.573108121492428,268.1512105720333,255.69324902840228,276.9356573361838,0.7899159663865546,259.2481733953202
hier__none__history__xgb1__ridge1000,0.1,256.52436752463393,190.12062847590636,-17.535262939281278,268.202766604749,255.74132494606488,275.7694513872654,0.7899159663865546,259.24820665002045
hier__none__physical__xgb1__ridge1000,0.1,256.52436752463393,190.12062847590636,-17.535262939281278,268.202766604749,255.74132494606488,275.7694513872654,0.7899159663865546,259.24820665002045
hier__modis_pretrained__encoder__xgb1__extra,0.075,256.5298054673233,189.538977990498,-17.290647962777523,268.238053559238,255.69803155622247,276.33919798100936,0.7899159663865546,259.24892401252674
hier__modis_pretrained__history__xgb1__extra,0.075,256.5298054673233,189.538977990498,-17.290647962777523,268.238053559238,255.69803155622247,276.33919798100936,0.7899159663865546,259.24892401252674
hier__modis_pretrained__physical__xgb1__extra,0.075,256.5298054673233,189.538977990498,-17.290647962777523,268.238053559238,255.69803155622247,276.33919798100936,0.7899159663865546,259.24892401252674
hier__scratch__encoder__xgb1__ridge100,0.025,256.6420790024932,188.33049766609236,-11.85716338863966,268.002256118766,255.73759618868803,277.2652205433048,0.7815126050420168,259.2560025781101
hier__scratch__history__xgb1__ridge100,0.025,256.6420790024932,188.33049766609236,-11.85716338863966,268.002256118766,255.73759618868803,277.2652205433048,0.7815126050420168,259.2560025781101
hier__scratch__physical__xgb1__ridge100,0.025,256.6420790024932,188.33049766609236,-11.85716338863966,268.002256118766,255.73759618868803,277.2652205433048,0.7815126050420168,259.2560025781101
hier__modis_pretrained__history__ridge10__extra,0.05,256.5854170306538,188.98296404474945,-16.5955656784614,268.1583273460823,255.70430364386291,276.9501345478703,0.7899159663865546,259.2583662628132
