status,claim,stated,actual
PASS,"§2 harvest records: 3,658 district-seasons",3658.0,3658.0
PASS,§2 districts: 119,119.0,119.0
PASS,§2 yield years start 1990,1990.0,1990.0
PASS,"§2 MODIS rows: 2,737",2737.0,2737.0
PASS,"§2 tile-rows: 169,809",169809.0,169809.0
PASS,"§2 unique tiles: 7,383",7383.0,7383.0
PASS,"§2 tile district-seasons: 2,737",2737.0,2737.0
PASS,"§2 weather district-days: 546,805",546805.0,546805.0
PASS,"§2 Sentinel rows: 2,142",2142.0,2142.0
PASS,§5 Stage 1 (Blend) four-year error: 273.3,273.3,273.2618140323123
PASS,§5 Stage 1 direction: 77.9%,0.779,0.7794117647058824
PASS,§6 Stage 2 four-year error: 271.7,271.7,271.6517054513261
PASS,§12 earlier model four-year error: 269.5,269.5,269.5239106325404
PASS,§12 final model four-year error: 265.4,265.4,265.3847202407718
PASS,§11b final model 2019-20: 248.6,248.6,248.57594038810038
PASS,§11b final model 2021-22: 281.2,281.2,281.19050719168496
PASS,§11b Stage 1 2019-20: 257.0,257.0,256.9986380355725
PASS,§11b Stage 1 2021-22: 288.6,288.6,288.61001033283793
PASS,§11b earlier full model 2021-22: 287.2,287.2,287.20036852875205
PASS,§11b January four-year: 307.0 vs final 265.4 = 41.6 gap,41.6,41.6152797592282
PASS,§12 final direction: 78.8%,0.788,0.7878151260504201
PASS,§12 earlier model direction: 78.8%,0.788,0.7878151260504201
PASS,§4 three-season baseline error: 333,333.1,333.06608726858894
PASS,§12 gain in 2019: +2.8,2.8,2.7688410751082415
PASS,§12 gain in 2020: +1.2,1.2,1.1671331444066197
PASS,§12 gain in 2021: +7.5,7.5,7.487468307594668
PASS,§12 gain in 2022: +4.6,4.6,4.604369810109631
PASS,§12 final CRPS: 149.7,149.7,149.71433078652436
PASS,§12 earlier CRPS: 151.9,151.9,151.91344139978509
PASS,§12 final 80% coverage: 80.9%,0.809,0.8088235294117647
PASS,§12 earlier 80% coverage: 78.4%,0.784,0.7836134453781513
PASS,§12 final 90% coverage: 91.8%,0.918,0.9180672268907564
PASS,§12 earlier 90% coverage: 89.3%,0.893,0.8928571428571429
PASS,§12 final rise AUC: 0.847,0.847,0.8467575382073523
PASS,§12 final drop AUC: 0.820,0.82,0.8204825834542816
PASS,§12 earlier drop AUC: 0.809,0.809,0.8091890420899854
PASS,"§11 Rewari last season: 4,580",4580.0,4580.0
PASS,"§11 Rewari actual: 4,150",4150.0,4150.0
PASS,"§11 Rewari Stage 1: 4,274.7",4274.7,4274.662684660895
PASS,"§11 Rewari Stage 2: 4,297.0",4297.0,4297.013812046988
PASS,"§11 Rewari final: 4,161.6",4161.6,4161.593770485862
PASS,"§11 Rewari earlier model: 4,261.7",4261.7,4261.728721838935
PASS,§11 Rewari final error: 11.6,11.6,11.593770485861569
PASS,§11 Rewari q05: 3707,3707.0,3707.376811776297
PASS,§11 Rewari q10: 3822,3822.0,3822.251051010888
PASS,§11 Rewari q25: 3986,3986.0,3985.7739199783514
PASS,§11 Rewari q50: 4162,4162.0,4161.593770485862
PASS,§11 Rewari q75: 4352,4352.0,4352.101965770424
PASS,§11 Rewari q90: 4529,4529.0,4528.962762339062
PASS,§11 Rewari q95: 4674,4674.0,4673.906752612083
PASS,§11 Rewari P(increase): 8%,0.082,0.0823941518496893
PASS,§11 Rewari P(fall>5%): 75%,0.748,0.7480196705156524
PASS,§11 Rewari P(fall>10%): 46%,0.461,0.4614843801468158
