"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"165","2010","9","Punjab","Gurdaspur","40145.0","11664.0","1926.0","53735.0"
"165","2011","9","Punjab","Gurdaspur","37587.0","12986.0","1231.0","51804.0"
"165","2012","9","Punjab","Gurdaspur","42070.0","12744.0","455.0","55269.0"
"165","2013","9","Punjab","Gurdaspur","40612.0","15277.0","834.0","56723.0"
"165","2014","9","Punjab","Gurdaspur","45449.0","9875.0","669.0","55993.0"
"165","2015","9","Punjab","Gurdaspur","48060.0","12638.0","0.0","60698.0"
"165","2016","9","Punjab","Gurdaspur","45722.0","10283.0","0.0","56005.0"
"165","2017","9","Punjab","Gurdaspur","42147.0","7488.0","681.0","50316.0"
"166","2010","9","Punjab","Amritsar","66763.0","18802.0","1946.0","87511.0"
"166","2011","9","Punjab","Amritsar","69425.0","23794.0","2851.0","96070.0"
"166","2012","9","Punjab","Amritsar","78111.0","24670.0","537.0","103318.0"
"166","2013","9","Punjab","Amritsar","70302.0","22408.0","592.0","93302.0"
"166","2014","9","Punjab","Amritsar","74366.0","24078.0","1615.0","100059.0"
"166","2015","9","Punjab","Amritsar","79232.0","29559.0","0.0","108791.0"
"166","2016","9","Punjab","Amritsar","73190.0","24883.0","0.0","98073.0"
"166","2017","9","Punjab","Amritsar","66039.0","19291.0","1379.0","86709.0"
"167","2010","9","Punjab","Kapurthala","23699.0","7742.0","1025.0","32466.0"
"167","2011","9","Punjab","Kapurthala","22722.0","8706.0","1625.0","33053.0"
"167","2012","9","Punjab","Kapurthala","24755.0","8676.0","241.0","33672.0"
"167","2013","9","Punjab","Kapurthala","23582.0","7425.0","247.0","31254.0"
"167","2014","9","Punjab","Kapurthala","25296.0","6192.0","669.0","32157.0"
"167","2015","9","Punjab","Kapurthala","27491.0","8880.0","0.0","36371.0"
"167","2016","9","Punjab","Kapurthala","24965.0","6042.0","0.0","31007.0"
"167","2017","9","Punjab","Kapurthala","21390.0","3247.0","669.0","25306.0"
"168","2010","9","Punjab","Jalandhar","50162.0","18759.0","4286.0","73207.0"
"168","2011","9","Punjab","Jalandhar","46591.0","18667.0","2959.0","68217.0"
"168","2012","9","Punjab","Jalandhar","52249.0","19874.0","578.0","72701.0"
"168","2013","9","Punjab","Jalandhar","47470.0","14599.0","421.0","62491.0"
"168","2014","9","Punjab","Jalandhar","48363.0","21285.0","1087.0","70735.0"
"168","2015","9","Punjab","Jalandhar","52201.0","26101.0","0.0","78302.0"
"168","2016","9","Punjab","Jalandhar","47994.0","21188.0","0.0","69182.0"
"168","2017","9","Punjab","Jalandhar","42238.0","16688.0","1226.0","60152.0"
"169","2010","9","Punjab","Hoshiarpur","28806.0","10674.0","2184.0","41664.0"
"169","2011","9","Punjab","Hoshiarpur","27040.0","10281.0","2497.0","39818.0"
"169","2012","9","Punjab","Hoshiarpur","30609.0","13588.0","556.0","44753.0"
"169","2013","9","Punjab","Hoshiarpur","39220.0","11636.0","388.0","51243.0"
"169","2014","9","Punjab","Hoshiarpur","33451.0","16190.0","1041.0","50682.0"
"169","2015","9","Punjab","Hoshiarpur","36488.0","20035.0","0.0","56523.0"
"169","2016","9","Punjab","Hoshiarpur","33305.0","16937.0","0.0","50242.0"
"169","2017","9","Punjab","Hoshiarpur","28336.0","13052.0","1034.0","42422.0"
"170","2010","9","Punjab","Roopnagar / Ropar","18563.0","5693.0","1050.0","25306.0"
"170","2011","9","Punjab","Roopnagar / Ropar","14193.0","6722.0","1179.0","22094.0"
"170","2012","9","Punjab","Roopnagar / Ropar","17284.0","7073.0","47.0","24404.0"
"170","2013","9","Punjab","Roopnagar / Ropar","20085.0","6201.0","316.0","26602.0"
"170","2014","9","Punjab","Roopnagar / Ropar","20055.0","8723.0","1032.0","29809.0"
"170","2015","9","Punjab","Roopnagar / Ropar","23530.0","14135.0","0.0","37665.0"
"170","2016","9","Punjab","Roopnagar / Ropar","20032.0","10624.0","0.0","30656.0"
"170","2017","9","Punjab","Roopnagar / Ropar","14670.0","6430.0","1033.0","22132.0"
"171","2010","9","Punjab","Ludhiana","64099.0","21679.0","3549.0","89327.0"
"171","2011","9","Punjab","Ludhiana","60545.0","23689.0","3178.0","87412.0"
"171","2012","9","Punjab","Ludhiana","68854.0","27134.0","583.0","96570.0"
"171","2013","9","Punjab","Ludhiana","76563.0","20796.0","800.0","98159.0"
"171","2014","9","Punjab","Ludhiana","82917.0","16481.0","785.0","100183.0"
"171","2015","9","Punjab","Ludhiana","86522.0","19735.0","0.0","106256.0"
"171","2016","9","Punjab","Ludhiana","83645.0","16544.0","0.0","100189.0"
"171","2017","9","Punjab","Ludhiana","79534.0","13328.0","772.0","93634.0"
"172","2010","9","Punjab","Ferozpur","166951.0","56277.0","5476.0","228704.0"
"172","2011","9","Punjab","Ferozpur","162594.0","64063.0","6425.0","233082.0"
"172","2012","9","Punjab","Ferozpur","181065.0","60608.0","1383.0","243055.0"
