"Dist Code","Year","State Code","State Name","Dist Name","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)"
"165","2010","9","Punjab","Gurdaspur","285.0","502.0"
"165","2011","9","Punjab","Gurdaspur","334.0","594.0"
"165","2012","9","Punjab","Gurdaspur","274.19","504.45"
"165","2013","9","Punjab","Gurdaspur","274.58","526.98"
"165","2014","9","Punjab","Gurdaspur","257.27","517.21"
"165","2015","9","Punjab","Gurdaspur","256.83","503.76"
"165","2016","9","Punjab","Gurdaspur","256.52","504.27"
"165","2017","9","Punjab","Gurdaspur","255.84","503.29"
"165","2018","9","Punjab","Gurdaspur","256.06","495.69"
"165","2019","9","Punjab","Gurdaspur","256.29","498.36"
"165","2020","9","Punjab","Gurdaspur","255.99","502.73"
"166","2010","9","Punjab","Amritsar","435.0","820.0"
"166","2011","9","Punjab","Amritsar","435.0","818.0"
"166","2012","9","Punjab","Amritsar","436.52","814.16"
"166","2013","9","Punjab","Amritsar","437.42","818.32"
"166","2014","9","Punjab","Amritsar","436.43","808.8"
"166","2015","9","Punjab","Amritsar","436.75","835.2"
"166","2016","9","Punjab","Amritsar","436.78","803.93"
"166","2017","9","Punjab","Amritsar","436.78","815.18"
"166","2018","9","Punjab","Amritsar","436.79","812.79"
"166","2019","9","Punjab","Amritsar","436.49","806.83"
"166","2020","9","Punjab","Amritsar","436.39","809.95"
"167","2010","9","Punjab","Kapurthala","134.0","270.0"
"167","2011","9","Punjab","Kapurthala","134.0","271.0"
"167","2012","9","Punjab","Kapurthala","134.12","269.34"
"167","2013","9","Punjab","Kapurthala","132.47","271.73"
"167","2014","9","Punjab","Kapurthala","133.78","267.16"
"167","2015","9","Punjab","Kapurthala","133.94","266.41"
"167","2016","9","Punjab","Kapurthala","132.95","274.69"
"167","2017","9","Punjab","Kapurthala","133.13","265.8"
"167","2018","9","Punjab","Kapurthala","132.3","265.43"
"167","2019","9","Punjab","Kapurthala","132.06","279.07"
"167","2020","9","Punjab","Kapurthala","131.77","266.45"
"168","2010","9","Punjab","Jalandhar","295.17","518.63"
"168","2011","9","Punjab","Jalandhar","294.56","517.85"
"168","2012","9","Punjab","Jalandhar","299.43","540.19"
"168","2013","9","Punjab","Jalandhar","295.16","527.55"
"168","2014","9","Punjab","Jalandhar","302.26","527.45"
"168","2015","9","Punjab","Jalandhar","308.3","532.23"
"168","2016","9","Punjab","Jalandhar","306.28","525.44"
"168","2017","9","Punjab","Jalandhar","305.41","518.92"
"168","2018","9","Punjab","Jalandhar","301.32","518.87"
"168","2019","9","Punjab","Jalandhar","298.79","522.47"
"168","2020","9","Punjab","Jalandhar","298.77","523.55"
"169","2010","9","Punjab","Hoshiarpur","237.83","428.37"
"169","2011","9","Punjab","Hoshiarpur","237.44","433.15"
"169","2012","9","Punjab","Hoshiarpur","239.69","419.9"
"169","2013","9","Punjab","Hoshiarpur","239.01","412.09"
"169","2014","9","Punjab","Hoshiarpur","237.25","423.66"
"169","2015","9","Punjab","Hoshiarpur","240.66","413.32"
"169","2016","9","Punjab","Hoshiarpur","242.03","409.68"
"169","2017","9","Punjab","Hoshiarpur","241.41","406.61"
"169","2018","9","Punjab","Hoshiarpur","241.18","408.59"
"169","2019","9","Punjab","Hoshiarpur","239.64","408.91"
"169","2020","9","Punjab","Hoshiarpur","239.34","406.51"
"170","2010","9","Punjab","Roopnagar / Ropar","118.0","209.5"
"170","2011","9","Punjab","Roopnagar / Ropar","117.5","206.0"
"170","2012","9","Punjab","Roopnagar / Ropar","119.2","206.28"
"170","2013","9","Punjab","Roopnagar / Ropar","119.64","200.93"
"170","2014","9","Punjab","Roopnagar / Ropar","119.43","195.08"
"170","2015","9","Punjab","Roopnagar / Ropar","119.38","187.21"
"170","2016","9","Punjab","Roopnagar / Ropar","119.71","191.51"
"170","2017","9","Punjab","Roopnagar / Ropar","119.86","197.53"
"170","2018","9","Punjab","Roopnagar / Ropar","120.93","205.23"
"170","2019","9","Punjab","Roopnagar / Ropar","123.79","207.34"
"170","2020","9","Punjab","Roopnagar / Ropar","123.76","210.55"
"171","2010","9","Punjab","Ludhiana","316.3","627.05"
"171","2011","9","Punjab","Ludhiana","314.3","628.65"
"171","2012","9","Punjab","Ludhiana","314.36","621.79"
"171","2013","9","Punjab","Ludhiana","314.29","461.02"
"171","2014","9","Punjab","Ludhiana","314.27","621.16"
"171","2015","9","Punjab","Ludhiana","314.19","628.27"
"171","2016","9","Punjab","Ludhiana","314.19","629.11"
"171","2017","9","Punjab","Ludhiana","313.72","582.8"
"171","2018","9","Punjab","Ludhiana","314.13","625.03"
"171","2019","9","Punjab","Ludhiana","314.1","598.3"
"171","2020","9","Punjab","Ludhiana","314.07","594.47"
"172","2010","9","Punjab","Ferozpur","879.74","1681.02"
"172","2011","9","Punjab","Ferozpur","1073.22","1989.38"
"172","2012","9","Punjab","Ferozpur","877.79","1687.32"
"172","2013","9","Punjab","Ferozpur","876.61","1812.09"
"172","2014","9","Punjab","Ferozpur","871.06","1687.82"
"172","2015","9","Punjab","Ferozpur","878.42","1700.17"
"172","2016","9","Punjab","Ferozpur","877.02","1674.03"
"172","2017","9","Punjab","Ferozpur","875.44","1693.31"
"172","2018","9","Punjab","Ferozpur","874.53","1707.06"
"172","2019","9","Punjab","Ferozpur","877.59","1702.28"
"172","2020","9","Punjab","Ferozpur","877.61","1713.68"
"174","2010","9","Punjab","Bhatinda","629.26","1200.98"
"174","2011","9","Punjab","Bhatinda","629.78","1202.62"
"174","2012","9","Punjab","Bhatinda","634.36","1206.3"
"174","2013","9","Punjab","Bhatinda","633.34","1200.76"
"174","2014","9","Punjab","Bhatinda","623.91","1197.42"
"174","2015","9","Punjab","Bhatinda","626.31","1209.48"
"174","2016","9","Punjab","Bhatinda","625.08","1195.22"
"174","2017","9","Punjab","Bhatinda","620.06","1205.64"
"174","2018","9","Punjab","Bhatinda","619.63","1205.49"
"174","2019","9","Punjab","Bhatinda","620.65","1208.47"
"174","2020","9","Punjab","Bhatinda","620.6","1209.13"
"175","2010","9","Punjab","Sangrur","445.16","895.96"
"175","2011","9","Punjab","Sangrur","444.16","901.28"
"175","2012","9","Punjab","Sangrur","445.39","881.15"
"175","2013","9","Punjab","Sangrur","446.46","901.71"
"175","2014","9","Punjab","Sangrur","446.05","899.2"
"175","2015","9","Punjab","Sangrur","444.64","885.78"
"175","2016","9","Punjab","Sangrur","445.66","883.58"
"175","2017","9","Punjab","Sangrur","446.54","885.97"
"175","2018","9","Punjab","Sangrur","446.53","895.61"
"175","2019","9","Punjab","Sangrur","447.85","889.41"
"175","2020","9","Punjab","Sangrur","389.63","770.19"
"176","2010","9","Punjab","Patiala","380.54","726.49"
"176","2011","9","Punjab","Patiala","380.04","727.07"
"176","2012","9","Punjab","Patiala","375.09","719.27"
"176","2013","9","Punjab","Patiala","376.21","714.5"
"176","2014","9","Punjab","Patiala","377.18","712.38"
"176","2015","9","Punjab","Patiala","377.88","709.73"
"176","2016","9","Punjab","Patiala","373.93","712.92"
"176","2017","9","Punjab","Patiala","375.41","703.95"
"176","2018","9","Punjab","Patiala","375.47","710.89"
"176","2019","9","Punjab","Patiala","379.39","716.21"
"176","2020","9","Punjab","Patiala","379.37","711.58"
"177","2010","4","Haryana","Hissar","1214.74","2317.03"
"177","2011","4","Haryana","Hissar","1209.99","2305.69"
"177","2012","4","Haryana","Hissar","1234.84","2287.76"
"177","2013","4","Haryana","Hissar","1227.79","2333.25"
"177","2014","4","Haryana","Hissar","1235.5","2380.23"
"177","2015","4","Haryana","Hissar","1242.58","2402.03"
"177","2016","4","Haryana","Hissar","1228.58","2331.82"
"177","2017","4","Haryana","Hissar","1250.59","2343.98"
"177","2018","4","Haryana","Hissar","1285.42","2364.39"
"177","2019","4","Haryana","Hissar","1235.52","2368.88"
"177","2020","4","Haryana","Hissar","1235.76","2363.82"
"180","2010","4","Haryana","Gurgaon","329.85","545.76"
"180","2011","4","Haryana","Gurgaon","339.0","544.0"
"180","2012","4","Haryana","Gurgaon","321.84","516.03"
"180","2013","4","Haryana","Gurgaon","323.57","544.61"
"180","2014","4","Haryana","Gurgaon","326.51","536.73"
"180","2015","4","Haryana","Gurgaon","322.0","542.0"
"180","2016","4","Haryana","Gurgaon","296.0","540.0"
"180","2017","4","Haryana","Gurgaon","303.0","548.0"
"180","2018","4","Haryana","Gurgaon","313.78","547.94"
"180","2019","4","Haryana","Gurgaon","308.47","560.86"
"180","2020","4","Haryana","Gurgaon","363.26","557.61"
"181","2010","4","Haryana","Jind","274.16","542.7"
"181","2011","4","Haryana","Jind","274.18","546.4"
"181","2012","4","Haryana","Jind","274.65","539.54"
"181","2013","4","Haryana","Jind","274.05","540.24"
"181","2014","4","Haryana","Jind","280.32","544.66"
"181","2015","4","Haryana","Jind","280.54","544.94"
"181","2016","4","Haryana","Jind","284.54","513.4"
"181","2017","4","Haryana","Jind","282.74","541.94"
"181","2018","4","Haryana","Jind","281.14","546.29"
"181","2019","4","Haryana","Jind","289.29","536.97"
"181","2020","4","Haryana","Jind","289.24","472.74"
"182","2010","4","Haryana","Mahendragarh / Narnaul","363.04","669.15"
"182","2011","4","Haryana","Mahendragarh / Narnaul","369.63","666.96"
"182","2012","4","Haryana","Mahendragarh / Narnaul","376.86","648.92"
"182","2013","4","Haryana","Mahendragarh / Narnaul","377.86","668.73"
"182","2014","4","Haryana","Mahendragarh / Narnaul","377.49","686.27"
"182","2015","4","Haryana","Mahendragarh / Narnaul","378.04","686.88"
"182","2016","4","Haryana","Mahendragarh / Narnaul","378.04","681.31"
"182","2017","4","Haryana","Mahendragarh / Narnaul","386.03","671.28"
"182","2018","4","Haryana","Mahendragarh / Narnaul","386.91","688.99"
"182","2019","4","Haryana","Mahendragarh / Narnaul","379.45","686.57"
"182","2020","4","Haryana","Mahendragarh / Narnaul","379.45","631.47"
"183","2010","4","Haryana","Ambala","255.48","456.31"
