year,time_step,start_date,end_date,B7,B8,B8A,B12
2010,0,2010-10-01,2010-10-06,0.103813767523993,0.3061008712894053,0.209622817064266,0.1225998748818086
2010,1,2010-10-06,2010-10-11,0.1466717127076097,0.2896502267829904,0.225081562662194,0.141437808014831
2010,2,2010-10-11,2010-10-16,0.0958293259505721,0.2832699689347183,0.2178480118485482,0.1334314603382697
2010,3,2010-10-16,2010-10-21,0.1770100412314309,0.2952879280477405,0.2319277361930866,0.1492659549918946
2010,4,2010-10-21,2010-10-26,0.2100337161244431,0.2739421388600975,0.2409276855428753,0.1604539418473515
2010,5,2010-10-26,2010-10-31,0.1215699706894641,0.261929482211968,0.2493803553771323,0.1687446993025188
2010,6,2010-10-31,2010-11-05,0.1688727674309524,0.2664889848241863,0.2445125137928493,0.166573969975331
2010,7,2010-11-05,2010-11-10,0.1387579688975957,0.2405942295137245,0.2406473000826499,0.1729553517326801
2010,8,2010-11-10,2010-11-15,0.1969921402118284,0.2606911454874011,0.2596794917685026,0.1814499020022104
2010,9,2010-11-15,2010-11-20,0.1488403511470271,0.2397924953147473,0.2418041350056123,0.1703956845703469
2010,10,2010-11-20,2010-11-25,0.1404144250567629,0.2383261365782898,0.2413691971198216,0.1725626356254846
2010,11,2010-11-25,2010-11-30,0.1107709443316573,0.2180921109431166,0.2250856131656845,0.1567817999761503
2010,12,2010-11-30,2010-12-05,0.1129537955588137,0.2260095856560169,0.232574998314067,0.167922644383524
2010,13,2010-12-05,2010-12-10,0.1151366467859702,0.2339270603689172,0.2400643834624496,0.1790634887908978
2010,14,2010-12-10,2010-12-15,0.1187896048260453,0.228079278384304,0.2253526876650706,0.1657994498934374
2010,15,2010-12-15,2010-12-20,0.1227989350732394,0.2330728621048977,0.2254862249147637,0.1703082748520809
2010,16,2010-12-20,2010-12-25,0.1304612233605086,0.2322186638408783,0.2109080663670779,0.1615530609132641
2010,17,2010-12-25,2010-12-30,0.1304612233605086,0.2322186638408783,0.2109080663670779,0.1615530609132641
2010,18,2010-12-30,2011-01-04,0.1258082056363635,0.2414438419652758,0.2008117286584897,0.1410475555044734
2010,19,2011-01-04,2011-01-09,0.1258082056363635,0.2414438419652758,0.2008117286584897,0.1410475555044734
2010,20,2011-01-09,2011-01-14,0.0994872954235218,0.2623198640174258,0.1850526424981775,0.1161102730363738
2010,21,2011-01-14,2011-01-19,0.1211551879122184,0.2506690200896734,0.1907153909499016,0.1205420500956827
2010,22,2011-01-19,2011-01-24,0.0922992409671918,0.2637247974685717,0.1778297448062673,0.1083141183225763
2010,23,2011-01-24,2011-01-29,0.0778194029348254,0.2739707079451783,0.1793898940464535,0.1116784959770649
2010,24,2011-01-29,2011-02-03,0.0779231320545318,0.2665346643708635,0.163383949422447,0.0927218088949815
2010,25,2011-02-03,2011-02-08,0.0691918806672257,0.2803789134595757,0.1657576334682486,0.0974147874282115
2010,26,2011-02-08,2011-02-13,0.0518331070123199,0.3006313680626853,0.1544990569358454,0.0878440574125882
2010,27,2011-02-13,2011-02-18,0.0637919489313374,0.3074004046100494,0.1602703617654584,0.0899943794784885
2010,28,2011-02-18,2011-02-23,0.0565964872889618,0.3323178240870055,0.1582937799524165,0.0879675300288375
2010,29,2011-02-23,2011-02-28,0.0616196077271607,0.3550351813965994,0.1629280789380829,0.0894172721278958
2010,30,2011-02-28,2011-03-05,0.0633575679398313,0.3403798869872541,0.1653851559267315,0.0952185255535779
2010,31,2011-03-05,2011-03-10,0.0563367471274048,0.341286922801732,0.1574542039833213,0.0866412605460286
2010,32,2011-03-10,2011-03-15,0.0721163489649286,0.3248175567634308,0.1757731848587903,0.1095970439868093
