artifact_status,run_name,comparison_bucket,mode,target_mode,horizon_days,opdate_profile,train_years,val_years,test_years,state_filter,anomaly_baseline,device,head_mode,val_rmse,val_r2,test_rmse,test_r2,val_n_rows,test_n_rows,artifact_path,notes
full,F3_UP_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2021,2022",2019,2020,Uttar Pradesh,imd_normals,mps,scalar_baseline,258.7162170410156,0.7623252626291833,209.22555541992188,0.7690174860707206,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F3/UP/metrics_summary_seeded.csv,
full,loyo_2020,loyo,shared,district_signed_log,25,ten_day_dec1_apr30,"2017,2018,2019,2021,2022",2020,2020,,reforecast,auto,scalar_baseline,,,238.62240600585935,0.850315046588038,,1904,/Users/aaryan/Downloads/ugp/codex_v2/experiments/shared_base_phase1_loyo_h25_s42_mps_v2/fold_2020/metrics_summary_seeded.csv,
full,F4_UP_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2019,2022",2020,2021,Uttar Pradesh,imd_normals,mps,scalar_baseline,195.9432678222656,0.7974136079402954,253.9971923828125,0.5573429706418913,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F4/UP/metrics_summary_seeded.csv,
full,F1_UP_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2019,2020,2021,2022",2017,2018,Uttar Pradesh,imd_normals,mps,scalar_baseline,361.775146484375,0.5573769519154086,260.8878173828125,0.6840192592999038,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F1/UP/metrics_summary_seeded.csv,
full,loyo_2018,loyo,shared,district_signed_log,25,ten_day_dec1_apr30,"2017,2019,2020,2021,2022",2018,2018,,reforecast,auto,scalar_baseline,,,269.7373962402344,0.8502652033468415,,1904,/Users/aaryan/Downloads/ugp/codex_v2/experiments/shared_base_phase1_loyo_h25_s42_mps_v2/fold_2018/metrics_summary_seeded.csv,
full,loyo_2019,loyo,shared,district_signed_log,25,ten_day_dec1_apr30,"2017,2018,2020,2021,2022",2019,2019,,reforecast,auto,scalar_baseline,,,273.1228332519531,0.8530928531048698,,1904,/Users/aaryan/Downloads/ugp/codex_v2/experiments/shared_base_phase1_loyo_h25_s42_mps_v2/fold_2019/metrics_summary_seeded.csv,
full,F3_PH_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2018,2021,2022",2019,2020,"Haryana,Punjab",imd_normals,mps,scalar_baseline,262.9068603515625,0.6076019184231697,284.93695068359375,0.4630690138480773,1364,1364,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F3/PH/metrics_summary_seeded.csv,
full,F2_UP_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2020,2021,2022",2018,2019,Uttar Pradesh,imd_normals,mps,scalar_baseline,230.59326171875,0.7531425476103596,286.2044677734375,0.7091369786739483,2325,2325,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F2/UP/metrics_summary_seeded.csv,
full,loyo_2017,loyo,shared,district_signed_log,25,ten_day_dec1_apr30,"2018,2019,2020,2021,2022",2017,2017,,reforecast,auto,scalar_baseline,,,308.6075744628906,0.8371387072501916,,1904,/Users/aaryan/Downloads/ugp/codex_v2/experiments/shared_base_phase1_loyo_h25_s42_mps_v2/fold_2017/metrics_summary_seeded.csv,
full,F2_PH_B4_e6e7_5d_h25_s42,statewise_or_subset,shared,district_signed_log,25,five_day_dec1_apr30,"2017,2020,2021,2022",2018,2019,"Haryana,Punjab",imd_normals,mps,scalar_baseline,392.8425903320313,0.2147888180202546,311.50225830078125,0.4491346621204063,1364,1364,/Users/aaryan/Downloads/ugp/codex_v2/experiments/regional_rolling_h25_s42_20260304_170938/F2/PH/metrics_summary_seeded.csv,
